player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Emil Audero,it ITA,GK,Sampdoria,26-107,1997,25.0,25.0,2250.0,39.0,1.56,121.0,82.0,71.9,2.0,6.0,17.0,4.0,16.0,7.0,5.0,2.0,0.0,25.0,0.0,4.0,2.0,32.3,0.21,-4.7,-0.19,159.0,441.0,36.1,714.0,104.0,45.8,39.1,200.0,57.0,44.2,356.0,24.0,6.7,23.0,0.92,13.9
Francesco Bardi,it ITA,GK,Bologna,31-107,1992,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.16,0.6,0.56,5.0,9.0,55.6,13.0,5.0,38.5,35.6,9.0,44.4,33.4,10.0,0.0,0.0,0.0,0.0,0.0
Marco Carnesecchi,it ITA,GK,Cremonese,22-308,2000,24.0,24.0,2160.0,40.0,1.67,130.0,91.0,70.8,3.0,9.0,12.0,3.0,12.5,2.0,2.0,0.0,0.0,24.0,3.0,4.0,1.0,37.9,0.28,-1.1,-0.05,143.0,470.0,30.4,672.0,126.0,52.4,41.4,179.0,65.9,52.8,351.0,28.0,8.0,24.0,1.0,13.9
Michele Cerofolini,it ITA,GK,Fiorentina,24-121,1999,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,7.0,10.0,70.0,25.0,3.0,28.0,31.1,3.0,100.0,56.3,2.0,0.0,0.0,0.0,0.0,5.0
Andrea Consigli,it ITA,GK,Sassuolo,36-098,1987,31.0,31.0,2790.0,46.0,1.48,102.0,56.0,57.8,12.0,6.0,13.0,9.0,29.0,3.0,3.0,0.0,0.0,31.0,0.0,5.0,0.0,33.8,0.31,-12.2,-0.39,156.0,394.0,39.6,1006.0,163.0,30.9,33.8,265.0,31.3,32.8,424.0,26.0,6.1,26.0,0.84,13.9
Alessio Cragno,it ITA,GK,Monza,28-311,1994,1.0,1.0,90.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7,0.35,-1.3,-1.33,2.0,4.0,50.0,25.0,4.0,12.0,22.6,6.0,16.7,33.3,7.0,0.0,0.0,2.0,2.0,25.7
Michele Di Gregorio,it ITA,GK,Monza,25-282,1997,32.0,32.0,2880.0,41.0,1.28,140.0,100.0,71.4,12.0,9.0,11.0,9.0,28.1,1.0,1.0,0.0,0.0,32.0,1.0,4.0,1.0,41.9,0.3,1.9,0.06,141.0,408.0,34.6,1061.0,198.0,31.1,32.6,209.0,37.3,34.7,469.0,13.0,2.8,27.0,0.84,13.3
Bartłomiej Drągowski,pl POL,GK,Spezia,25-259,1997,30.0,30.0,2586.0,48.0,1.67,152.0,105.0,71.1,5.0,9.0,16.0,4.0,13.3,6.0,4.0,1.0,1.0,28.7,1.0,7.0,2.0,42.5,0.25,-3.5,-0.12,137.0,425.0,32.2,858.0,141.0,36.8,34.1,179.0,60.9,47.3,428.0,13.0,3.0,32.0,1.11,14.2
Wladimiro Falcone,it ITA,GK,Lecce,28-023,1995,33.0,33.0,2970.0,40.0,1.21,139.0,102.0,74.8,7.0,10.0,16.0,4.0,12.1,5.0,5.0,0.0,0.0,33.0,2.0,6.0,3.0,38.4,0.24,1.4,0.04,162.0,618.0,26.2,781.0,130.0,55.7,41.7,239.0,76.6,52.3,470.0,22.0,4.7,37.0,1.12,14.1
Pierluigi Gollini,it ITA,GK,Fiorentina,28-048,1995,3.0,3.0,270.0,2.0,0.67,8.0,6.0,75.0,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.7,0.21,-0.3,-0.1,13.0,38.0,34.2,115.0,17.0,27.0,32.4,11.0,63.6,49.3,24.0,1.0,4.2,0.0,0.0,9.3
Pierluigi Gollini,it ITA,GK,Napoli,28-048,1995,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.07,0.2,0.21,3.0,9.0,33.3,32.0,7.0,28.1,31.7,5.0,0.0,15.4,12.0,1.0,8.3,0.0,0.0,2.0
Samir Handanović,si SVN,GK,Inter,38-295,1984,12.0,12.0,1080.0,16.0,1.33,44.0,29.0,65.9,7.0,0.0,5.0,4.0,33.3,1.0,1.0,0.0,0.0,12.0,0.0,1.0,1.0,12.6,0.26,-2.4,-0.2,31.0,63.0,49.2,401.0,60.0,14.5,24.7,64.0,7.8,24.4,121.0,2.0,1.7,10.0,0.83,16.2
Mike Maignan,fr FRA,GK,Milan,27-306,1995,17.0,17.0,1530.0,17.0,1.0,51.0,33.0,70.6,7.0,7.0,3.0,6.0,35.3,3.0,2.0,1.0,0.0,17.0,0.0,1.0,0.0,16.3,0.26,-0.7,-0.04,66.0,163.0,40.5,570.0,94.0,25.1,30.8,60.0,33.3,35.1,164.0,12.0,7.3,28.0,1.65,18.3
Federico Marchetti,it ITA,GK,Spezia,40-087,1983,1.0,0.0,66.0,2.0,2.73,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.5,0.48,-0.5,-0.74,2.0,4.0,50.0,10.0,2.0,10.0,24.3,8.0,37.5,32.4,8.0,0.0,0.0,1.0,1.36,22.0
Luís Maximiano,pt POR,GK,Lazio,24-120,1999,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Alex Meret,it ITA,GK,Napoli,26-044,1997,32.0,32.0,2880.0,23.0,0.72,86.0,62.0,74.4,24.0,5.0,3.0,15.0,46.9,2.0,1.0,1.0,0.0,32.0,0.0,1.0,0.0,23.7,0.25,0.7,0.02,56.0,143.0,39.2,697.0,117.0,14.9,26.3,194.0,20.1,26.8,320.0,11.0,3.4,35.0,1.09,16.9
Vanja Milinković-Savić,rs SRB,GK,Torino,26-074,1997,33.0,33.0,2970.0,38.0,1.15,118.0,80.0,72.0,12.0,9.0,12.0,9.0,27.3,6.0,5.0,0.0,1.0,33.0,0.0,6.0,0.0,32.8,0.24,-5.2,-0.16,237.0,803.0,29.5,1281.0,156.0,44.8,39.6,251.0,91.2,69.7,407.0,27.0,6.6,66.0,2.0,17.2
Lorenzo Montipò,it ITA,GK,Hellas Verona,27-074,1996,32.0,32.0,2880.0,51.0,1.59,159.0,109.0,67.9,6.0,8.0,18.0,4.0,12.5,1.0,0.0,1.0,0.0,32.0,1.0,4.0,2.0,42.9,0.27,-6.1,-0.19,306.0,662.0,46.2,791.0,107.0,62.5,44.3,243.0,69.1,50.3,430.0,25.0,5.8,51.0,1.59,15.5
Juan Musso,ar ARG,GK,Atalanta,28-364,1994,24.0,24.0,2077.0,27.0,1.17,89.0,64.0,71.9,13.0,4.0,7.0,7.0,29.2,2.0,2.0,0.0,0.0,23.1,0.0,3.0,2.0,21.7,0.23,-3.3,-0.14,109.0,276.0,39.5,547.0,152.0,32.5,32.1,157.0,62.4,48.6,253.0,14.0,5.5,24.0,1.04,15.6
