player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Oliver Abildgaard,dk DEN,MF,Hellas Verona,26-245,1996,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,31.0,9.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Tammy Abraham,eng ENG,FW,Roma,25-131,1997,21.0,17.0,1500.0,6.0,3.0,0.0,0.0,1.0,0.0,0.36,0.18,0.54,0.36,0.54,8.7,8.7,0.52,0.52,16.7,19.0,0.0,43.2,1.14,0.14,0.32,0.2,-2.7,-2.7,224.0,329.0,68.1,3174.0,780.0,133.0,168.0,79.2,64.0,105.0,61.0,15.0,22.0,68.2,24.0,10.0,9.0,1.0,32.0,301.0,25.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,51.0,3.05,34.0,0.0,10.0,4.0,9.0,0.54,4.0,0.0,3.0,1.0,0.0,13.0,7.0,3.0,6.0,4.0,8.0,4.0,4.0,2.0,6.0,0.0,510.0,11.0,32.0,265.0,222.0,81.0,510.0,274.0,24.0,17.0,10.0,396.0,36.0,21.0,0.0,21.0,32.0,9.0,1.0,0.0,0.0,31.0,39.0,39.0,50.0
Francesco Acerbi,it ITA,DF,Inter,35-000,1988,14.0,12.0,1110.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,0.02,0.02,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.3,-0.3,636.0,725.0,87.7,12004.0,3837.0,232.0,252.0,92.1,317.0,352.0,90.1,74.0,100.0,74.0,6.0,38.0,3.0,0.0,44.0,685.0,39.0,26.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,12.0,0.97,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,14.0,2.0,0.0,7.0,4.0,3.0,12.0,41.0,0.0,827.0,101.0,374.0,423.0,35.0,6.0,827.0,451.0,13.0,11.0,1.0,544.0,7.0,3.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,61.0,34.0,20.0,63.0
"Yacine Adli,fr FRA,""MF,FW"",Milan,22-196,2000,4.0,1.0,116.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07,0.07,1.3,2.0,0.0,100.0,1.55,0.0,0.0,0.04,-0.1,-0.1,38.0,60.0,63.3,666.0,216.0,19.0,24.0,79.2,12.0,18.0,66.7,5.0,11.0,45.5,1.0,4.0,2.0,0.0,8.0,58.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,78.0,1.0,11.0,38.0,32.0,1.0,78.0,44.0,5.0,4.0,0.0,58.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0"
"Michel Aebischer,ch SUI,""FW,MF"",Bologna,26-035,1997,18.0,8.0,775.0,1.0,0.0,0.0,0.0,3.0,0.0,0.12,0.0,0.12,0.12,0.12,1.1,1.1,0.13,0.13,8.6,2.0,1.0,20.0,0.23,0.1,0.5,0.11,-0.1,-0.1,280.0,342.0,81.9,4277.0,1290.0,155.0,173.0,89.6,98.0,114.0,86.0,20.0,33.0,60.6,8.0,19.0,1.0,0.0,22.0,326.0,13.0,5.0,0.0,2.0,9.0,2.0,0.0,2.0,0.0,5.0,3.0,9.0,19.0,2.21,13.0,2.0,2.0,1.0,2.0,0.23,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,11.0,2.0,9.0,3.0,6.0,0.0,406.0,9.0,82.0,195.0,130.0,16.0,406.0,238.0,7.0,6.0,2.0,308.0,15.0,10.0,0.0,10.0,14.0,5.0,1.0,1.0,0.0,43.0,5.0,9.0,35.7"
"Felix Afena-Gyan,gh GHA,""FW,MF"",Cremonese,20-022,2003,12.0,2.0,359.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.29,0.29,4.0,1.0,0.0,10.0,0.25,0.0,0.0,0.12,-1.2,-1.2,71.0,90.0,78.9,937.0,106.0,49.0,55.0,89.1,16.0,20.0,80.0,3.0,5.0,60.0,1.0,3.0,0.0,0.0,6.0,87.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.75,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,137.0,5.0,19.0,44.0,76.0,17.0,137.0,89.0,14.0,5.0,2.0,99.0,16.0,8.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,17.0,8.0,16.0,33.3"
"Kevin Agudelo,co COL,""MF,FW"",Spezia,24-088,1998,20.0,15.0,1365.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07,0.07,15.2,5.0,0.0,27.8,0.33,0.0,0.0,0.06,-1.0,-1.0,299.0,424.0,70.5,4480.0,1593.0,173.0,218.0,79.4,93.0,122.0,76.2,18.0,33.0,54.5,14.0,37.0,14.0,1.0,63.0,405.0,14.0,2.0,2.0,1.0,21.0,5.0,3.0,2.0,0.0,4.0,5.0,17.0,29.0,1.91,20.0,1.0,3.0,2.0,2.0,0.13,1.0,0.0,0.0,1.0,0.0,47.0,22.0,14.0,20.0,13.0,28.0,4.0,24.0,7.0,2.0,0.0,645.0,7.0,96.0,305.0,263.0,30.0,645.0,367.0,45.0,36.0,11.0,389.0,41.0,38.0,0.0,26.0,27.0,2.0,0.0,0.0,0.0,88.0,9.0,20.0,31.0"
Ola Aina,ng NGA,DF,Torino,26-125,1996,12.0,8.0,676.0,1.0,1.0,0.0,0.0,4.0,0.0,0.13,0.13,0.27,0.13,0.27,0.7,0.7,0.1,0.1,7.5,3.0,0.0,42.9,0.4,0.14,0.33,0.11,0.3,0.3,311.0,418.0,74.4,5198.0,2091.0,163.0,176.0,92.6,99.0,133.0,74.4,39.0,73.0,53.4,9.0,23.0,12.0,8.0,35.0,334.0,80.0,6.0,0.0,1.0,26.0,1.0,0.0,0.0,0.0,73.0,4.0,14.0,22.0,2.92,17.0,1.0,0.0,1.0,3.0,0.4,2.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,7.0,3.0,9.0,2.0,7.0,8.0,20.0,0.0,514.0,18.0,111.0,234.0,177.0,11.0,514.0,275.0,29.0,21.0,4.0,301.0,11.0,5.0,0.0,12.0,12.0,1.0,0.0,1.0,0.0,47.0,9.0,6.0,60.0
Emanuel Aiwum,at AUT,DF,Cremonese,22-047,2000,15.0,11.0,1029.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.01,11.4,1.0,0.0,33.3,0.09,0.0,0.0,0.05,-0.2,-0.2,415.0,539.0,77.0,7092.0,2637.0,191.0,211.0,90.5,186.0,229.0,81.2,30.0,71.0,42.3,4.0,36.0,7.0,1.0,39.0,460.0,77.0,17.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,55.0,2.0,10.0,10.0,0.87,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,25.0,16.0,2.0,15.0,9.0,6.0,19.0,37.0,1.0,669.0,70.0,336.0,298.0,45.0,5.0,669.0,331.0,17.0,10.0,0.0,336.0,6.0,3.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,80.0,19.0,7.0,73.1
Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-122,1992,11.0,6.0,547.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04,0.04,6.1,1.0,0.0,20.0,0.16,0.0,0.0,0.05,-0.2,-0.2,146.0,192.0,76.0,2109.0,823.0,75.0,91.0,82.4,51.0,61.0,83.6,7.0,11.0,63.6,1.0,11.0,2.0,1.0,18.0,190.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.48,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,9.0,8.0,4.0,21.0,4.0,17.0,6.0,12.0,0.0,289.0,13.0,80.0,154.0,60.0,9.0,289.0,148.0,8.0,11.0,4.0,169.0,11.0,8.0,1.0,14.0,7.0,0.0,0.0,0.0,0.0,31.0,6.0,4.0,60.0
