team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,30.0,45.1,38.0,418.0,3420.0,46.0,36.0,5.0,8.0,87.0,4.0,1.21,0.95,2.16,1.08,2.03,41.0,34.7,1.08,0.91,38.0,38.0,3420.0,90.0,2.37,228.0,137.0,63.2,6.0,9.0,23.0,5.0,13.2,7.0,6.0,1.0,0.0,38.0,1.0,6.0,0.0,76.8,0.31,-13.2,-0.35,240.0,673.0,35.7,1395.0,170.0,37.8,33.6,312.0,46.5,36.8,497.0,10.0,2.0,35.0,0.92,14.4,104.0,14.0,32.8,2.74,0.13,0.39,0.11,5.0,6.3,14274.0,18377.0,77.7,251869.0,98214.0,6531.0,7491.0,87.2,5707.0,6754.0,84.5,1605.0,3053.0,52.6,228.0,885.0,201.0,43.0,1038.0,16502.0,1835.0,609.0,18.0,89.0,460.0,120.0,48.0,53.0,0.0,640.0,40.0,351.0,543.0,14.29,365.0,44.0,46.0,39.0,43.0,76.0,2.0,52.0,4.0,9.0,6.0,5.0,0.0,716.0,407.0,418.0,243.0,55.0,310.0,706.0,43.9,396.0,494.0,151.0,343.0,528.0,717.0,15.0,22821.0,3113.0,9294.0,9985.0,3778.0,515.0,22813.0,326.0,591.0,55.2,12053.0,549.0,387.0,109.0,14104.0,646.0,341.0,3.0,504.0,548.0,40.0,5.0,7.0,0.0,2251.0,506.0,633.0,44.4
vs Benevento,29.0,57.7,38.0,418.0,3420.0,69.0,52.0,4.0,5.0,76.0,6.0,1.82,1.37,3.18,1.71,3.08,64.3,60.5,1.69,1.59,38.0,38.0,3420.0,40.0,1.05,134.0,93.0,73.9,19.0,12.0,7.0,11.0,28.9,7.0,5.0,1.0,1.0,38.0,0.0,11.0,0.0,36.1,0.23,-3.9,-0.1,112.0,284.0,39.4,828.0,172.0,24.2,29.2,226.0,37.2,33.0,528.0,25.0,4.7,35.0,0.92,15.1,172.0,19.0,34.5,4.53,0.13,0.38,0.12,4.7,4.5,17253.0,20935.0,82.4,307344.0,101369.0,7571.0,8475.0,89.3,7286.0,8312.0,87.7,1892.0,2975.0,63.6,365.0,1447.0,365.0,87.0,1804.0,19091.0,1750.0,525.0,25.0,214.0,808.0,230.0,83.0,103.0,0.0,686.0,94.0,303.0,896.0,23.58,663.0,68.0,49.0,62.0,36.0,123.0,3.24,89.0,2.0,13.0,14.0,3.0,2.0,468.0,267.0,206.0,181.0,81.0,179.0,452.0,39.6,273.0,369.0,115.0,254.0,384.0,680.0,14.0,24758.0,2107.0,6514.0,12042.0,6453.0,874.0,24753.0,403.0,647.0,62.3,14210.0,862.0,674.0,157.0,17121.0,554.0,268.0,1.0,621.0,463.0,94.0,4.0,7.0,0.0,1854.0,615.0,496.0,55.4
vs Bologna,37.0,49.1,38.0,418.0,3420.0,63.0,40.0,7.0,9.0,84.0,1.0,1.66,1.05,2.71,1.47,2.53,62.6,56.1,1.65,1.48,38.0,38.0,3420.0,51.0,1.34,179.0,129.0,73.2,17.0,11.0,10.0,11.0,28.9,4.0,3.0,1.0,0.0,38.0,0.0,5.0,2.0,56.1,0.29,7.1,0.19,200.0,564.0,35.5,1041.0,149.0,40.0,34.4,238.0,62.2,44.5,505.0,20.0,4.0,32.0,0.84,15.4,184.0,21.0,34.7,4.84,0.11,0.3,0.11,0.4,-0.1,13987.0,18055.0,77.5,246193.0,91104.0,6350.0,7321.0,86.7,5701.0,6734.0,84.7,1502.0,2841.0,52.9,404.0,1151.0,380.0,85.0,1577.0,16065.0,1919.0,572.0,27.0,105.0,713.0,220.0,84.0,105.0,0.0,753.0,71.0,364.0,936.0,24.63,702.0,63.0,55.0,56.0,42.0,103.0,2.71,63.0,8.0,10.0,14.0,7.0,1.0,588.0,348.0,281.0,241.0,66.0,283.0,628.0,45.1,345.0,424.0,128.0,296.0,432.0,637.0,15.0,22130.0,2268.0,6625.0,9662.0,6082.0,905.0,22121.0,329.0,540.0,60.9,11633.0,713.0,579.0,184.0,13860.0,575.0,333.0,0.0,495.0,495.0,71.0,6.0,4.0,2.0,2024.0,594.0,564.0,51.3
vs Cagliari,32.0,55.4,38.0,418.0,3420.0,59.0,45.0,5.0,5.0,76.0,5.0,1.55,1.18,2.74,1.42,2.61,61.7,57.8,1.62,1.52,38.0,38.0,3420.0,43.0,1.13,127.0,83.0,69.3,19.0,10.0,9.0,14.0,36.8,5.0,4.0,1.0,0.0,38.0,2.0,8.0,0.0,41.2,0.29,-1.8,-0.05,159.0,399.0,39.8,987.0,144.0,29.0,30.5,277.0,40.8,35.9,585.0,25.0,4.3,34.0,0.89,14.1,198.0,20.0,36.0,5.21,0.1,0.27,0.11,-2.7,-3.8,17136.0,20838.0,82.2,308580.0,107013.0,7398.0,8254.0,89.6,7249.0,8225.0,88.1,1968.0,3174.0,62.0,409.0,1300.0,394.0,94.0,1631.0,18879.0,1876.0,546.0,31.0,210.0,778.0,219.0,68.0,105.0,0.0,744.0,83.0,344.0,972.0,25.58,715.0,80.0,56.0,71.0,42.0,107.0,2.82,79.0,6.0,7.0,8.0,5.0,2.0,550.0,312.0,248.0,229.0,73.0,269.0,605.0,44.5,336.0,410.0,116.0,294.0,414.0,706.0,9.0,25040.0,2383.0,7878.0,11331.0,6066.0,965.0,25035.0,378.0,647.0,58.4,14017.0,790.0,534.0,193.0,17008.0,593.0,320.0,3.0,507.0,496.0,83.0,4.0,5.0,0.0,1920.0,602.0,637.0,48.6
vs Crotone,31.0,53.6,38.0,418.0,3420.0,90.0,68.0,5.0,5.0,90.0,5.0,2.37,1.79,4.16,2.24,4.03,70.8,67.0,1.86,1.76,38.0,38.0,3420.0,45.0,1.18,120.0,76.0,70.0,27.0,5.0,6.0,14.0,36.8,9.0,9.0,0.0,0.0,38.0,1.0,3.0,1.0,39.3,0.26,-4.7,-0.12,169.0,446.0,37.9,951.0,160.0,33.5,32.5,225.0,56.4,40.6,410.0,25.0,6.1,36.0,0.95,14.6,211.0,30.0,35.9,5.55,0.14,0.4,0.12,19.2,18.0,16340.0,20121.0,81.2,289160.0,100650.0,7450.0,8306.0,89.7,6506.0,7545.0,86.2,1856.0,3072.0,60.4,454.0,1315.0,342.0,83.0,1680.0,18196.0,1822.0,550.0,31.0,171.0,754.0,228.0,85.0,106.0,0.0,708.0,103.0,318.0,1045.0,27.5,761.0,93.0,56.0,65.0,49.0,160.0,4.21,124.0,6.0,8.0,13.0,6.0,3.0,602.0,361.0,240.0,267.0,95.0,237.0,622.0,38.1,385.0,375.0,83.0,292.0,423.0,522.0,8.0,24021.0,2011.0,6398.0,11417.0,6479.0,964.0,24016.0,331.0,556.0,59.5,13347.0,769.0,559.0,229.0,16186.0,578.0,315.0,2.0,524.0,499.0,103.0,4.0,9.0,1.0,2130.0,534.0,472.0,53.1
vs Fiorentina,30.0,53.8,38.0,418.0,3420.0,57.0,39.0,8.0,11.0,81.0,2.0,1.5,1.03,2.53,1.29,2.32,61.5,52.8,1.62,1.39,38.0,38.0,3420.0,47.0,1.24,121.0,77.0,66.1,16.0,13.0,9.0,12.0,31.6,6.0,6.0,0.0,0.0,38.0,1.0,5.0,3.0,42.6,0.31,-1.4,-0.04,151.0,334.0,45.2,946.0,163.0,25.8,30.1,236.0,38.1,34.3,587.0,21.0,3.6,39.0,1.03,14.8,141.0,21.0,31.8,3.71,0.11,0.35,0.12,-4.5,-3.8,16140.0,19765.0,81.7,283269.0,95682.0,7197.0,8103.0,88.8,6843.0,7848.0,87.2,1624.0,2761.0,58.8,339.0,1166.0,286.0,71.0,1491.0,17944.0,1727.0,551.0,31.0,111.0,692.0,169.0,59.0,72.0,0.0,677.0,94.0,268.0,799.0,21.03,568.0,72.0,51.0,53.0,46.0,103.0,2.71,74.0,10.0,5.0,7.0,7.0,0.0,672.0,369.0,334.0,262.0,76.0,250.0,575.0,43.5,325.0,351.0,86.0,265.0,380.0,753.0,10.0,23781.0,2263.0,7326.0,11387.0,5318.0,745.0,23770.0,315.0,544.0,57.9,13983.0,749.0,527.0,166.0,15983.0,534.0,267.0,1.0,545.0,500.0,94.0,9.0,6.0,3.0,1915.0,544.0,538.0,50.3
vs Genoa,34.0,60.0,38.0,418.0,3420.0,56.0,40.0,7.0,7.0,69.0,1.0,1.47,1.05,2.53,1.29,2.34,60.5,55.4,1.59,1.46,38.0,38.0,3420.0,47.0,1.24,124.0,78.0,65.3,16.0,12.0,10.0,9.0,23.7,4.0,4.0,0.0,0.0,38.0,0.0,3.0,1.0,38.0,0.28,-8.0,-0.21,171.0,396.0,43.2,1091.0,171.0,28.0,31.3,187.0,48.1,38.2,460.0,17.0,3.7,32.0,0.84,15.6,181.0,24.0,33.8,4.76,0.09,0.27,0.11,-4.5,-6.4,18018.0,22063.0,81.7,324550.0,110134.0,7816.0,8874.0,88.1,7685.0,8822.0,87.1,2064.0,3228.0,63.9,406.0,1383.0,348.0,83.0,1796.0,20224.0,1802.0,559.0,21.0,116.0,779.0,214.0,84.0,100.0,0.0,740.0,37.0,363.0,949.0,24.97,695.0,82.0,63.0,39.0,58.0,96.0,2.53,68.0,5.0,10.0,6.0,7.0,0.0,551.0,328.0,256.0,216.0,79.0,246.0,540.0,45.6,294.0,367.0,91.0,276.0,443.0,579.0,10.0,26112.0,2165.0,7336.0,12568.0,6448.0,889.0,26105.0,385.0,640.0,60.2,15101.0,813.0,585.0,190.0,17865.0,654.0,300.0,0.0,502.0,501.0,37.0,7.0,4.0,1.0,2197.0,643.0,505.0,56.0
vs Hellas Verona,32.0,50.2,38.0,418.0,3420.0,46.0,31.0,6.0,7.0,81.0,2.0,1.21,0.82,2.03,1.05,1.87,49.5,44.6,1.3,1.17,38.0,38.0,3420.0,43.0,1.13,121.0,83.0,66.9,15.0,12.0,11.0,9.0,23.7,3.0,3.0,0.0,0.0,38.0,1.0,3.0,5.0,37.6,0.29,-0.4,-0.01,255.0,654.0,39.0,1218.0,146.0,43.4,36.7,235.0,53.2,39.4,549.0,23.0,4.2,35.0,0.92,14.1,139.0,21.0,26.2,3.66,0.08,0.29,0.09,-3.5,-4.6,13153.0,17584.0,74.8,236703.0,96247.0,5875.0,6988.0,84.1,5335.0,6567.0,81.2,1582.0,3092.0,51.2,381.0,1065.0,284.0,80.0,1263.0,15609.0,1936.0,677.0,16.0,102.0,657.0,181.0,71.0,81.0,0.0,732.0,39.0,281.0,900.0,23.68,637.0,81.0,35.0,76.0,57.0,78.0,2.05,51.0,4.0,4.0,10.0,9.0,0.0,496.0,297.0,257.0,195.0,44.0,187.0,479.0,39.0,292.0,396.0,107.0,289.0,476.0,632.0,5.0,21619.0,2443.0,7204.0,9606.0,5054.0,850.0,21612.0,240.0,413.0,58.1,11223.0,546.0,421.0,180.0,12987.0,608.0,292.0,1.0,557.0,593.0,42.0,6.0,3.0,5.0,2102.0,832.0,749.0,52.6
vs Inter,25.0,47.6,38.0,418.0,3420.0,34.0,19.0,5.0,7.0,84.0,3.0,0.89,0.5,1.39,0.76,1.26,39.8,34.4,1.05,0.9,38.0,38.0,3420.0,89.0,2.34,203.0,118.0,60.1,3.0,7.0,28.0,1.0,2.6,9.0,8.0,1.0,0.0,38.0,1.0,9.0,5.0,73.1,0.32,-10.9,-0.29,178.0,446.0,39.9,1014.0,161.0,31.7,33.1,281.0,44.5,37.4,526.0,15.0,2.9,32.0,0.84,13.6,111.0,14.0,29.3,2.92,0.08,0.26,0.09,-5.8,-5.4,16623.0,19839.0,83.8,291963.0,92665.0,7618.0,8362.0,91.1,6878.0,7716.0,89.1,1735.0,2771.0,62.6,298.0,1172.0,243.0,78.0,1279.0,18237.0,1570.0,515.0,15.0,166.0,613.0,137.0,45.0,64.0,0.0,502.0,32.0,329.0,679.0,17.87,504.0,58.0,30.0,33.0,41.0,57.0,1.5,39.0,2.0,3.0,7.0,4.0,2.0,455.0,264.0,238.0,164.0,53.0,193.0,453.0,42.6,260.0,414.0,126.0,288.0,414.0,693.0,11.0,23488.0,2594.0,7409.0,10843.0,5440.0,615.0,23481.0,314.0,527.0,59.6,14098.0,667.0,582.0,125.0,16520.0,472.0,294.0,1.0,444.0,439.0,32.0,5.0,9.0,5.0,1690.0,428.0,439.0,49.4
vs Juventus,30.0,42.9,38.0,418.0,3420.0,36.0,21.0,6.0,9.0,85.0,2.0,0.95,0.55,1.5,0.79,1.34,39.4,32.3,1.04,0.85,38.0,38.0,3420.0,77.0,2.03,216.0,138.0,68.1,6.0,9.0,23.0,6.0,15.8,10.0,8.0,2.0,0.0,38.0,0.0,10.0,1.0,73.8,0.31,-2.2,-0.06,199.0,460.0,43.3,930.0,149.0,36.1,33.3,264.0,47.0,37.7,560.0,10.0,1.8,17.0,0.45,12.2,112.0,23.0,26.4,2.95,0.07,0.27,0.08,-3.4,-2.3,14407.0,17590.0,81.9,248758.0,88166.0,6912.0,7665.0,90.2,5569.0,6456.0,86.3,1512.0,2503.0,60.4,315.0,1142.0,270.0,78.0,1355.0,15813.0,1737.0,565.0,12.0,152.0,644.0,162.0,47.0,78.0,1.0,607.0,40.0,318.0,737.0,19.39,545.0,55.0,50.0,32.0,44.0,54.0,1.42,36.0,4.0,1.0,3.0,9.0,1.0,533.0,303.0,248.0,202.0,83.0,233.0,684.0,34.1,451.0,427.0,153.0,274.0,402.0,699.0,7.0,21560.0,2598.0,6982.0,9238.0,5568.0,679.0,21551.0,369.0,612.0,60.3,12552.0,690.0,553.0,159.0,14305.0,535.0,323.0,1.0,490.0,483.0,40.0,6.0,10.0,1.0,1805.0,378.0,426.0,47.0
