player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,23,1997,37.0,36.0,3084.0,17.0,4.0,3.0,3.0,9.0,0.0,0.5,0.12,0.61,0.41,0.53,19.2,16.8,0.56,0.49,34.3,35.0,3.0,38.0,1.02,0.15,0.4,0.18,-2.2,-2.8,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,38.0,35.0,27.0,3.0,70.0,627.0,67.0,6.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,94.0,2.74,62.0,1.0,6.0,17.0,7.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,27.0,0.0,1064.0,32.0,73.0,508.0,495.0,173.0,1061.0,38.0,77.0,49.4,494.0,41.0,31.0,22.0,736.0,86.0,41.0,0.0,38.0,49.0,17.0,1.0,1.0,0.0,68.0,78.0,80.0,49.4
Francesco Acerbi,it ITA,DF,Lazio,33,1988,30.0,29.0,2536.0,4.0,0.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.08,0.08,28.2,7.0,0.0,46.7,0.25,0.27,0.57,0.15,1.8,1.8,1837.0,2043.0,89.9,34996.0,12273.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,5.0,119.0,6.0,0.0,119.0,1955.0,87.0,77.0,1.0,34.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,17.0,0.61,13.0,1.0,0.0,1.0,2.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,92.0,0.0,2295.0,268.0,1102.0,1143.0,59.0,22.0,2295.0,4.0,6.0,66.7,1364.0,31.0,19.0,0.0,1641.0,13.0,4.0,0.0,18.0,16.0,4.0,1.0,0.0,0.0,162.0,69.0,43.0,61.6
Michel Aebischer,ch SUI,MF,Bologna,24,1997,12.0,4.0,443.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,4.9,2.0,0.0,100.0,0.41,0.0,0.0,0.07,-0.1,-0.1,205.0,239.0,85.8,3121.0,883.0,105.0,113.0,92.9,78.0,84.0,92.9,12.0,22.0,54.5,6.0,14.0,4.0,1.0,19.0,225.0,13.0,5.0,0.0,1.0,7.0,7.0,0.0,4.0,0.0,1.0,1.0,5.0,10.0,2.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6.0,3.0,0.0,292.0,12.0,68.0,171.0,56.0,8.0,292.0,1.0,4.0,25.0,143.0,2.0,2.0,2.0,196.0,9.0,5.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,27.0,5.0,4.0,55.6
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,17.0,6.0,668.0,2.0,0.0,0.0,0.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,1.5,1.5,0.2,0.2,7.4,7.0,0.0,41.2,0.94,0.12,0.29,0.09,0.5,0.5,114.0,152.0,75.0,1530.0,229.0,67.0,81.0,82.7,34.0,45.0,75.6,6.0,7.0,85.7,6.0,4.0,4.0,1.0,7.0,145.0,7.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,23.0,3.1,14.0,0.0,2.0,2.0,5.0,2.0,0.27,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,6.0,3.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,3.0,0.0,0.0,278.0,0.0,17.0,91.0,175.0,39.0,278.0,5.0,20.0,25.0,193.0,19.0,16.0,9.0,212.0,42.0,21.0,1.0,15.0,24.0,4.0,0.0,0.0,0.0,31.0,11.0,15.0,42.3
Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,23.0,12.0,1237.0,3.0,1.0,0.0,0.0,2.0,1.0,0.22,0.07,0.29,0.22,0.29,2.0,2.0,0.15,0.15,13.7,11.0,0.0,52.4,0.8,0.14,0.27,0.1,1.0,1.0,280.0,389.0,72.0,3788.0,1163.0,165.0,211.0,78.2,90.0,108.0,83.3,7.0,20.0,35.0,10.0,33.0,11.0,1.0,46.0,375.0,11.0,1.0,0.0,1.0,22.0,4.0,3.0,1.0,0.0,4.0,3.0,22.0,39.0,2.84,21.0,0.0,6.0,4.0,4.0,3.0,0.22,1.0,0.0,0.0,0.0,0.0,2.0,44.0,26.0,13.0,26.0,5.0,7.0,20.0,35.0,13.0,22.0,0.0,22.0,8.0,6.0,0.0,583.0,10.0,72.0,266.0,262.0,32.0,583.0,28.0,51.0,54.9,323.0,41.0,35.0,15.0,374.0,40.0,37.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,67.0,15.0,14.0,51.7
Ola Aina,ng NGA,DF,Torino,24,1996,21.0,17.0,1437.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.02,16.0,4.0,0.0,40.0,0.25,0.0,0.0,0.04,-0.4,-0.4,535.0,755.0,70.9,8693.0,3540.0,272.0,316.0,86.1,202.0,280.0,72.1,44.0,93.0,47.3,16.0,43.0,20.0,4.0,68.0,600.0,151.0,9.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,142.0,4.0,30.0,37.0,2.32,29.0,2.0,3.0,0.0,3.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28.0,30.0,0.0,950.0,48.0,227.0,441.0,294.0,27.0,950.0,18.0,40.0,45.0,483.0,42.0,34.0,7.0,530.0,32.0,10.0,0.0,18.0,28.0,1.0,0.0,0.0,0.0,101.0,17.0,25.0,40.5
Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,4.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,184.0,58.0,7.0,8.0,87.5,1.0,2.0,50.0,2.0,2.0,100.0,0.0,2.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.0,12.0,9.0,0.0,24.0,0.0,2.0,0.0,18.0,3.0,2.0,0.0,18.0,3.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10.0,4.0,315.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.06,0.06,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.2,-0.2,89.0,106.0,84.0,1077.0,154.0,61.0,68.0,89.7,24.0,25.0,96.0,1.0,1.0,100.0,2.0,6.0,1.0,0.0,3.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.86,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,7.0,9.0,1.0,7.0,12.0,58.3,5.0,4.0,2.0,2.0,2.0,6.0,0.0,166.0,10.0,45.0,88.0,37.0,1.0,166.0,6.0,10.0,60.0,89.0,5.0,4.0,0.0,107.0,13.0,4.0,0.0,13.0,8.0,0.0,0.0,1.0,0.0,13.0,4.0,4.0,50.0
Luis Alberto,es ESP,MF,Lazio,28,1992,34.0,27.0,2353.0,5.0,9.0,0.0,0.0,5.0,0.0,0.19,0.34,0.54,0.19,0.54,4.1,4.1,0.16,0.16,26.1,16.0,2.0,34.0,0.61,0.11,0.31,0.09,0.9,0.9,1626.0,1970.0,82.5,25002.0,8252.0,896.0,986.0,90.9,553.0,631.0,87.6,115.0,235.0,48.9,65.0,235.0,44.0,5.0,223.0,1751.0,211.0,82.0,18.0,9.0,143.0,104.0,47.0,40.0,0.0,12.0,8.0,29.0,120.0,4.59,83.0,26.0,3.0,3.0,5.0,16.0,0.61,6.0,7.0,1.0,2.0,0.0,0.0,29.0,17.0,8.0,11.0,10.0,8.0,52.0,15.4,44.0,32.0,4.0,28.0,13.0,7.0,0.0,2177.0,16.0,259.0,1216.0,728.0,30.0,2177.0,27.0,44.0,61.4,1343.0,84.0,88.0,7.0,1682.0,29.0,23.0,0.0,13.0,26.0,1.0,0.0,0.0,0.0,136.0,6.0,12.0,33.3
Giorgio Altare,it ITA,DF,Cagliari,22,1998,19.0,17.0,1466.0,1.0,0.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.08,0.08,16.3,6.0,0.0,33.3,0.37,0.06,0.17,0.08,-0.3,-0.3,531.0,799.0,66.5,10947.0,4885.0,175.0,221.0,79.2,250.0,330.0,75.8,100.0,208.0,48.1,8.0,50.0,6.0,3.0,71.0,712.0,83.0,12.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,71.0,4.0,11.0,27.0,1.66,16.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,18.0,18.0,3.0,21.0,26.0,80.8,5.0,17.0,5.0,12.0,30.0,70.0,0.0,1000.0,96.0,426.0,456.0,129.0,25.0,1000.0,8.0,10.0,80.0,461.0,13.0,15.0,0.0,479.0,6.0,3.0,0.0,35.0,10.0,1.0,0.0,1.0,0.0,126.0,46.0,34.0,57.5
Wisdom Amey,it ITA,DF,Bologna,15,2005,1.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,419.0,59.0,8.0,9.0,88.9,7.0,10.0,70.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,3.0,1.0,0.0,41.0,1.0,17.0,23.0,2.0,0.0,41.0,0.0,1.0,0.0,19.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0
