team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,25.0,50.2,33.0,363.0,2970.0,37.0,28.0,3.0,3.0,74.0,0.0,1.12,0.85,1.97,1.03,1.88,35.0,32.7,1.06,0.99,33.0,33.0,2970.0,56.0,1.7,154.0,97.0,67.5,9.0,7.0,17.0,6.0,18.2,8.0,6.0,2.0,0.0,33.0,0.0,6.0,1.0,50.8,0.28,-4.2,-0.13,183.0,543.0,33.7,1152.0,152.0,37.6,35.4,246.0,44.7,40.6,439.0,15.0,3.4,47.0,1.42,16.1,124.0,15.0,31.9,3.76,0.09,0.27,0.08,2.0,1.3,13303.0,16903.0,78.7,235798.0,87480.0,5984.0,6777.0,88.3,5439.0,6408.0,84.9,1464.0,2667.0,54.9,294.0,970.0,231.0,66.0,1129.0,15186.0,1675.0,429.0,26.0,100.0,510.0,129.0,35.0,56.0,0.0,747.0,42.0,343.0,681.0,20.64,510.0,56.0,33.0,34.0,62.0,1.88,46.0,4.0,4.0,3.0,0.0,644.0,393.0,363.0,214.0,67.0,394.0,111.0,283.0,311.0,620.0,7.0,20802.0,2255.0,7140.0,9392.0,4485.0,602.0,20799.0,11838.0,529.0,413.0,119.0,13147.0,564.0,283.0,0.0,354.0,372.0,42.0,1.0,8.0,1.0,1976.0,418.0,508.0,45.1
vs Bologna,27.0,46.0,33.0,363.0,2970.0,40.0,24.0,7.0,9.0,76.0,2.0,1.21,0.73,1.94,1.0,1.73,43.1,36.1,1.31,1.09,33.0,33.0,2968.0,42.0,1.27,128.0,87.0,71.9,12.0,9.0,12.0,7.0,21.2,6.0,6.0,0.0,0.0,33.0,0.0,6.0,1.0,35.9,0.24,-5.1,-0.15,191.0,523.0,36.5,877.0,147.0,43.8,36.8,233.0,59.7,46.4,393.0,20.0,5.1,41.0,1.24,16.4,135.0,12.0,32.4,4.09,0.08,0.24,0.09,-3.1,-3.1,11439.0,14804.0,77.3,202472.0,76787.0,5119.0,5908.0,86.6,4740.0,5612.0,84.5,1209.0,2333.0,51.8,306.0,893.0,244.0,73.0,1123.0,13075.0,1675.0,454.0,29.0,94.0,575.0,148.0,58.0,71.0,1.0,724.0,54.0,302.0,724.0,21.94,497.0,71.0,60.0,35.0,65.0,1.97,41.0,4.0,7.0,7.0,1.0,486.0,290.0,231.0,195.0,60.0,407.0,101.0,306.0,280.0,514.0,8.0,18348.0,1825.0,5572.0,8399.0,4574.0,691.0,18339.0,9941.0,492.0,417.0,115.0,11354.0,514.0,320.0,1.0,400.0,388.0,54.0,6.0,6.0,1.0,1775.0,397.0,325.0,55.0
vs Cremonese,32.0,57.0,33.0,363.0,2970.0,58.0,39.0,5.0,5.0,56.0,0.0,1.76,1.18,2.94,1.61,2.79,57.9,54.0,1.76,1.64,33.0,33.0,2970.0,29.0,0.88,112.0,81.0,77.7,18.0,12.0,3.0,13.0,39.4,6.0,4.0,2.0,0.0,33.0,0.0,2.0,0.0,29.4,0.21,0.4,0.01,151.0,393.0,38.4,867.0,172.0,32.5,34.2,269.0,41.3,37.8,463.0,30.0,6.5,33.0,1.0,14.9,189.0,19.0,38.4,5.73,0.11,0.28,0.11,0.1,-1.0,14059.0,17712.0,79.4,257785.0,94563.0,6154.0,7099.0,86.7,5862.0,6868.0,85.4,1713.0,2887.0,59.3,380.0,1018.0,305.0,86.0,1385.0,15938.0,1717.0,454.0,42.0,162.0,608.0,169.0,59.0,76.0,0.0,741.0,57.0,298.0,886.0,26.85,617.0,91.0,61.0,44.0,104.0,3.15,72.0,4.0,10.0,9.0,2.0,478.0,286.0,223.0,187.0,68.0,349.0,108.0,241.0,267.0,657.0,12.0,21481.0,2091.0,7015.0,9492.0,5199.0,794.0,21476.0,12254.0,652.0,486.0,159.0,13946.0,527.0,306.0,0.0,373.0,393.0,57.0,4.0,6.0,0.0,1867.0,660.0,500.0,56.9
vs Empoli,31.0,53.3,33.0,363.0,2970.0,42.0,28.0,4.0,6.0,71.0,5.0,1.27,0.85,2.12,1.15,2.0,51.9,47.3,1.57,1.43,33.0,33.0,2970.0,29.0,0.88,112.0,84.0,75.0,14.0,11.0,8.0,11.0,33.3,1.0,1.0,0.0,0.0,33.0,1.0,3.0,1.0,25.3,0.22,-2.7,-0.08,127.0,323.0,39.3,817.0,156.0,29.9,33.4,223.0,35.4,36.3,399.0,11.0,2.8,29.0,0.88,15.1,130.0,20.0,24.6,3.94,0.07,0.29,0.09,-9.9,-9.3,13285.0,16548.0,80.3,245916.0,86503.0,5838.0,6580.0,88.7,5308.0,6268.0,84.7,1781.0,2795.0,63.7,394.0,1083.0,352.0,115.0,1523.0,14823.0,1658.0,394.0,28.0,281.0,845.0,211.0,70.0,89.0,2.0,748.0,67.0,298.0,951.0,28.82,703.0,92.0,59.0,44.0,74.0,2.24,52.0,10.0,7.0,3.0,0.0,596.0,328.0,281.0,236.0,79.0,401.0,119.0,282.0,283.0,554.0,7.0,20238.0,1854.0,5960.0,8549.0,5909.0,891.0,20232.0,11520.0,749.0,500.0,178.0,13187.0,498.0,313.0,2.0,412.0,365.0,67.0,4.0,1.0,1.0,1693.0,424.0,343.0,55.3
vs Fiorentina,30.0,43.2,33.0,363.0,2970.0,37.0,26.0,5.0,5.0,91.0,4.0,1.12,0.79,1.91,0.97,1.76,37.7,34.2,1.14,1.04,33.0,33.0,2970.0,45.0,1.36,158.0,113.0,74.1,11.0,10.0,12.0,8.0,24.2,6.0,4.0,2.0,0.0,33.0,2.0,8.0,2.0,42.4,0.24,-0.6,-0.02,242.0,687.0,35.2,1100.0,172.0,45.6,38.0,281.0,65.8,49.1,598.0,30.0,5.0,24.0,0.73,11.8,102.0,8.0,33.7,3.09,0.11,0.31,0.11,-0.7,-2.2,9485.0,12789.0,74.2,177281.0,71615.0,4018.0,4716.0,85.2,4015.0,4851.0,82.8,1189.0,2422.0,49.1,234.0,638.0,191.0,60.0,806.0,11098.0,1611.0,449.0,36.0,106.0,400.0,105.0,33.0,62.0,0.0,651.0,80.0,265.0,526.0,15.94,361.0,50.0,34.0,25.0,64.0,1.94,46.0,3.0,5.0,4.0,1.0,563.0,306.0,304.0,208.0,51.0,402.0,153.0,249.0,296.0,758.0,8.0,16468.0,2665.0,7213.0,6469.0,2995.0,524.0,16463.0,8116.0,402.0,263.0,121.0,9381.0,469.0,270.0,1.0,487.0,400.0,80.0,3.0,6.0,2.0,1708.0,458.0,539.0,45.9
vs Hellas Verona,36.0,58.3,33.0,363.0,2970.0,49.0,43.0,0.0,1.0,63.0,5.0,1.48,1.3,2.79,1.48,2.79,42.4,41.7,1.29,1.26,33.0,33.0,2970.0,27.0,0.82,103.0,78.0,74.8,18.0,9.0,6.0,12.0,36.4,1.0,1.0,0.0,0.0,33.0,0.0,5.0,2.0,26.2,0.25,1.2,0.04,235.0,634.0,37.1,1122.0,133.0,44.8,36.9,203.0,64.5,48.1,440.0,22.0,5.0,37.0,1.12,15.7,162.0,16.0,34.5,4.91,0.1,0.3,0.09,6.6,7.3,13394.0,17142.0,78.1,237991.0,93319.0,6062.0,6952.0,87.2,5599.0,6606.0,84.8,1393.0,2692.0,51.7,349.0,1087.0,293.0,68.0,1283.0,15353.0,1754.0,522.0,37.0,87.0,545.0,172.0,63.0,82.0,0.0,715.0,35.0,297.0,804.0,24.36,586.0,73.0,54.0,39.0,85.0,2.58,68.0,5.0,3.0,2.0,0.0,532.0,296.0,275.0,200.0,57.0,334.0,92.0,242.0,239.0,620.0,2.0,20890.0,2101.0,6672.0,9712.0,4692.0,765.0,20889.0,11298.0,516.0,386.0,136.0,13235.0,587.0,270.0,0.0,358.0,455.0,35.0,1.0,1.0,2.0,1833.0,650.0,666.0,49.4
vs Inter,24.0,43.1,33.0,363.0,2970.0,33.0,28.0,3.0,3.0,79.0,1.0,1.0,0.85,1.85,0.91,1.76,29.4,27.0,0.89,0.82,33.0,33.0,2970.0,60.0,1.82,179.0,120.0,68.7,11.0,3.0,19.0,7.0,21.2,5.0,4.0,1.0,0.0,33.0,2.0,6.0,2.0,56.4,0.3,-1.6,-0.05,168.0,508.0,33.1,857.0,154.0,38.5,36.8,301.0,59.1,46.6,650.0,26.0,4.0,15.0,0.45,10.6,109.0,17.0,32.0,3.3,0.09,0.28,0.08,3.6,3.0,11248.0,14258.0,78.9,205486.0,74846.0,4847.0,5490.0,88.3,4815.0,5613.0,85.8,1314.0,2378.0,55.3,273.0,777.0,225.0,76.0,1018.0,12648.0,1579.0,428.0,10.0,126.0,451.0,117.0,40.0,56.0,0.0,609.0,31.0,275.0,617.0,18.7,479.0,48.0,28.0,32.0,59.0,1.79,44.0,7.0,3.0,5.0,0.0,399.0,221.0,193.0,154.0,52.0,335.0,136.0,199.0,292.0,745.0,9.0,17748.0,2387.0,6527.0,7744.0,3654.0,516.0,17745.0,9372.0,567.0,395.0,105.0,11165.0,461.0,281.0,0.0,386.0,359.0,31.0,3.0,5.0,2.0,1532.0,369.0,465.0,44.2
vs Juventus,29.0,51.3,33.0,363.0,2970.0,28.0,22.0,3.0,4.0,67.0,2.0,0.85,0.67,1.52,0.76,1.42,36.4,33.3,1.1,1.01,33.0,33.0,2970.0,50.0,1.52,153.0,101.0,69.3,8.0,6.0,19.0,7.0,21.2,6.0,3.0,2.0,1.0,33.0,4.0,10.0,0.0,45.0,0.28,-5.0,-0.15,160.0,383.0,41.8,799.0,132.0,33.5,34.0,240.0,47.9,41.1,473.0,12.0,2.5,27.0,0.82,14.8,113.0,15.0,28.3,3.42,0.06,0.22,0.08,-8.4,-8.3,13876.0,16947.0,81.9,243369.0,82126.0,6517.0,7220.0,90.3,5610.0,6489.0,86.5,1439.0,2412.0,59.7,298.0,1137.0,239.0,81.0,1219.0,15337.0,1563.0,420.0,23.0,130.0,631.0,165.0,69.0,65.0,0.0,631.0,47.0,298.0,689.0,20.88,535.0,54.0,34.0,23.0,46.0,1.39,32.0,2.0,7.0,1.0,1.0,517.0,294.0,232.0,211.0,74.0,331.0,103.0,228.0,308.0,578.0,8.0,20425.0,2051.0,6027.0,9501.0,5126.0,570.0,20421.0,11907.0,642.0,531.0,112.0,13766.0,521.0,258.0,0.0,370.0,345.0,47.0,1.0,6.0,0.0,1662.0,408.0,425.0,49.0
vs Lazio,22.0,48.7,33.0,363.0,2970.0,24.0,16.0,1.0,1.0,93.0,6.0,0.73,0.48,1.21,0.7,1.18,37.7,36.9,1.14,1.12,33.0,33.0,2970.0,52.0,1.58,140.0,88.0,66.4,7.0,7.0,19.0,6.0,18.2,7.0,5.0,1.0,1.0,33.0,1.0,3.0,1.0,47.9,0.3,-3.1,-0.09,166.0,384.0,43.2,1083.0,146.0,27.6,30.2,200.0,42.5,38.0,315.0,19.0,6.0,46.0,1.39,14.9,112.0,6.0,27.3,3.39,0.06,0.21,0.09,-13.7,-13.9,14461.0,17549.0,82.4,269265.0,86214.0,5802.0,6476.0,89.6,6717.0,7471.0,89.9,1626.0,2699.0,60.2,312.0,974.0,254.0,81.0,1165.0,15994.0,1497.0,383.0,26.0,184.0,568.0,154.0,65.0,50.0,0.0,661.0,58.0,320.0,715.0,21.67,517.0,66.0,46.0,25.0,43.0,1.3,30.0,3.0,5.0,3.0,1.0,467.0,260.0,184.0,219.0,64.0,332.0,84.0,248.0,285.0,454.0,15.0,20806.0,2255.0,7720.0,9047.0,4264.0,636.0,20805.0,12583.0,529.0,352.0,127.0,14372.0,447.0,267.0,4.0,447.0,330.0,58.0,1.0,7.0,1.0,1788.0,333.0,334.0,49.9
vs Lecce,29.0,58.3,33.0,363.0,2970.0,37.0,25.0,5.0,5.0,74.0,1.0,1.12,0.76,1.88,0.97,1.73,36.7,33.0,1.11,1.0,33.0,33.0,2970.0,28.0,0.85,96.0,69.0,74.0,16.0,10.0,7.0,12.0,36.4,4.0,3.0,1.0,0.0,33.0,0.0,5.0,2.0,26.9,0.24,0.9,0.03,161.0,423.0,38.1,1013.0,180.0,32.5,32.5,237.0,39.7,36.5,472.0,30.0,6.4,32.0,0.97,15.4,134.0,18.0,34.9,4.06,0.08,0.24,0.09,0.3,-1.0,13879.0,17741.0,78.2,246996.0,90477.0,6141.0,7121.0,86.2,5957.0,6967.0,85.5,1407.0,2609.0,53.9,290.0,981.0,239.0,69.0,1217.0,15719.0,1961.0,518.0,44.0,130.0,598.0,179.0,57.0,93.0,0.0,926.0,61.0,373.0,675.0,20.45,488.0,68.0,37.0,44.0,61.0,1.85,42.0,3.0,4.0,7.0,0.0,508.0,286.0,268.0,186.0,54.0,326.0,98.0,228.0,277.0,612.0,7.0,21443.0,2081.0,7081.0,9839.0,4735.0,662.0,21438.0,11974.0,542.0,397.0,115.0,13743.0,597.0,351.0,0.0,401.0,455.0,61.0,4.0,4.0,2.0,1782.0,624.0,499.0,55.6
vs Milan,29.0,45.2,33.0,363.0,2970.0,38.0,30.0,4.0,5.0,100.0,1.0,1.15,0.91,2.06,1.03,1.94,35.7,31.8,1.08,0.96,33.0,33.0,2970.0,53.0,1.61,160.0,110.0,68.8,7.0,10.0,16.0,5.0,15.2,3.0,3.0,0.0,0.0,33.0,1.0,4.0,3.0,51.2,0.31,1.2,0.04,165.0,491.0,33.6,803.0,166.0,42.1,37.1,266.0,57.5,45.6,464.0,23.0,5.0,40.0,1.21,14.5,107.0,14.0,30.5,3.24,0.1,0.32,0.09,2.3,2.2,10666.0,13859.0,77.0,186415.0,75344.0,5073.0,5809.0,87.3,4047.0,4915.0,82.3,1194.0,2278.0,52.4,288.0,785.0,212.0,56.0,1028.0,12222.0,1602.0,431.0,19.0,153.0,467.0,146.0,74.0,43.0,0.0,653.0,35.0,269.0,626.0,18.97,449.0,62.0,35.0,41.0,67.0,2.03,43.0,6.0,4.0,7.0,2.0,565.0,337.0,304.0,208.0,53.0,356.0,121.0,235.0,296.0,679.0,12.0,17582.0,2155.0,6176.0,7683.0,3922.0,527.0,17577.0,9737.0,477.0,386.0,94.0,10571.0,567.0,350.0,0.0,399.0,387.0,35.0,5.0,3.0,3.0,1732.0,419.0,508.0,45.2
