team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Augsburg,30.0,53.6,34.0,374.0,3060.0,69.0,50.0,1.0,2.0,53.0,1.0,2.03,1.47,3.5,2.0,3.47,61.1,59.5,1.8,1.75,34.0,34.0,3060.0,51.0,1.5,161.0,111.0,71.4,18.0,8.0,8.0,9.0,26.5,5.0,5.0,0.0,0.0,34.0,3.0,10.0,1.0,46.8,0.26,-3.2,-0.09,275.0,629.0,43.7,1169.0,177.0,39.9,35.3,279.0,58.4,47.2,492.0,29.0,5.9,49.0,1.44,16.3,188.0,20.0,36.3,5.53,0.13,0.36,0.12,7.9,8.5,13895.0,17792.0,78.1,260292.0,96997.0,5671.0,6655.0,85.2,5919.0,6977.0,84.8,1850.0,3100.0,59.7,399.0,1064.0,278.0,68.0,1445.0,15864.0,1865.0,520.0,50.0,155.0,596.0,173.0,63.0,93.0,2.0,809.0,63.0,325.0,915.0,26.91,650.0,90.0,55.0,54.0,119.0,3.5,80.0,10.0,12.0,7.0,2.0,526.0,328.0,241.0,217.0,68.0,406.0,92.0,314.0,394.0,710.0,16.0,21714.0,2022.0,6581.0,10563.0,4785.0,807.0,21712.0,11658.0,645.0,458.0,165.0,13759.0,532.0,353.0,1.0,376.0,433.0,63.0,2.0,5.0,1.0,1776.0,699.0,654.0,51.7
vs Bayern Munich,24.0,34.3,34.0,374.0,3060.0,31.0,22.0,5.0,6.0,56.0,6.0,0.91,0.65,1.56,0.76,1.41,27.2,22.6,0.8,0.67,34.0,34.0,3060.0,88.0,2.59,255.0,169.0,66.7,4.0,6.0,24.0,3.0,8.8,4.0,3.0,0.0,1.0,34.0,0.0,12.0,2.0,87.3,0.35,1.3,0.04,277.0,740.0,37.4,988.0,157.0,47.0,38.0,394.0,70.1,50.5,648.0,28.0,4.3,17.0,0.5,10.2,74.0,7.0,29.4,2.18,0.1,0.35,0.09,3.8,3.4,9169.0,12463.0,73.6,170858.0,69464.0,3950.0,4723.0,83.6,3691.0,4476.0,82.5,1226.0,2463.0,49.8,181.0,603.0,104.0,31.0,766.0,10880.0,1529.0,383.0,13.0,123.0,317.0,68.0,28.0,35.0,0.0,565.0,54.0,279.0,424.0,12.47,309.0,34.0,18.0,26.0,50.0,1.47,38.0,1.0,5.0,3.0,0.0,572.0,366.0,364.0,169.0,39.0,467.0,131.0,336.0,382.0,935.0,20.0,16217.0,2750.0,6971.0,6783.0,2641.0,315.0,16211.0,7909.0,391.0,305.0,79.0,9101.0,431.0,300.0,3.0,364.0,284.0,54.0,3.0,4.0,2.0,1614.0,444.0,522.0,46.0
vs Dortmund,23.0,41.9,34.0,374.0,3060.0,44.0,25.0,4.0,5.0,68.0,3.0,1.29,0.74,2.03,1.18,1.91,39.9,36.0,1.17,1.06,34.0,34.0,3060.0,81.0,2.38,180.0,100.0,57.2,4.0,7.0,23.0,3.0,8.8,4.0,4.0,0.0,0.0,34.0,3.0,6.0,1.0,64.4,0.35,-15.6,-0.46,192.0,458.0,41.9,994.0,120.0,34.3,33.6,235.0,49.8,43.8,375.0,13.0,3.5,32.0,0.94,14.8,130.0,10.0,37.7,3.82,0.12,0.31,0.11,4.1,4.0,12337.0,15855.0,77.8,229458.0,82942.0,5093.0,5936.0,85.8,5192.0,6138.0,84.6,1628.0,2763.0,58.9,243.0,890.0,260.0,74.0,1290.0,14264.0,1511.0,334.0,25.0,159.0,575.0,162.0,52.0,87.0,0.0,668.0,80.0,300.0,607.0,17.85,439.0,64.0,35.0,31.0,73.0,2.15,42.0,8.0,7.0,7.0,5.0,678.0,442.0,326.0,283.0,69.0,475.0,114.0,361.0,395.0,631.0,13.0,19596.0,2043.0,6435.0,9148.0,4204.0,573.0,19591.0,9950.0,520.0,393.0,93.0,12262.0,524.0,316.0,1.0,399.0,277.0,80.0,3.0,4.0,1.0,1800.0,472.0,461.0,50.6
vs Düsseldorf,24.0,56.8,34.0,374.0,3060.0,65.0,35.0,7.0,7.0,57.0,4.0,1.91,1.03,2.94,1.71,2.74,62.4,57.0,1.83,1.68,34.0,34.0,3060.0,49.0,1.44,158.0,110.0,72.2,16.0,5.0,13.0,9.0,26.5,7.0,5.0,0.0,2.0,34.0,1.0,3.0,1.0,48.2,0.28,0.2,0.01,170.0,407.0,41.8,940.0,163.0,27.0,30.4,244.0,62.7,49.9,433.0,20.0,4.6,39.0,1.15,15.3,172.0,19.0,35.5,5.06,0.12,0.34,0.12,2.6,1.0,16201.0,19758.0,82.0,288352.0,101712.0,7299.0,8193.0,89.1,6772.0,7770.0,87.2,1718.0,2807.0,61.2,350.0,1296.0,277.0,80.0,1654.0,18045.0,1660.0,452.0,36.0,108.0,672.0,164.0,77.0,73.0,2.0,716.0,53.0,327.0,854.0,25.12,588.0,75.0,61.0,46.0,102.0,3.0,63.0,3.0,17.0,6.0,1.0,460.0,316.0,192.0,204.0,64.0,342.0,91.0,251.0,332.0,583.0,10.0,23359.0,1704.0,5758.0,12392.0,5447.0,759.0,23352.0,13759.0,812.0,585.0,147.0,16091.0,521.0,375.0,2.0,435.0,409.0,53.0,4.0,7.0,1.0,1864.0,608.0,609.0,50.0
vs Eint Frankfurt,30.0,52.8,34.0,374.0,3060.0,47.0,38.0,1.0,1.0,63.0,3.0,1.38,1.12,2.5,1.35,2.47,50.7,49.9,1.49,1.47,34.0,34.0,3060.0,60.0,1.76,152.0,92.0,63.2,10.0,9.0,15.0,5.0,14.7,4.0,4.0,0.0,0.0,34.0,1.0,8.0,0.0,54.0,0.34,-6.0,-0.18,278.0,678.0,41.0,1104.0,159.0,42.8,36.8,268.0,76.5,53.4,539.0,21.0,3.9,43.0,1.26,15.4,164.0,16.0,36.1,4.82,0.1,0.28,0.12,-3.7,-3.9,12853.0,17072.0,75.3,237692.0,94270.0,5600.0,6624.0,84.5,5134.0,6187.0,83.0,1709.0,3056.0,55.9,347.0,968.0,280.0,82.0,1370.0,15211.0,1755.0,477.0,31.0,144.0,584.0,161.0,46.0,95.0,1.0,758.0,106.0,425.0,797.0,23.44,577.0,76.0,56.0,29.0,83.0,2.44,60.0,2.0,7.0,1.0,0.0,594.0,348.0,327.0,223.0,44.0,409.0,90.0,319.0,440.0,787.0,8.0,21210.0,2191.0,6959.0,9916.0,4551.0,752.0,21209.0,10642.0,614.0,447.0,160.0,12748.0,562.0,365.0,3.0,368.0,394.0,106.0,0.0,4.0,0.0,2008.0,712.0,819.0,46.5
vs Freiburg,28.0,56.1,34.0,374.0,3060.0,61.0,46.0,7.0,7.0,56.0,3.0,1.79,1.35,3.15,1.59,2.94,61.1,55.8,1.8,1.64,34.0,34.0,3060.0,46.0,1.35,160.0,115.0,74.4,14.0,12.0,8.0,9.0,26.5,6.0,5.0,1.0,0.0,34.0,3.0,5.0,2.0,43.9,0.24,-0.1,0.0,233.0,527.0,44.2,1122.0,156.0,36.9,34.4,209.0,54.1,45.1,415.0,19.0,4.6,34.0,1.0,16.2,168.0,27.0,32.4,4.94,0.1,0.32,0.11,-0.1,-1.8,15522.0,19165.0,81.0,291096.0,100095.0,6311.0,7140.0,88.4,6852.0,7875.0,87.0,1947.0,3172.0,61.4,386.0,1209.0,320.0,86.0,1537.0,17485.0,1632.0,426.0,25.0,147.0,685.0,186.0,63.0,98.0,2.0,732.0,48.0,330.0,894.0,26.29,639.0,82.0,61.0,58.0,103.0,3.03,73.0,8.0,11.0,6.0,1.0,505.0,335.0,220.0,224.0,61.0,374.0,106.0,268.0,339.0,647.0,14.0,22783.0,1886.0,6400.0,11214.0,5414.0,757.0,22776.0,12850.0,751.0,578.0,141.0,15412.0,500.0,357.0,1.0,433.0,387.0,48.0,5.0,6.0,2.0,1773.0,669.0,553.0,54.7
vs Hannover 96,32.0,53.7,34.0,374.0,3060.0,70.0,50.0,6.0,7.0,53.0,1.0,2.06,1.47,3.53,1.88,3.35,67.8,62.4,1.99,1.83,34.0,34.0,3060.0,31.0,0.91,115.0,85.0,75.7,23.0,6.0,5.0,12.0,35.3,3.0,3.0,0.0,0.0,34.0,1.0,2.0,1.0,29.5,0.23,-0.5,-0.01,230.0,579.0,39.7,899.0,145.0,45.4,37.3,247.0,69.2,51.4,413.0,25.0,6.1,50.0,1.47,15.5,219.0,13.0,39.0,6.44,0.11,0.29,0.11,2.2,1.6,13724.0,17626.0,77.9,251328.0,93519.0,5969.0,6900.0,86.5,5565.0,6618.0,84.1,1739.0,2985.0,58.3,443.0,1149.0,359.0,101.0,1533.0,15829.0,1741.0,453.0,48.0,153.0,681.0,209.0,73.0,109.0,1.0,768.0,56.0,360.0,1004.0,29.53,739.0,86.0,54.0,47.0,123.0,3.62,85.0,9.0,14.0,6.0,2.0,641.0,396.0,290.0,284.0,67.0,405.0,97.0,308.0,361.0,635.0,11.0,21623.0,1736.0,5882.0,10479.0,5462.0,865.0,21616.0,11504.0,810.0,493.0,170.0,13616.0,562.0,321.0,0.0,446.0,394.0,56.0,4.0,3.0,1.0,1936.0,716.0,617.0,53.7
vs Hertha BSC,26.0,52.1,34.0,374.0,3060.0,55.0,43.0,4.0,6.0,38.0,1.0,1.62,1.26,2.88,1.5,2.76,61.4,56.8,1.81,1.67,34.0,34.0,3060.0,49.0,1.44,147.0,98.0,69.4,13.0,10.0,11.0,8.0,23.5,4.0,4.0,0.0,0.0,34.0,2.0,7.0,0.0,47.7,0.31,-1.3,-0.04,199.0,520.0,38.3,936.0,134.0,40.1,34.4,223.0,65.0,48.8,453.0,18.0,4.0,30.0,0.88,14.7,154.0,12.0,31.0,4.53,0.1,0.33,0.12,-6.4,-5.8,13672.0,17667.0,77.4,242323.0,91389.0,6142.0,7093.0,86.6,5525.0,6608.0,83.6,1524.0,2818.0,54.1,376.0,1105.0,291.0,69.0,1493.0,15841.0,1757.0,499.0,57.0,141.0,676.0,186.0,77.0,91.0,1.0,766.0,69.0,373.0,877.0,25.79,640.0,86.0,48.0,46.0,94.0,2.76,72.0,5.0,5.0,6.0,0.0,541.0,318.0,265.0,229.0,47.0,360.0,86.0,274.0,368.0,692.0,10.0,21371.0,1825.0,5981.0,10717.0,4875.0,771.0,21365.0,11233.0,613.0,431.0,157.0,13552.0,491.0,360.0,0.0,403.0,419.0,69.0,4.0,4.0,0.0,1894.0,640.0,693.0,48.0
vs Hoffenheim,29.0,46.2,34.0,374.0,3060.0,51.0,31.0,7.0,7.0,54.0,3.0,1.5,0.91,2.41,1.29,2.21,52.5,47.1,1.55,1.38,34.0,34.0,3060.0,70.0,2.06,221.0,152.0,71.0,9.0,12.0,13.0,2.0,5.9,7.0,6.0,0.0,1.0,34.0,1.0,3.0,1.0,69.0,0.29,0.0,0.0,254.0,594.0,42.8,940.0,185.0,41.2,35.8,326.0,63.5,48.5,533.0,19.0,3.6,34.0,1.0,14.1,166.0,16.0,35.8,4.88,0.09,0.27,0.1,-1.5,-3.1,11999.0,15611.0,76.9,222155.0,88924.0,5155.0,5996.0,86.0,4942.0,5896.0,83.8,1528.0,2699.0,56.6,359.0,933.0,302.0,76.0,1348.0,13774.0,1774.0,510.0,22.0,149.0,597.0,165.0,58.0,76.0,3.0,670.0,63.0,359.0,838.0,24.65,585.0,72.0,49.0,56.0,92.0,2.71,65.0,5.0,7.0,12.0,1.0,601.0,354.0,317.0,209.0,75.0,428.0,127.0,301.0,428.0,815.0,11.0,19579.0,2221.0,6153.0,9033.0,4650.0,771.0,19572.0,10074.0,732.0,505.0,166.0,11891.0,495.0,365.0,1.0,375.0,449.0,63.0,7.0,7.0,1.0,1728.0,531.0,521.0,50.5
vs Leverkusen,21.0,40.2,34.0,374.0,3060.0,49.0,35.0,4.0,6.0,70.0,2.0,1.44,1.03,2.47,1.32,2.35,44.0,39.3,1.29,1.16,34.0,34.0,3060.0,69.0,2.03,193.0,124.0,66.3,12.0,4.0,18.0,4.0,11.8,5.0,4.0,1.0,0.0,34.0,2.0,7.0,1.0,57.7,0.28,-10.3,-0.3,234.0,587.0,39.9,825.0,147.0,47.5,37.9,275.0,70.9,51.0,499.0,20.0,4.0,30.0,0.88,14.3,133.0,11.0,34.7,3.91,0.12,0.34,0.11,5.0,5.7,10756.0,14540.0,74.0,200012.0,78888.0,4585.0,5480.0,83.7,4361.0,5366.0,81.3,1435.0,2648.0,54.2,294.0,794.0,214.0,61.0,1187.0,12824.0,1641.0,404.0,33.0,128.0,520.0,164.0,48.0,93.0,2.0,695.0,75.0,379.0,677.0,19.91,490.0,56.0,40.0,36.0,80.0,2.35,54.0,3.0,11.0,6.0,0.0,623.0,379.0,286.0,286.0,51.0,483.0,109.0,374.0,490.0,764.0,15.0,18562.0,2084.0,5901.0,8783.0,4095.0,614.0,18556.0,9424.0,584.0,447.0,146.0,10682.0,495.0,353.0,1.0,411.0,347.0,75.0,4.0,5.0,1.0,1906.0,554.0,541.0,50.6
