team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,26.0,40.7,34.0,374.0,3060.0,26.0,18.0,2.0,2.0,55.0,2.0,0.76,0.53,1.29,0.71,1.24,26.3,24.7,0.77,0.73,34.0,34.0,3060.0,53.0,1.56,180.0,129.0,74.4,5.0,13.0,16.0,7.0,20.6,7.0,7.0,0.0,0.0,34.0,1.0,6.0,2.0,56.9,0.28,5.9,0.17,419.0,918.0,45.6,1469.0,94.0,49.4,34.2,327.0,58.7,47.0,559.0,12.0,2.1,48.0,1.41,18.6,109.0,10.0,30.2,3.21,0.07,0.22,0.07,-0.3,-0.7,9382.0,13511.0,69.4,182069.0,82699.0,3765.0,4741.0,79.4,4031.0,5156.0,78.2,1305.0,2712.0,48.1,247.0,763.0,195.0,55.0,887.0,11765.0,1692.0,385.0,25.0,69.0,487.0,147.0,67.0,48.0,1.0,743.0,54.0,325.0,586.0,17.24,410.0,52.0,39.0,34.0,42.0,1.24,32.0,2.0,4.0,3.0,0.0,549.0,311.0,270.0,235.0,44.0,395.0,110.0,285.0,421.0,770.0,7.0,17629.0,2294.0,6755.0,7291.0,3796.0,556.0,17627.0,8495.0,405.0,290.0,102.0,9290.0,618.0,307.0,1.0,433.0,307.0,54.0,2.0,7.0,2.0,1907.0,658.0,734.0,47.3
Augsburg,26.0,41.5,34.0,374.0,3060.0,39.0,26.0,5.0,5.0,74.0,0.0,1.15,0.76,1.91,1.0,1.76,36.7,32.8,1.08,0.96,34.0,34.0,3060.0,56.0,1.65,156.0,102.0,67.3,10.0,8.0,16.0,9.0,26.5,5.0,5.0,0.0,0.0,34.0,1.0,2.0,2.0,52.3,0.31,-1.7,-0.05,233.0,579.0,40.2,951.0,145.0,41.9,36.5,287.0,63.1,47.7,532.0,24.0,4.5,51.0,1.5,16.7,117.0,11.0,32.3,3.44,0.09,0.29,0.09,2.3,1.2,9181.0,13035.0,70.4,181255.0,75935.0,3586.0,4449.0,80.6,3892.0,4935.0,78.9,1455.0,2827.0,51.5,264.0,657.0,218.0,85.0,895.0,11240.0,1722.0,415.0,28.0,159.0,592.0,145.0,56.0,82.0,1.0,784.0,73.0,293.0,608.0,17.88,433.0,70.0,35.0,29.0,59.0,1.74,37.0,8.0,8.0,4.0,0.0,561.0,335.0,254.0,236.0,71.0,397.0,116.0,281.0,363.0,769.0,12.0,17060.0,2244.0,6480.0,7037.0,3743.0,606.0,17055.0,8178.0,441.0,323.0,94.0,9088.0,597.0,298.0,0.0,448.0,357.0,73.0,4.0,5.0,2.0,1927.0,557.0,604.0,48.0
Bayern Munich,30.0,64.5,34.0,374.0,3060.0,92.0,70.0,5.0,5.0,36.0,2.0,2.71,2.06,4.76,2.56,4.62,89.0,85.1,2.62,2.5,34.0,34.0,3060.0,37.0,1.09,112.0,76.0,68.8,24.0,5.0,5.0,11.0,32.4,2.0,2.0,0.0,0.0,34.0,1.0,2.0,1.0,32.6,0.27,-3.4,-0.1,121.0,256.0,47.3,1286.0,194.0,18.3,27.2,204.0,10.3,24.3,316.0,12.0,3.8,105.0,3.09,25.3,255.0,12.0,38.2,7.5,0.13,0.34,0.13,3.0,1.9,20087.0,23780.0,84.5,342875.0,124219.0,9343.0,10393.0,89.9,8473.0,9518.0,89.0,1747.0,2675.0,65.3,516.0,1677.0,500.0,71.0,2164.0,22043.0,1661.0,434.0,108.0,149.0,656.0,215.0,102.0,78.0,5.0,736.0,76.0,316.0,1170.0,34.41,874.0,93.0,84.0,36.0,161.0,4.74,122.0,13.0,10.0,5.0,2.0,563.0,338.0,231.0,237.0,95.0,338.0,68.0,270.0,349.0,404.0,18.0,27678.0,2045.0,7345.0,13202.0,7367.0,1266.0,27673.0,16502.0,833.0,622.0,241.0,19963.0,598.0,338.0,0.0,305.0,354.0,76.0,1.0,2.0,1.0,2220.0,422.0,394.0,51.7
Bochum,28.0,44.7,34.0,374.0,3060.0,37.0,22.0,4.0,6.0,55.0,2.0,1.09,0.65,1.74,0.97,1.62,40.6,35.9,1.19,1.06,34.0,34.0,3060.0,52.0,1.53,176.0,126.0,73.3,12.0,6.0,16.0,7.0,20.6,8.0,5.0,2.0,1.0,34.0,1.0,4.0,4.0,49.9,0.27,1.9,0.06,484.0,1069.0,45.3,1457.0,109.0,60.5,35.9,273.0,68.5,48.5,463.0,28.0,6.0,72.0,2.12,18.9,136.0,17.0,33.3,4.0,0.08,0.24,0.09,-3.6,-2.9,9624.0,13679.0,70.4,200296.0,84521.0,3445.0,4288.0,80.3,4176.0,5235.0,79.8,1764.0,3334.0,52.9,276.0,761.0,179.0,66.0,926.0,11928.0,1678.0,421.0,26.0,124.0,600.0,122.0,53.0,48.0,0.0,779.0,73.0,261.0,662.0,19.47,451.0,75.0,39.0,56.0,60.0,1.76,38.0,5.0,5.0,6.0,2.0,566.0,353.0,298.0,199.0,69.0,420.0,119.0,301.0,429.0,616.0,13.0,17579.0,2362.0,6682.0,7348.0,3759.0,571.0,17573.0,8977.0,467.0,333.0,112.0,9487.0,588.0,282.0,0.0,424.0,391.0,75.0,4.0,8.0,4.0,2088.0,609.0,599.0,50.4
Dortmund,33.0,59.2,34.0,374.0,3060.0,81.0,57.0,11.0,11.0,63.0,1.0,2.38,1.68,4.06,2.06,3.74,64.0,55.9,1.88,1.64,34.0,34.0,3060.0,52.0,1.53,136.0,86.0,66.2,22.0,3.0,9.0,7.0,20.6,6.0,6.0,0.0,0.0,34.0,2.0,6.0,2.0,46.9,0.31,-3.1,-0.09,93.0,279.0,33.3,1003.0,176.0,20.3,27.5,218.0,34.4,34.4,402.0,20.0,5.0,63.0,1.85,17.1,165.0,20.0,37.3,4.85,0.16,0.42,0.13,17.0,14.1,17410.0,21052.0,82.7,292378.0,101967.0,8010.0,8996.0,89.0,7168.0,8170.0,87.7,1495.0,2454.0,60.9,331.0,1091.0,301.0,48.0,1468.0,19358.0,1621.0,447.0,67.0,121.0,491.0,182.0,74.0,76.0,1.0,681.0,73.0,314.0,796.0,23.41,570.0,71.0,51.0,43.0,141.0,4.15,96.0,7.0,12.0,10.0,4.0,541.0,322.0,232.0,236.0,73.0,351.0,82.0,269.0,347.0,519.0,11.0,24819.0,2177.0,7538.0,12136.0,5317.0,835.0,24808.0,14990.0,670.0,481.0,180.0,17301.0,579.0,310.0,1.0,362.0,398.0,73.0,6.0,6.0,2.0,2052.0,419.0,363.0,53.6
Eint Frankfurt,27.0,49.6,34.0,374.0,3060.0,43.0,33.0,1.0,2.0,61.0,1.0,1.26,0.97,2.24,1.24,2.21,41.6,40.1,1.22,1.18,34.0,34.0,3060.0,49.0,1.44,165.0,117.0,72.7,10.0,12.0,12.0,5.0,14.7,4.0,4.0,0.0,0.0,34.0,0.0,3.0,1.0,52.4,0.3,4.4,0.13,162.0,557.0,29.1,1056.0,157.0,40.7,34.3,265.0,47.9,42.3,460.0,23.0,5.0,46.0,1.35,16.2,136.0,14.0,30.5,4.0,0.09,0.31,0.09,1.4,1.9,12628.0,17023.0,74.2,229563.0,88663.0,5346.0,6380.0,83.8,5660.0,6861.0,82.5,1313.0,2783.0,47.2,331.0,908.0,223.0,78.0,1255.0,15216.0,1754.0,387.0,44.0,106.0,697.0,193.0,78.0,91.0,2.0,825.0,53.0,357.0,762.0,22.41,528.0,88.0,61.0,38.0,75.0,2.21,51.0,8.0,8.0,4.0,0.0,595.0,330.0,260.0,252.0,83.0,435.0,95.0,340.0,377.0,592.0,12.0,21105.0,2288.0,7030.0,9752.0,4528.0,675.0,21103.0,11595.0,609.0,408.0,153.0,12527.0,631.0,294.0,1.0,422.0,299.0,53.0,1.0,4.0,1.0,2251.0,552.0,644.0,46.2
Freiburg,26.0,49.0,34.0,374.0,3060.0,55.0,37.0,5.0,6.0,34.0,0.0,1.62,1.09,2.71,1.47,2.56,50.4,45.7,1.48,1.35,34.0,34.0,3060.0,46.0,1.35,153.0,108.0,71.2,15.0,10.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,1.0,5.0,1.0,42.7,0.27,-2.3,-0.07,267.0,684.0,39.0,1154.0,126.0,41.7,37.5,264.0,76.9,59.4,496.0,18.0,3.6,36.0,1.06,14.9,153.0,20.0,33.5,4.5,0.11,0.33,0.1,4.6,4.3,11641.0,15652.0,74.4,219063.0,88322.0,4842.0,5855.0,82.7,4953.0,5947.0,83.3,1504.0,2875.0,52.3,333.0,919.0,293.0,73.0,1229.0,13970.0,1624.0,421.0,33.0,120.0,633.0,181.0,116.0,44.0,1.0,672.0,58.0,328.0,775.0,22.79,526.0,99.0,65.0,57.0,90.0,2.65,57.0,12.0,8.0,10.0,1.0,518.0,299.0,246.0,207.0,65.0,352.0,130.0,222.0,355.0,751.0,13.0,19480.0,2322.0,6642.0,8357.0,4649.0,750.0,19474.0,9662.0,401.0,331.0,102.0,11501.0,538.0,219.0,0.0,392.0,375.0,58.0,4.0,2.0,1.0,1920.0,675.0,638.0,51.4
Greuther Fürth,29.0,43.6,34.0,374.0,3060.0,26.0,15.0,5.0,5.0,61.0,0.0,0.76,0.44,1.21,0.62,1.06,30.0,26.2,0.88,0.77,34.0,34.0,3060.0,82.0,2.41,188.0,111.0,59.6,3.0,9.0,22.0,6.0,17.6,6.0,6.0,0.0,0.0,34.0,1.0,12.0,5.0,66.9,0.33,-10.1,-0.3,248.0,719.0,34.5,1137.0,144.0,45.8,38.0,272.0,72.8,51.4,546.0,28.0,5.1,53.0,1.56,16.6,96.0,13.0,31.1,2.82,0.07,0.22,0.09,-4.0,-5.2,10180.0,13971.0,72.9,187432.0,77521.0,4297.0,5107.0,84.1,4428.0,5407.0,81.9,1187.0,2565.0,46.3,208.0,737.0,150.0,43.0,976.0,12140.0,1762.0,482.0,24.0,54.0,478.0,138.0,92.0,37.0,4.0,738.0,69.0,325.0,525.0,15.44,357.0,48.0,30.0,35.0,43.0,1.26,27.0,3.0,4.0,5.0,0.0,568.0,336.0,258.0,252.0,58.0,416.0,124.0,292.0,374.0,712.0,8.0,17946.0,2396.0,6666.0,7952.0,3509.0,505.0,17941.0,9290.0,413.0,281.0,107.0,10087.0,621.0,308.0,0.0,437.0,434.0,69.0,3.0,6.0,5.0,1878.0,468.0,602.0,43.7
Hertha BSC,36.0,43.7,34.0,374.0,3060.0,35.0,23.0,3.0,3.0,62.0,2.0,1.03,0.68,1.71,0.94,1.62,33.3,30.9,0.98,0.91,34.0,34.0,3060.0,71.0,2.09,172.0,101.0,63.4,9.0,6.0,19.0,6.0,17.6,8.0,8.0,0.0,0.0,34.0,1.0,10.0,0.0,56.0,0.29,-15.0,-0.44,189.0,521.0,36.3,883.0,172.0,38.6,35.0,277.0,65.0,49.3,548.0,30.0,5.5,42.0,1.24,14.0,119.0,15.0,32.6,3.5,0.09,0.27,0.09,1.7,1.1,10314.0,14077.0,73.3,185733.0,76968.0,4615.0,5523.0,83.6,4151.0,5105.0,81.3,1226.0,2478.0,49.5,271.0,650.0,181.0,56.0,975.0,12218.0,1786.0,516.0,30.0,94.0,505.0,141.0,64.0,66.0,0.0,746.0,73.0,321.0,639.0,18.79,432.0,77.0,41.0,42.0,58.0,1.71,35.0,8.0,4.0,8.0,2.0,546.0,321.0,294.0,197.0,55.0,377.0,105.0,272.0,406.0,816.0,15.0,18046.0,2255.0,6954.0,7844.0,3430.0,547.0,18043.0,8883.0,462.0,296.0,92.0,10214.0,537.0,316.0,0.0,421.0,430.0,73.0,3.0,8.0,0.0,1830.0,556.0,575.0,49.2
Hoffenheim,32.0,53.2,34.0,374.0,3060.0,55.0,42.0,0.0,0.0,75.0,0.0,1.62,1.24,2.85,1.62,2.85,58.3,58.3,1.71,1.71,34.0,34.0,3060.0,60.0,1.76,162.0,102.0,64.2,13.0,7.0,14.0,8.0,23.5,4.0,2.0,1.0,1.0,34.0,0.0,9.0,1.0,53.2,0.32,-5.8,-0.17,143.0,406.0,35.2,1334.0,190.0,26.3,29.0,223.0,24.7,28.9,430.0,28.0,6.5,65.0,1.91,16.6,150.0,13.0,33.2,4.41,0.12,0.37,0.13,-3.3,-3.3,14323.0,18141.0,79.0,256560.0,98199.0,6165.0,7101.0,86.8,6198.0,7189.0,86.2,1564.0,2758.0,56.7,336.0,1046.0,343.0,112.0,1474.0,16308.0,1763.0,445.0,36.0,91.0,703.0,190.0,90.0,52.0,0.0,798.0,70.0,350.0,785.0,23.09,583.0,71.0,52.0,27.0,100.0,2.94,81.0,3.0,8.0,1.0,2.0,483.0,291.0,191.0,216.0,76.0,390.0,88.0,302.0,285.0,520.0,17.0,21823.0,2385.0,7462.0,9467.0,5067.0,866.0,21823.0,12635.0,588.0,350.0,151.0,14184.0,551.0,241.0,0.0,429.0,348.0,70.0,0.0,4.0,1.0,1905.0,485.0,574.0,45.8
