team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs ADO Den Haag,34.0,56.7,26.0,286.0,2340.0,51.0,0.0,5.0,5.0,0.0,0.0,1.96,0.0,0.0,1.77,0.0,54.4,50.5,2.09,1.94,26.0,26.0,0.0,25.0,0.0,87.0,63.0,74.7,15.0,7.0,4.0,11.0,42.3,5.0,3.0,2.0,0.0,26.0,2.0,4.0,3.0,27.8,0.28,5.8,0.22,178.0,429.0,41.5,714.0,115.0,41.9,36.0,203.0,64.0,48.1,408.0,17.0,4.2,32.0,0.0,15.3,147.0,25.0,33.9,5.65,0.11,0.31,0.12,-3.4,-4.5,10726.0,13594.0,78.9,194094.0,72283.0,4747.0,5405.0,87.8,4385.0,5172.0,84.8,1253.0,2245.0,55.8,334.0,833.0,261.0,55.0,1140.0,12249.0,1297.0,290.0,29.0,81.0,509.0,163.0,74.0,58.0,7.0,590.0,48.0,184.0,779.0,29.96,572.0,63.0,43.0,41.0,86.0,3.31,55.0,8.0,7.0,3.0,1.0,345.0,218.0,157.0,147.0,41.0,166.0,49.0,117.0,186.0,524.0,5.0,16353.0,1549.0,4700.0,7592.0,4219.0,699.0,16348.0,9317.0,632.0,436.0,188.0,10637.0,408.0,239.0,0.0,323.0,270.0,48.0,3.0,5.0,3.0,1354.0,479.0,464.0,50.8
vs Ajax,29.0,36.3,25.0,275.0,2250.0,23.0,0.0,2.0,2.0,0.0,0.0,0.92,0.0,0.0,0.84,0.0,28.4,26.9,1.14,1.07,25.0,25.0,0.0,68.0,0.0,204.0,137.0,68.1,5.0,2.0,18.0,4.0,16.0,3.0,3.0,0.0,0.0,25.0,0.0,4.0,1.0,72.1,0.35,5.1,0.2,247.0,620.0,39.8,745.0,134.0,56.0,41.5,294.0,69.0,51.4,451.0,28.0,6.2,22.0,0.0,11.3,75.0,11.0,31.4,3.0,0.09,0.28,0.12,-5.4,-5.9,6683.0,9289.0,71.9,129495.0,58587.0,2787.0,3354.0,83.1,2749.0,3405.0,80.7,972.0,1959.0,49.6,182.0,479.0,112.0,17.0,595.0,8115.0,1137.0,274.0,22.0,86.0,255.0,78.0,29.0,31.0,3.0,398.0,37.0,159.0,418.0,16.72,287.0,37.0,20.0,25.0,41.0,1.64,29.0,3.0,2.0,3.0,2.0,499.0,288.0,308.0,144.0,47.0,330.0,122.0,208.0,372.0,667.0,5.0,12563.0,2290.0,5591.0,4875.0,2238.0,379.0,12561.0,6063.0,376.0,262.0,125.0,6624.0,411.0,284.0,0.0,256.0,233.0,37.0,2.0,3.0,1.0,1352.0,356.0,391.0,47.7
vs AZ Alkmaar,24.0,39.8,25.0,275.0,2250.0,16.0,0.0,2.0,3.0,0.0,0.0,0.64,0.0,0.0,0.56,0.0,24.6,22.2,0.98,0.89,25.0,25.0,0.0,54.0,0.0,152.0,97.0,70.4,5.0,2.0,18.0,3.0,12.0,10.0,9.0,1.0,0.0,25.0,2.0,9.0,0.0,52.5,0.28,-1.5,-0.06,179.0,435.0,41.1,687.0,135.0,46.4,38.1,222.0,52.3,42.7,266.0,14.0,5.3,17.0,0.0,11.9,78.0,11.0,29.9,3.12,0.05,0.18,0.09,-8.6,-8.2,8180.0,10678.0,76.6,153562.0,59967.0,3495.0,4041.0,86.5,3270.0,3924.0,83.3,1132.0,2042.0,55.4,188.0,628.0,138.0,37.0,759.0,9529.0,1097.0,287.0,14.0,123.0,341.0,87.0,34.0,38.0,2.0,423.0,52.0,171.0,449.0,17.96,333.0,36.0,20.0,17.0,25.0,1.0,15.0,3.0,3.0,1.0,1.0,430.0,260.0,215.0,178.0,37.0,293.0,84.0,209.0,287.0,480.0,11.0,13535.0,1776.0,4803.0,6158.0,2717.0,386.0,13532.0,7103.0,404.0,291.0,86.0,8097.0,399.0,208.0,0.0,266.0,255.0,52.0,2.0,10.0,0.0,1358.0,307.0,254.0,54.7
vs Emmen,29.0,48.2,26.0,286.0,2340.0,43.0,0.0,3.0,3.0,0.0,0.0,1.65,0.0,0.0,1.54,0.0,53.4,51.0,2.05,1.96,26.0,26.0,0.0,32.0,0.0,101.0,70.0,71.3,12.0,5.0,9.0,8.0,30.8,3.0,3.0,0.0,0.0,26.0,1.0,3.0,1.0,31.6,0.29,0.6,0.02,166.0,393.0,42.2,673.0,117.0,39.4,34.9,209.0,61.2,48.0,314.0,21.0,6.7,37.0,0.0,15.8,127.0,14.0,31.5,4.88,0.1,0.31,0.13,-10.4,-11.0,10012.0,12832.0,78.0,187072.0,72702.0,4171.0,4840.0,86.2,4291.0,5062.0,84.8,1261.0,2236.0,56.4,296.0,798.0,247.0,46.0,1156.0,11519.0,1276.0,343.0,28.0,108.0,452.0,149.0,72.0,56.0,0.0,518.0,37.0,202.0,690.0,26.54,459.0,67.0,58.0,36.0,71.0,2.73,43.0,7.0,8.0,6.0,2.0,458.0,282.0,195.0,217.0,46.0,280.0,77.0,203.0,305.0,417.0,3.0,15804.0,1468.0,4582.0,7649.0,3785.0,653.0,15801.0,8614.0,492.0,357.0,137.0,9930.0,443.0,304.0,0.0,324.0,307.0,37.0,3.0,3.0,1.0,1552.0,460.0,386.0,54.4
vs Feyenoord,30.0,45.7,25.0,275.0,2250.0,33.0,0.0,3.0,5.0,0.0,0.0,1.32,0.0,0.0,1.2,0.0,31.0,27.1,1.24,1.08,25.0,25.0,0.0,50.0,0.0,149.0,100.0,72.5,3.0,8.0,14.0,3.0,12.0,9.0,9.0,0.0,0.0,25.0,1.0,3.0,1.0,45.0,0.25,-4.0,-0.16,141.0,397.0,35.5,693.0,135.0,40.3,35.5,209.0,56.5,45.8,327.0,20.0,6.1,28.0,0.0,13.1,102.0,13.0,34.9,4.08,0.1,0.29,0.09,2.0,2.9,9412.0,11989.0,78.5,168636.0,64352.0,4201.0,4774.0,88.0,3891.0,4561.0,85.3,1033.0,1987.0,52.0,222.0,725.0,159.0,37.0,947.0,10805.0,1158.0,295.0,20.0,76.0,374.0,106.0,54.0,35.0,3.0,472.0,26.0,214.0,504.0,20.16,355.0,46.0,25.0,31.0,56.0,2.24,41.0,4.0,3.0,3.0,0.0,503.0,307.0,242.0,203.0,58.0,271.0,79.0,192.0,306.0,454.0,6.0,14945.0,1677.0,4858.0,7055.0,3206.0,455.0,14940.0,8590.0,447.0,356.0,103.0,9334.0,434.0,282.0,0.0,291.0,256.0,26.0,4.0,9.0,1.0,1489.0,333.0,381.0,46.6
vs Fortuna Sittard,27.0,54.9,26.0,286.0,2340.0,51.0,0.0,9.0,9.0,0.0,0.0,1.96,0.0,0.0,1.62,0.0,51.3,44.6,1.97,1.72,26.0,26.0,0.0,29.0,0.0,106.0,78.0,75.5,12.0,8.0,6.0,9.0,34.6,4.0,3.0,1.0,0.0,26.0,2.0,1.0,2.0,31.9,0.28,4.9,0.19,127.0,305.0,41.6,653.0,154.0,36.0,34.5,197.0,35.5,35.8,299.0,11.0,3.7,21.0,0.0,14.1,139.0,22.0,35.0,5.35,0.11,0.3,0.12,-0.3,-2.6,11043.0,14061.0,78.5,209394.0,77039.0,4419.0,5132.0,86.1,4732.0,5541.0,85.4,1536.0,2563.0,59.9,305.0,845.0,212.0,60.0,1153.0,12680.0,1339.0,278.0,28.0,178.0,597.0,186.0,93.0,73.0,4.0,623.0,42.0,217.0,703.0,27.04,482.0,81.0,47.0,44.0,92.0,3.54,58.0,7.0,9.0,10.0,3.0,364.0,228.0,164.0,156.0,44.0,225.0,57.0,168.0,240.0,434.0,6.0,16938.0,1378.0,4827.0,8108.0,4148.0,665.0,16929.0,9524.0,579.0,397.0,153.0,10951.0,430.0,227.0,0.0,341.0,244.0,42.0,9.0,4.0,2.0,1472.0,483.0,424.0,53.3
vs Groningen,25.0,51.4,26.0,286.0,2340.0,26.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.88,0.0,32.7,27.9,1.26,1.07,26.0,26.0,0.0,27.0,0.0,98.0,70.0,76.5,11.0,5.0,10.0,8.0,30.8,6.0,4.0,1.0,1.0,26.0,0.0,2.0,0.0,28.2,0.25,1.2,0.05,184.0,522.0,35.2,697.0,125.0,47.3,39.4,261.0,73.6,52.9,425.0,9.0,2.1,19.0,0.0,13.2,83.0,13.0,29.6,3.19,0.08,0.28,0.1,-6.7,-4.9,10107.0,13135.0,76.9,186548.0,71080.0,4267.0,4939.0,86.4,4356.0,5170.0,84.3,1194.0,2335.0,51.1,209.0,813.0,176.0,47.0,1033.0,11819.0,1281.0,284.0,32.0,105.0,398.0,113.0,47.0,44.0,2.0,570.0,35.0,212.0,491.0,18.88,357.0,42.0,26.0,25.0,49.0,1.88,38.0,3.0,2.0,4.0,0.0,382.0,238.0,194.0,148.0,40.0,242.0,70.0,172.0,252.0,551.0,3.0,15989.0,1717.0,5334.0,7359.0,3456.0,470.0,15983.0,8673.0,406.0,329.0,98.0,10032.0,447.0,272.0,0.0,296.0,258.0,35.0,5.0,6.0,0.0,1464.0,450.0,478.0,48.5
vs Heerenveen,24.0,49.0,26.0,286.0,2340.0,39.0,0.0,6.0,7.0,0.0,0.0,1.5,0.0,0.0,1.27,0.0,38.9,33.3,1.49,1.28,26.0,26.0,0.0,41.0,0.0,152.0,109.0,75.0,9.0,9.0,8.0,2.0,7.7,6.0,3.0,3.0,0.0,26.0,1.0,6.0,1.0,45.3,0.26,5.3,0.2,204.0,583.0,35.0,797.0,113.0,47.8,38.4,261.0,77.4,53.8,353.0,16.0,4.5,22.0,0.0,13.6,117.0,12.0,38.1,4.5,0.11,0.28,0.11,0.1,-0.3,9960.0,13066.0,76.2,185382.0,70255.0,4149.0,4845.0,85.6,4273.0,5048.0,84.6,1228.0,2414.0,50.9,234.0,780.0,202.0,48.0,991.0,11812.0,1210.0,269.0,30.0,100.0,453.0,137.0,71.0,46.0,0.0,477.0,44.0,225.0,547.0,21.04,381.0,55.0,32.0,31.0,60.0,2.31,39.0,5.0,5.0,7.0,0.0,560.0,364.0,311.0,190.0,59.0,261.0,99.0,162.0,317.0,482.0,11.0,16047.0,1890.0,5288.0,7380.0,3553.0,557.0,16040.0,8328.0,478.0,337.0,121.0,9862.0,414.0,284.0,0.0,258.0,250.0,44.0,5.0,6.0,1.0,1562.0,450.0,407.0,52.5
vs Heracles Almelo,23.0,51.8,26.0,286.0,2340.0,34.0,0.0,3.0,5.0,0.0,0.0,1.31,0.0,0.0,1.19,0.0,39.2,35.5,1.51,1.36,26.0,26.0,0.0,40.0,0.0,122.0,83.0,68.0,10.0,6.0,10.0,9.0,34.6,2.0,1.0,0.0,1.0,26.0,0.0,3.0,1.0,35.6,0.28,-3.4,-0.13,143.0,395.0,36.2,663.0,117.0,41.5,36.7,216.0,55.6,45.3,328.0,31.0,9.5,34.0,0.0,14.6,115.0,20.0,33.2,4.42,0.09,0.27,0.1,-5.2,-4.5,10342.0,13339.0,77.5,194226.0,74698.0,4234.0,4951.0,85.5,4529.0,5329.0,85.0,1287.0,2295.0,56.1,259.0,868.0,223.0,39.0,1134.0,11911.0,1402.0,348.0,24.0,129.0,404.0,120.0,50.0,40.0,2.0,651.0,26.0,243.0,606.0,23.31,413.0,65.0,41.0,43.0,59.0,2.27,45.0,2.0,5.0,3.0,1.0,532.0,322.0,258.0,193.0,81.0,266.0,98.0,168.0,316.0,457.0,16.0,16531.0,1604.0,5177.0,7775.0,3738.0,594.0,16526.0,9145.0,406.0,310.0,119.0,10260.0,495.0,341.0,0.0,313.0,303.0,26.0,1.0,2.0,1.0,1570.0,383.0,404.0,48.7
vs PSV Eindhoven,29.0,45.3,26.0,286.0,2340.0,28.0,0.0,3.0,3.0,0.0,0.0,1.08,0.0,0.0,0.96,0.0,31.6,29.3,1.22,1.13,26.0,26.0,0.0,54.0,0.0,160.0,108.0,70.0,5.0,7.0,14.0,3.0,11.5,6.0,6.0,0.0,0.0,26.0,0.0,7.0,2.0,54.0,0.31,2.0,0.08,171.0,471.0,36.3,762.0,124.0,45.0,36.6,209.0,61.2,46.6,327.0,10.0,3.1,28.0,0.0,13.8,92.0,12.0,29.2,3.54,0.08,0.27,0.09,-3.6,-4.3,9462.0,12333.0,76.7,177660.0,65377.0,3889.0,4531.0,85.8,4152.0,4913.0,84.5,1158.0,2200.0,52.6,232.0,698.0,179.0,41.0,987.0,11099.0,1209.0,280.0,17.0,120.0,438.0,119.0,62.0,46.0,1.0,521.0,25.0,207.0,558.0,21.46,403.0,48.0,33.0,24.0,45.0,1.73,33.0,4.0,2.0,2.0,0.0,491.0,278.0,275.0,182.0,34.0,330.0,117.0,213.0,330.0,509.0,8.0,15491.0,1876.0,5349.0,6969.0,3330.0,505.0,15488.0,8407.0,468.0,362.0,114.0,9358.0,456.0,247.0,0.0,270.0,232.0,25.0,2.0,6.0,2.0,1492.0,413.0,457.0,47.5
