player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Issah Abbas,gh GHA,"FW,MF",Twente,21,1998,8.0,0.0,126.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.3,1.4,1.0,0.0,33.3,0.71,0.0,0.0,0.14,-0.4,-0.4,22.0,39.0,56.4,288.0,44.0,14.0,18.0,77.8,8.0,12.0,66.7,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,5.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,2.83,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,57.0,0.0,7.0,20.0,30.0,5.0,57.0,39.0,7.0,2.0,5.0,39.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
Dirk Abels,nl NED,DF,Sparta R'dam,23,1997,31.0,28.0,2507.0,1.0,3.0,0.0,0.0,3.0,0.0,0.04,0.11,0.14,0.04,0.14,0.2,0.2,0.01,0.01,27.9,1.0,0.0,14.3,0.04,0.14,1.0,0.03,0.8,0.8,1082.0,1471.0,73.6,19438.0,9992.0,489.0,560.0,87.3,465.0,610.0,76.2,112.0,235.0,47.7,30.0,137.0,23.0,11.0,140.0,1157.0,308.0,25.0,0.0,12.0,39.0,0.0,0.0,0.0,0.0,283.0,6.0,25.0,56.0,2.01,48.0,4.0,0.0,2.0,6.0,0.22,5.0,0.0,0.0,0.0,1.0,65.0,34.0,40.0,19.0,6.0,35.0,12.0,23.0,55.0,82.0,0.0,1770.0,109.0,549.0,878.0,349.0,12.0,1770.0,710.0,22.0,22.0,3.0,858.0,17.0,8.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0,151.0,34.0,29.0,54.0
Nassim El Ablak,nl NED,"MF,FW",Fortuna Sittard,20,2000,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,53.3,149.0,107.0,2.0,3.0,66.7,5.0,7.0,71.4,1.0,4.0,25.0,1.0,2.0,1.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20.0,2.0,6.0,9.0,5.0,0.0,20.0,7.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,20,2000,24.0,6.0,742.0,4.0,0.0,0.0,0.0,2.0,0.0,0.49,0.0,0.49,0.49,0.49,3.3,3.3,0.4,0.4,8.2,7.0,0.0,23.3,0.85,0.13,0.57,0.11,0.7,0.7,117.0,165.0,70.9,1488.0,324.0,79.0,97.0,81.4,28.0,40.0,70.0,4.0,11.0,36.4,7.0,5.0,5.0,0.0,14.0,161.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,29.0,3.52,13.0,0.0,3.0,5.0,3.0,0.36,2.0,0.0,0.0,1.0,0.0,9.0,6.0,6.0,2.0,1.0,10.0,0.0,10.0,3.0,4.0,0.0,301.0,10.0,43.0,102.0,160.0,49.0,301.0,180.0,23.0,9.0,10.0,201.0,29.0,14.0,0.0,19.0,16.0,4.0,0.0,0.0,1.0,28.0,6.0,8.0,42.9
Paulos Abraham,se SWE,"FW,MF",Groningen,18,2002,13.0,2.0,360.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2.1,2.1,0.51,0.51,4.0,3.0,0.0,27.3,0.75,0.18,0.67,0.19,-0.1,-0.1,51.0,84.0,60.7,600.0,173.0,30.0,44.0,68.2,14.0,23.0,60.9,0.0,2.0,0.0,4.0,4.0,0.0,0.0,4.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.75,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,0.0,146.0,2.0,15.0,56.0,77.0,26.0,146.0,84.0,3.0,2.0,4.0,104.0,17.0,10.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,14.0,3.0,18.0,14.3
Bobby Adekanye,nl NED,"FW,MF",ADO Den Haag,21,1999,14.0,11.0,741.0,2.0,0.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,1.2,1.2,0.15,0.15,8.2,6.0,0.0,50.0,0.73,0.17,0.33,0.1,0.8,0.8,124.0,159.0,78.0,1711.0,374.0,81.0,92.0,88.0,33.0,45.0,73.3,6.0,11.0,54.5,2.0,8.0,5.0,0.0,12.0,156.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,12.0,1.46,9.0,0.0,0.0,2.0,2.0,0.24,1.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,3.0,1.0,7.0,0.0,7.0,2.0,7.0,0.0,277.0,10.0,63.0,115.0,108.0,19.0,277.0,192.0,21.0,20.0,5.0,190.0,34.0,21.0,0.0,10.0,23.0,1.0,0.0,1.0,0.0,42.0,6.0,9.0,40.0
Shawn Adewoye,be BEL,DF,RKC Waalwijk,20,2000,3.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,50.0,94.0,992.0,227.0,12.0,12.0,100.0,30.0,31.0,96.8,5.0,7.0,71.4,0.0,2.0,1.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,62.0,10.0,33.0,29.0,0.0,0.0,62.0,42.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Luka Adžić,rs SRB,FW,Emmen,21,1998,12.0,12.0,807.0,3.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,4.0,4.0,0.45,0.45,9.0,9.0,2.0,33.3,1.0,0.11,0.33,0.15,-1.0,-1.0,193.0,250.0,77.2,2744.0,460.0,114.0,129.0,88.4,60.0,74.0,81.1,10.0,20.0,50.0,4.0,9.0,4.0,3.0,10.0,239.0,8.0,2.0,0.0,2.0,20.0,3.0,2.0,1.0,0.0,3.0,3.0,9.0,14.0,1.56,9.0,0.0,3.0,0.0,1.0,0.11,0.0,0.0,1.0,0.0,0.0,11.0,6.0,5.0,5.0,1.0,7.0,0.0,7.0,6.0,6.0,0.0,378.0,7.0,51.0,174.0,160.0,33.0,378.0,234.0,26.0,16.0,13.0,281.0,24.0,13.0,0.0,10.0,12.0,2.0,0.0,0.0,0.0,41.0,7.0,10.0,41.2
Rohat Agca,nl NED,MF,Heracles Almelo,18,2001,4.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,23.0,27.0,85.2,372.0,39.0,11.0,14.0,78.6,10.0,11.0,90.9,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,35.0,2.0,9.0,18.0,9.0,0.0,35.0,25.0,0.0,1.0,0.0,24.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hamdi Akujobi,nl NED,"DF,MF",Heerenveen,20,2000,6.0,3.0,339.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,3.8,1.0,0.0,100.0,0.27,0.0,0.0,0.03,0.0,0.0,162.0,198.0,81.8,2829.0,694.0,70.0,74.0,94.6,70.0,83.0,84.3,15.0,31.0,48.4,2.0,8.0,3.0,3.0,11.0,166.0,32.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,3.0,0.8,1.0,0.0,0.0,1.0,1.0,0.27,0.0,0.0,0.0,1.0,0.0,11.0,8.0,5.0,5.0,1.0,11.0,5.0,6.0,7.0,10.0,0.0,248.0,14.0,85.0,133.0,34.0,0.0,248.0,123.0,1.0,1.0,0.0,119.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,27.0,3.0,4.0,42.9
