team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ajax,30.0,66.1,34.0,374.0,3060.0,86.0,66.0,5.0,5.0,46.0,1.0,2.53,1.94,4.47,2.38,4.32,78.8,74.8,2.32,2.2,34.0,34.0,3060.0,38.0,1.12,114.0,76.0,67.5,20.0,9.0,5.0,11.0,32.4,1.0,1.0,0.0,0.0,34.0,2.0,4.0,0.0,33.7,0.29,-4.3,-0.13,131.0,333.0,39.3,1307.0,188.0,22.0,28.4,148.0,31.1,32.9,326.0,40.0,12.3,60.0,1.76,18.0,220.0,12.0,35.2,6.47,0.13,0.37,0.12,7.2,6.2,19487.0,23012.0,84.7,329852.0,113334.0,9203.0,10183.0,90.4,8186.0,9143.0,89.5,1576.0,2534.0,62.2,501.0,1853.0,629.0,91.0,2313.0,21405.0,1533.0,396.0,66.0,111.0,756.0,272.0,90.0,109.0,0.0,626.0,74.0,333.0,1120.0,32.94,840.0,110.0,83.0,35.0,148.0,4.35,116.0,6.0,13.0,6.0,1.0,569.0,348.0,244.0,219.0,106.0,314.0,68.0,246.0,259.0,393.0,9.0,26629.0,2016.0,6491.0,11760.0,8628.0,1542.0,26624.0,17164.0,862.0,649.0,230.0,19310.0,521.0,392.0,0.0,313.0,353.0,74.0,3.0,1.0,0.0,1981.0,409.0,376.0,52.1
AZ Alkmaar,29.0,53.5,34.0,374.0,3060.0,65.0,48.0,2.0,3.0,51.0,1.0,1.91,1.41,3.32,1.85,3.26,55.4,53.1,1.63,1.56,34.0,34.0,3060.0,35.0,1.03,96.0,60.0,67.7,20.0,7.0,7.0,12.0,35.3,5.0,4.0,1.0,0.0,34.0,0.0,4.0,0.0,34.9,0.32,-0.1,0.0,193.0,536.0,36.0,913.0,153.0,41.4,35.9,229.0,69.0,51.6,464.0,24.0,5.2,29.0,0.85,14.6,195.0,15.0,38.4,5.74,0.12,0.32,0.11,9.6,9.9,15010.0,18534.0,81.0,268341.0,91506.0,6553.0,7356.0,89.1,6471.0,7427.0,87.1,1550.0,2722.0,56.9,402.0,1262.0,387.0,67.0,1666.0,16955.0,1522.0,337.0,59.0,116.0,572.0,183.0,84.0,44.0,2.0,684.0,57.0,298.0,918.0,27.0,717.0,57.0,38.0,28.0,114.0,3.35,88.0,4.0,7.0,3.0,5.0,543.0,320.0,244.0,227.0,72.0,352.0,120.0,232.0,315.0,590.0,5.0,22191.0,2135.0,6496.0,9919.0,5978.0,917.0,22188.0,13145.0,671.0,466.0,175.0,14896.0,541.0,310.0,0.0,342.0,298.0,57.0,3.0,5.0,0.0,1944.0,482.0,487.0,49.7
Cambuur,31.0,47.5,34.0,374.0,3060.0,25.0,16.0,1.0,2.0,49.0,4.0,0.74,0.47,1.21,0.71,1.18,41.2,39.6,1.21,1.16,34.0,34.0,3060.0,69.0,2.03,207.0,141.0,69.6,5.0,4.0,25.0,7.0,20.6,7.0,6.0,0.0,1.0,34.0,0.0,8.0,3.0,65.4,0.3,-0.6,-0.02,263.0,679.0,38.7,1076.0,177.0,44.4,37.4,337.0,59.6,47.7,561.0,25.0,4.5,42.0,1.24,14.7,124.0,13.0,32.4,3.65,0.06,0.19,0.1,-16.2,-15.6,11225.0,14935.0,75.2,221373.0,82211.0,4251.0,5081.0,83.7,5089.0,6063.0,83.9,1650.0,3046.0,54.2,278.0,860.0,199.0,84.0,1129.0,13229.0,1660.0,380.0,22.0,118.0,657.0,154.0,116.0,18.0,2.0,665.0,46.0,250.0,669.0,19.68,517.0,56.0,30.0,25.0,45.0,1.32,36.0,2.0,2.0,1.0,3.0,599.0,353.0,313.0,224.0,62.0,375.0,134.0,241.0,293.0,755.0,10.0,18804.0,2758.0,7180.0,8044.0,3770.0,571.0,18802.0,10178.0,569.0,371.0,107.0,11043.0,548.0,253.0,1.0,360.0,314.0,46.0,2.0,7.0,3.0,1750.0,449.0,553.0,44.8
Emmen,30.0,48.8,34.0,374.0,3060.0,31.0,19.0,1.0,1.0,43.0,2.0,0.91,0.56,1.47,0.88,1.44,36.7,35.9,1.08,1.06,34.0,34.0,3060.0,65.0,1.91,164.0,100.0,61.6,6.0,10.0,18.0,7.0,20.6,2.0,2.0,0.0,0.0,34.0,2.0,14.0,1.0,50.0,0.3,-14.0,-0.41,166.0,538.0,30.9,966.0,137.0,40.3,35.1,287.0,51.9,42.0,555.0,20.0,3.6,26.0,0.76,13.5,128.0,16.0,34.2,3.76,0.08,0.23,0.1,-5.7,-5.9,12708.0,16471.0,77.2,225686.0,81940.0,5814.0,6627.0,87.7,5085.0,6044.0,84.1,1416.0,2853.0,49.6,260.0,1026.0,219.0,65.0,1134.0,14764.0,1663.0,409.0,31.0,121.0,589.0,142.0,52.0,69.0,1.0,719.0,44.0,303.0,633.0,18.62,465.0,40.0,42.0,36.0,55.0,1.62,38.0,4.0,5.0,5.0,0.0,595.0,362.0,298.0,221.0,76.0,404.0,141.0,263.0,311.0,756.0,4.0,20439.0,2557.0,7104.0,8928.0,4614.0,575.0,20438.0,11106.0,548.0,442.0,114.0,12599.0,563.0,280.0,2.0,323.0,363.0,44.0,1.0,2.0,1.0,1919.0,456.0,515.0,47.0
Excelsior,28.0,41.6,34.0,374.0,3060.0,30.0,24.0,0.0,2.0,49.0,1.0,0.88,0.71,1.59,0.88,1.59,35.1,33.6,1.03,0.99,34.0,34.0,3060.0,71.0,2.09,241.0,172.0,71.0,9.0,5.0,20.0,8.0,23.5,1.0,1.0,0.0,0.0,34.0,1.0,11.0,2.0,73.7,0.31,4.7,0.14,237.0,660.0,35.9,966.0,182.0,46.3,39.7,305.0,69.8,53.9,597.0,31.0,5.2,21.0,0.62,11.6,104.0,10.0,30.3,3.06,0.09,0.29,0.1,-5.1,-3.6,9947.0,13609.0,73.1,193126.0,79741.0,4031.0,4897.0,82.3,4245.0,5191.0,81.8,1435.0,2767.0,51.9,253.0,839.0,227.0,61.0,1094.0,12002.0,1569.0,337.0,24.0,116.0,557.0,147.0,80.0,52.0,0.0,665.0,38.0,283.0,578.0,17.0,403.0,65.0,42.0,35.0,51.0,1.5,33.0,8.0,5.0,3.0,1.0,615.0,384.0,344.0,202.0,69.0,414.0,127.0,287.0,370.0,884.0,9.0,17726.0,2653.0,6838.0,7179.0,3939.0,590.0,17724.0,9252.0,473.0,361.0,115.0,9817.0,577.0,285.0,1.0,334.0,288.0,38.0,2.0,1.0,2.0,1885.0,480.0,538.0,47.2
Feyenoord,30.0,58.6,34.0,374.0,3060.0,77.0,60.0,3.0,3.0,47.0,0.0,2.26,1.76,4.03,2.18,3.94,65.6,63.2,1.93,1.86,34.0,34.0,3060.0,30.0,0.88,103.0,74.0,70.9,25.0,7.0,2.0,13.0,38.2,1.0,0.0,1.0,0.0,34.0,0.0,5.0,2.0,32.3,0.32,4.3,0.13,99.0,283.0,35.0,929.0,186.0,23.9,28.5,168.0,36.3,36.0,368.0,35.0,9.5,49.0,1.44,18.2,247.0,31.0,36.5,7.26,0.11,0.3,0.1,11.4,10.8,16340.0,19874.0,82.2,283536.0,94610.0,7327.0,8206.0,89.3,7123.0,8157.0,87.3,1453.0,2473.0,58.8,535.0,1514.0,419.0,115.0,1906.0,18258.0,1576.0,353.0,48.0,113.0,771.0,251.0,114.0,44.0,0.0,725.0,40.0,336.0,1221.0,35.91,926.0,105.0,61.0,50.0,133.0,3.91,105.0,3.0,9.0,6.0,2.0,597.0,340.0,231.0,267.0,99.0,331.0,71.0,260.0,289.0,500.0,6.0,23956.0,1845.0,5669.0,11372.0,7148.0,1146.0,23953.0,14798.0,973.0,643.0,259.0,16163.0,599.0,325.0,0.0,301.0,303.0,40.0,3.0,1.0,2.0,2100.0,415.0,351.0,54.2
Fortuna Sittard,28.0,44.1,34.0,374.0,3060.0,39.0,22.0,7.0,7.0,63.0,3.0,1.15,0.65,1.79,0.94,1.59,36.3,31.1,1.07,0.91,34.0,34.0,3060.0,62.0,1.82,184.0,124.0,67.9,10.0,6.0,18.0,7.0,20.6,3.0,3.0,0.0,0.0,34.0,0.0,6.0,2.0,56.0,0.29,-4.0,-0.12,307.0,688.0,44.6,991.0,153.0,44.2,37.0,329.0,76.0,53.0,676.0,77.0,11.4,24.0,0.71,11.4,116.0,17.0,30.4,3.41,0.08,0.28,0.08,2.7,0.9,10397.0,14054.0,74.0,205215.0,84069.0,4001.0,4792.0,83.5,4537.0,5511.0,82.3,1564.0,2929.0,53.4,284.0,852.0,216.0,84.0,1036.0,12417.0,1566.0,338.0,32.0,90.0,631.0,149.0,38.0,85.0,1.0,654.0,71.0,280.0,666.0,19.59,450.0,81.0,45.0,43.0,66.0,1.94,33.0,6.0,9.0,10.0,0.0,571.0,355.0,332.0,189.0,50.0,454.0,160.0,294.0,370.0,841.0,8.0,18037.0,2703.0,7183.0,7168.0,3892.0,644.0,18030.0,9455.0,529.0,339.0,121.0,10289.0,499.0,284.0,2.0,323.0,315.0,71.0,7.0,3.0,2.0,1881.0,496.0,425.0,53.9
Go Ahead Eag,27.0,46.9,34.0,374.0,3060.0,45.0,25.0,2.0,4.0,51.0,2.0,1.32,0.74,2.06,1.26,2.0,45.0,41.9,1.32,1.23,34.0,34.0,3060.0,56.0,1.65,172.0,118.0,68.6,10.0,10.0,14.0,8.0,23.5,2.0,2.0,0.0,0.0,34.0,1.0,5.0,2.0,54.2,0.31,0.2,0.01,234.0,554.0,42.2,1020.0,154.0,44.4,37.0,233.0,43.3,37.0,546.0,21.0,3.8,38.0,1.12,15.8,133.0,10.0,31.2,3.91,0.1,0.32,0.1,0.0,1.1,11378.0,15127.0,75.2,211638.0,88193.0,4812.0,5704.0,84.4,4863.0,5869.0,82.9,1409.0,2729.0,51.6,326.0,942.0,275.0,76.0,1232.0,13459.0,1631.0,385.0,37.0,81.0,620.0,164.0,65.0,75.0,2.0,696.0,37.0,271.0,756.0,22.24,549.0,72.0,59.0,33.0,77.0,2.26,53.0,4.0,12.0,5.0,1.0,549.0,331.0,253.0,220.0,76.0,428.0,130.0,298.0,332.0,747.0,8.0,19185.0,2539.0,6717.0,7808.0,4824.0,769.0,19181.0,9954.0,475.0,328.0,110.0,11261.0,550.0,302.0,0.0,368.0,334.0,37.0,3.0,2.0,2.0,1889.0,495.0,572.0,46.4
Groningen,36.0,46.4,34.0,374.0,3060.0,30.0,23.0,1.0,1.0,51.0,5.0,0.88,0.68,1.56,0.85,1.53,31.8,31.0,0.94,0.91,34.0,34.0,3059.0,75.0,2.21,192.0,117.0,64.6,4.0,6.0,24.0,4.0,11.8,7.0,7.0,0.0,0.0,34.0,1.0,7.0,0.0,65.4,0.31,-9.6,-0.28,219.0,668.0,32.8,1011.0,136.0,45.2,38.4,312.0,67.6,50.9,542.0,19.0,3.5,27.0,0.79,13.0,101.0,22.0,26.8,2.97,0.08,0.29,0.08,-1.8,-2.0,10823.0,14541.0,74.4,209825.0,73851.0,4235.0,5028.0,84.2,4776.0,5673.0,84.2,1518.0,2949.0,51.5,270.0,871.0,218.0,64.0,1062.0,12867.0,1624.0,340.0,31.0,176.0,524.0,138.0,90.0,24.0,0.0,718.0,50.0,294.0,647.0,19.03,486.0,37.0,36.0,29.0,50.0,1.47,38.0,1.0,6.0,2.0,0.0,631.0,384.0,304.0,250.0,77.0,437.0,144.0,293.0,312.0,712.0,9.0,18670.0,2557.0,6799.0,7901.0,4170.0,608.0,18669.0,9894.0,527.0,400.0,129.0,10671.0,605.0,314.0,1.0,325.0,279.0,50.0,1.0,7.0,0.0,1869.0,451.0,508.0,47.0
Heerenveen,26.0,50.2,34.0,374.0,3060.0,43.0,29.0,1.0,3.0,51.0,1.0,1.26,0.85,2.12,1.24,2.09,44.1,41.7,1.3,1.23,34.0,34.0,3060.0,50.0,1.47,144.0,94.0,68.1,12.0,10.0,12.0,10.0,29.4,5.0,4.0,1.0,0.0,34.0,0.0,8.0,1.0,49.3,0.31,0.3,0.01,181.0,514.0,35.2,931.0,164.0,39.1,35.7,270.0,55.6,45.7,513.0,31.0,6.0,40.0,1.18,14.1,149.0,22.0,33.5,4.38,0.09,0.28,0.1,-1.1,0.3,13386.0,17076.0,78.4,242536.0,89231.0,5972.0,6811.0,87.7,5476.0,6489.0,84.4,1574.0,2841.0,55.4,320.0,1071.0,288.0,90.0,1245.0,15460.0,1570.0,359.0,43.0,137.0,633.0,157.0,58.0,59.0,4.0,671.0,46.0,321.0,792.0,23.29,593.0,61.0,48.0,36.0,74.0,2.18,51.0,6.0,9.0,2.0,0.0,527.0,317.0,282.0,179.0,66.0,330.0,108.0,222.0,362.0,680.0,5.0,20948.0,2395.0,7012.0,9272.0,4864.0,682.0,20945.0,11716.0,632.0,507.0,119.0,13268.0,531.0,281.0,0.0,325.0,324.0,46.0,3.0,5.0,1.0,1960.0,493.0,438.0,53.0
NEC Nijmegen,22.0,50.7,34.0,374.0,3060.0,42.0,32.0,4.0,5.0,48.0,3.0,1.24,0.94,2.18,1.12,2.06,48.2,44.3,1.42,1.3,34.0,34.0,3060.0,45.0,1.32,183.0,139.0,77.6,8.0,15.0,11.0,9.0,26.5,4.0,4.0,0.0,0.0,34.0,2.0,2.0,1.0,48.1,0.25,4.1,0.12,209.0,566.0,36.9,915.0,174.0,45.8,37.3,273.0,53.8,43.0,524.0,22.0,4.2,43.0,1.26,15.0,150.0,30.0,32.5,4.41,0.08,0.25,0.1,-6.2,-6.3,12788.0,16185.0,79.0,226005.0,88079.0,5787.0,6561.0,88.2,5163.0,6071.0,85.0,1388.0,2529.0,54.9,335.0,937.0,219.0,64.0,1256.0,14425.0,1724.0,492.0,49.0,114.0,623.0,184.0,40.0,124.0,2.0,679.0,36.0,302.0,824.0,24.24,564.0,77.0,47.0,61.0,76.0,2.24,56.0,3.0,4.0,7.0,0.0,517.0,290.0,267.0,188.0,62.0,381.0,139.0,242.0,256.0,620.0,9.0,20002.0,2333.0,6804.0,8874.0,4528.0,750.0,19997.0,11711.0,637.0,481.0,189.0,12643.0,534.0,329.0,0.0,358.0,453.0,36.0,4.0,4.0,1.0,1817.0,426.0,414.0,50.7
PSV Eindhoven,32.0,55.5,34.0,374.0,3060.0,87.0,63.0,6.0,7.0,47.0,3.0,2.56,1.85,4.41,2.38,4.24,81.5,76.0,2.4,2.23,34.0,34.0,3060.0,40.0,1.18,121.0,83.0,68.6,23.0,6.0,5.0,11.0,32.4,2.0,2.0,0.0,0.0,34.0,1.0,6.0,2.0,33.9,0.27,-4.1,-0.12,187.0,429.0,43.6,735.0,111.0,40.5,34.7,220.0,59.5,45.1,364.0,31.0,8.5,25.0,0.74,13.1,235.0,11.0,38.4,6.91,0.13,0.34,0.13,5.5,5.0,15431.0,19053.0,81.0,274344.0,100360.0,6910.0,7849.0,88.0,6415.0,7384.0,86.9,1641.0,2760.0,59.5,490.0,1423.0,399.0,93.0,1734.0,17443.0,1558.0,336.0,56.0,113.0,727.0,228.0,89.0,102.0,1.0,697.0,52.0,299.0,1091.0,32.09,801.0,103.0,81.0,38.0,147.0,4.32,101.0,8.0,19.0,6.0,2.0,601.0,354.0,286.0,242.0,73.0,381.0,91.0,290.0,304.0,549.0,11.0,23054.0,1813.0,6305.0,10840.0,6152.0,1089.0,23047.0,12979.0,787.0,535.0,241.0,15321.0,561.0,318.0,1.0,327.0,305.0,52.0,6.0,2.0,2.0,2194.0,560.0,464.0,54.7
RKC Waalwijk,27.0,45.4,34.0,374.0,3060.0,49.0,38.0,4.0,4.0,57.0,2.0,1.44,1.12,2.56,1.32,2.44,45.5,42.5,1.34,1.25,34.0,34.0,3060.0,64.0,1.88,208.0,143.0,71.6,11.0,8.0,15.0,6.0,17.6,8.0,5.0,2.0,1.0,34.0,1.0,6.0,1.0,62.8,0.28,-0.2,-0.01,204.0,600.0,34.0,994.0,217.0,44.4,38.1,286.0,55.6,45.8,566.0,62.0,11.0,42.0,1.24,12.8,131.0,11.0,35.2,3.85,0.12,0.34,0.12,3.5,2.5,11563.0,14936.0,77.4,209160.0,84153.0,5018.0,5823.0,86.2,4959.0,5831.0,85.0,1274.0,2392.0,53.3,292.0,889.0,285.0,52.0,1297.0,13398.0,1483.0,321.0,44.0,76.0,476.0,136.0,59.0,47.0,1.0,624.0,55.0,302.0,671.0,19.74,514.0,43.0,31.0,27.0,88.0,2.59,69.0,4.0,5.0,4.0,0.0,574.0,333.0,322.0,176.0,76.0,422.0,133.0,289.0,312.0,713.0,12.0,18958.0,2609.0,7210.0,7468.0,4481.0,711.0,18954.0,10273.0,557.0,402.0,152.0,11439.0,578.0,310.0,0.0,342.0,277.0,55.0,3.0,8.0,1.0,1840.0,334.0,373.0,47.2
