team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,26.0,42.7,38.0,418.0,3420.0,39.0,27.0,2.0,3.0,101.0,1.0,1.03,0.71,1.74,0.97,1.68,41.1,38.8,1.08,1.02,38.0,38.0,3420.0,50.0,1.32,167.0,119.0,73.7,13.0,11.0,14.0,8.0,21.1,6.0,6.0,0.0,0.0,38.0,3.0,2.0,2.0,52.6,0.29,4.6,0.12,325.0,794.0,40.9,815.0,98.0,62.1,43.3,327.0,88.1,56.7,632.0,21.0,3.3,42.0,1.11,15.0,116.0,16.0,27.2,3.05,0.09,0.32,0.09,-2.1,-1.8,9631.0,14061.0,68.5,186037.0,84436.0,4155.0,5125.0,81.1,3682.0,4818.0,76.4,1514.0,3235.0,46.8,298.0,831.0,224.0,117.0,1113.0,12027.0,1976.0,589.0,21.0,121.0,729.0,145.0,59.0,54.0,2.0,818.0,58.0,342.0,700.0,18.42,458.0,93.0,47.0,58.0,59.0,1.55,36.0,8.0,6.0,5.0,1.0,646.0,389.0,352.0,228.0,66.0,419.0,117.0,302.0,390.0,1066.0,13.0,18475.0,2174.0,6367.0,8264.0,4063.0,609.0,18472.0,8348.0,511.0,366.0,103.0,9540.0,587.0,341.0,0.0,551.0,499.0,58.0,2.0,6.0,2.0,1972.0,864.0,890.0,49.3
Athletic Club,27.0,50.0,38.0,418.0,3420.0,39.0,26.0,5.0,7.0,118.0,4.0,1.03,0.68,1.71,0.89,1.58,43.4,37.8,1.14,0.99,38.0,38.0,3420.0,45.0,1.18,120.0,75.0,66.7,13.0,14.0,11.0,10.0,26.3,5.0,5.0,0.0,0.0,38.0,0.0,6.0,0.0,42.8,0.32,-2.2,-0.06,358.0,825.0,43.4,901.0,123.0,64.9,45.4,264.0,90.9,62.7,508.0,22.0,4.3,36.0,0.95,16.3,132.0,6.0,34.7,3.47,0.09,0.26,0.1,-4.4,-3.8,13195.0,17584.0,75.0,241813.0,95216.0,6013.0,7036.0,85.5,5053.0,6188.0,81.7,1662.0,3197.0,52.0,299.0,1069.0,288.0,86.0,1452.0,15587.0,1923.0,577.0,49.0,185.0,728.0,153.0,56.0,72.0,3.0,847.0,74.0,369.0,693.0,18.24,477.0,77.0,42.0,45.0,70.0,1.84,49.0,5.0,6.0,7.0,0.0,643.0,384.0,311.0,245.0,87.0,414.0,93.0,321.0,453.0,815.0,7.0,21553.0,1935.0,6265.0,10194.0,5320.0,703.0,21546.0,10781.0,626.0,533.0,124.0,13087.0,522.0,344.0,2.0,580.0,492.0,74.0,6.0,5.0,0.0,2036.0,923.0,723.0,56.1
Atlético Madrid,29.0,49.2,38.0,418.0,3420.0,53.0,36.0,3.0,4.0,100.0,5.0,1.39,0.95,2.34,1.32,2.26,47.3,44.1,1.24,1.16,38.0,38.0,3420.0,29.0,0.76,136.0,109.0,82.4,22.0,10.0,6.0,20.0,52.6,5.0,5.0,0.0,0.0,38.0,0.0,4.0,2.0,42.3,0.28,15.3,0.4,220.0,596.0,36.9,583.0,104.0,56.6,40.8,302.0,88.1,57.2,555.0,22.0,4.0,16.0,0.42,12.0,155.0,21.0,35.2,4.08,0.11,0.32,0.1,5.7,5.9,14943.0,19014.0,78.6,244070.0,89224.0,7677.0,8649.0,88.8,4958.0,6062.0,81.8,1494.0,2809.0,53.2,350.0,1128.0,288.0,47.0,1386.0,17148.0,1786.0,470.0,77.0,144.0,590.0,217.0,83.0,96.0,0.0,730.0,80.0,354.0,788.0,20.74,569.0,75.0,40.0,53.0,89.0,2.34,63.0,3.0,11.0,7.0,1.0,784.0,487.0,402.0,298.0,84.0,374.0,94.0,280.0,463.0,837.0,12.0,23123.0,1928.0,6339.0,10785.0,6196.0,765.0,23119.0,12778.0,677.0,581.0,169.0,14831.0,497.0,412.0,3.0,476.0,453.0,80.0,2.0,5.0,2.0,2080.0,675.0,586.0,53.5
Barcelona,30.0,64.4,38.0,418.0,3420.0,88.0,61.0,8.0,9.0,76.0,2.0,2.32,1.61,3.92,2.11,3.71,75.8,68.7,1.99,1.81,38.0,38.0,3420.0,36.0,0.95,130.0,95.0,73.8,26.0,9.0,3.0,17.0,44.7,2.0,2.0,0.0,0.0,38.0,0.0,2.0,1.0,40.4,0.3,5.4,0.14,125.0,244.0,51.2,970.0,211.0,15.7,27.2,224.0,41.1,37.8,440.0,8.0,1.8,38.0,1.0,16.2,242.0,50.0,43.9,6.37,0.15,0.33,0.13,12.2,11.3,23263.0,26691.0,87.2,387149.0,121599.0,11437.0,12414.0,92.1,8986.0,9977.0,90.1,2097.0,2877.0,72.9,405.0,1807.0,438.0,37.0,2110.0,24835.0,1754.0,575.0,148.0,219.0,394.0,205.0,68.0,33.0,2.0,676.0,102.0,354.0,1000.0,26.32,766.0,42.0,42.0,66.0,158.0,4.16,113.0,7.0,10.0,15.0,0.0,537.0,346.0,218.0,232.0,87.0,360.0,101.0,259.0,391.0,565.0,16.0,30394.0,2182.0,7325.0,14901.0,8400.0,1045.0,30385.0,19443.0,851.0,840.0,266.0,23143.0,456.0,435.0,1.0,410.0,550.0,102.0,8.0,2.0,1.0,2017.0,449.0,365.0,55.2
Betis,25.0,61.8,38.0,418.0,3420.0,43.0,30.0,5.0,7.0,89.0,1.0,1.13,0.79,1.92,1.0,1.79,47.1,41.5,1.24,1.09,38.0,38.0,3420.0,52.0,1.37,155.0,102.0,69.0,14.0,8.0,16.0,11.0,28.9,5.0,4.0,1.0,0.0,38.0,2.0,8.0,0.0,51.5,0.31,-0.5,-0.01,128.0,337.0,38.0,1153.0,195.0,20.3,27.0,276.0,37.3,36.8,466.0,25.0,5.4,58.0,1.53,16.4,156.0,31.0,35.8,4.11,0.09,0.24,0.1,-4.1,-3.5,19411.0,22871.0,84.9,330969.0,106399.0,9076.0,9940.0,91.3,7937.0,8845.0,89.7,1761.0,2815.0,62.6,326.0,1279.0,304.0,61.0,1631.0,20943.0,1849.0,640.0,50.0,234.0,590.0,186.0,58.0,57.0,17.0,658.0,79.0,361.0,782.0,20.58,585.0,47.0,24.0,55.0,76.0,2.0,57.0,0.0,5.0,7.0,1.0,615.0,378.0,309.0,227.0,79.0,382.0,80.0,302.0,361.0,702.0,21.0,26762.0,2351.0,7748.0,12726.0,6515.0,826.0,26755.0,16024.0,887.0,705.0,218.0,19278.0,569.0,392.0,0.0,435.0,548.0,79.0,5.0,5.0,0.0,1804.0,463.0,467.0,49.8
Celta Vigo,28.0,51.6,38.0,418.0,3420.0,52.0,37.0,7.0,7.0,79.0,6.0,1.37,0.97,2.34,1.18,2.16,46.5,41.2,1.22,1.08,38.0,38.0,3420.0,62.0,1.63,167.0,106.0,66.5,10.0,11.0,17.0,8.0,21.1,7.0,6.0,0.0,1.0,38.0,4.0,5.0,1.0,59.7,0.32,-1.3,-0.03,257.0,669.0,38.4,925.0,161.0,44.3,37.4,348.0,74.4,55.1,581.0,20.0,3.4,37.0,0.97,14.7,152.0,22.0,34.2,4.0,0.1,0.3,0.09,5.5,3.8,14955.0,18808.0,79.5,268380.0,94860.0,6600.0,7448.0,88.6,6152.0,7186.0,85.6,1693.0,3042.0,55.7,343.0,959.0,245.0,67.0,1288.0,16862.0,1856.0,548.0,35.0,191.0,659.0,163.0,70.0,58.0,3.0,697.0,90.0,314.0,814.0,21.42,588.0,56.0,44.0,55.0,89.0,2.34,66.0,3.0,7.0,8.0,0.0,634.0,377.0,364.0,213.0,57.0,380.0,105.0,275.0,382.0,889.0,19.0,22889.0,2297.0,7252.0,10891.0,4967.0,670.0,22882.0,12743.0,673.0,588.0,141.0,14866.0,499.0,371.0,5.0,458.0,484.0,90.0,3.0,7.0,1.0,1904.0,663.0,611.0,52.0
Eibar,25.0,54.0,38.0,418.0,3420.0,46.0,26.0,7.0,8.0,81.0,2.0,1.21,0.68,1.89,1.03,1.71,54.8,48.6,1.44,1.28,38.0,38.0,3420.0,50.0,1.32,132.0,82.0,64.4,11.0,14.0,13.0,9.0,23.7,4.0,3.0,1.0,0.0,38.0,2.0,3.0,1.0,44.1,0.31,-4.9,-0.13,325.0,855.0,38.0,912.0,108.0,69.4,48.1,235.0,94.5,66.5,403.0,20.0,5.0,84.0,2.21,18.4,147.0,20.0,28.1,3.87,0.07,0.27,0.1,-8.8,-9.6,12976.0,18501.0,70.1,257830.0,97741.0,5205.0,6395.0,81.4,5155.0,6570.0,78.5,2179.0,4285.0,50.9,374.0,1359.0,353.0,152.0,1619.0,16274.0,2135.0,547.0,20.0,287.0,1057.0,223.0,36.0,152.0,4.0,1042.0,92.0,463.0,935.0,24.61,639.0,112.0,48.0,61.0,73.0,1.92,45.0,7.0,8.0,7.0,3.0,637.0,424.0,238.0,289.0,110.0,357.0,53.0,304.0,368.0,683.0,10.0,22528.0,1611.0,4998.0,10759.0,6998.0,907.0,22520.0,11159.0,565.0,523.0,135.0,12814.0,576.0,387.0,1.0,521.0,390.0,92.0,5.0,4.0,1.0,2272.0,996.0,1018.0,49.5
Espanyol,25.0,49.4,38.0,418.0,3420.0,43.0,26.0,4.0,4.0,90.0,2.0,1.13,0.68,1.82,1.03,1.71,48.9,45.8,1.29,1.21,38.0,38.0,3420.0,50.0,1.32,167.0,117.0,73.7,14.0,11.0,13.0,10.0,26.3,8.0,6.0,2.0,0.0,38.0,5.0,7.0,2.0,51.8,0.27,3.8,0.1,226.0,562.0,40.2,868.0,133.0,39.9,35.4,333.0,64.9,47.6,674.0,24.0,3.6,19.0,0.5,12.3,154.0,25.0,32.8,4.05,0.08,0.25,0.1,-5.9,-6.8,13855.0,17740.0,78.1,257913.0,96514.0,5888.0,6755.0,87.2,5853.0,6979.0,83.9,1783.0,3044.0,58.6,332.0,1060.0,306.0,60.0,1495.0,15748.0,1908.0,579.0,70.0,174.0,544.0,175.0,45.0,59.0,14.0,734.0,84.0,381.0,805.0,21.18,589.0,58.0,60.0,39.0,66.0,1.74,42.0,4.0,12.0,3.0,3.0,655.0,394.0,324.0,244.0,87.0,402.0,134.0,268.0,408.0,950.0,14.0,21903.0,2499.0,7590.0,9658.0,4910.0,689.0,21899.0,12023.0,642.0,500.0,139.0,13752.0,565.0,374.0,2.0,531.0,510.0,84.0,3.0,8.0,2.0,1935.0,591.0,582.0,50.4
Getafe,26.0,40.7,38.0,418.0,3420.0,47.0,34.0,6.0,6.0,107.0,7.0,1.24,0.89,2.13,1.08,1.97,46.2,41.6,1.22,1.09,38.0,38.0,3420.0,35.0,0.92,134.0,99.0,76.9,15.0,14.0,9.0,13.0,34.2,6.0,4.0,1.0,1.0,38.0,1.0,2.0,2.0,40.1,0.26,7.1,0.19,359.0,963.0,37.3,832.0,52.0,83.5,51.7,282.0,95.0,59.3,475.0,20.0,4.2,38.0,1.0,13.8,122.0,13.0,30.9,3.21,0.1,0.34,0.11,0.8,-0.6,8108.0,13021.0,62.3,166355.0,79572.0,3280.0,4305.0,76.2,3027.0,4335.0,69.8,1505.0,3376.0,44.6,294.0,842.0,272.0,86.0,1131.0,10784.0,2135.0,621.0,39.0,264.0,638.0,158.0,34.0,64.0,8.0,1001.0,102.0,408.0,674.0,17.74,428.0,90.0,36.0,56.0,78.0,2.05,46.0,7.0,5.0,8.0,1.0,604.0,358.0,246.0,281.0,77.0,422.0,81.0,341.0,453.0,888.0,15.0,17357.0,1810.0,5155.0,7727.0,4688.0,688.0,17351.0,7394.0,448.0,383.0,117.0,8009.0,589.0,366.0,4.0,642.0,501.0,102.0,4.0,7.0,2.0,2029.0,836.0,948.0,46.9
Girona,26.0,48.0,38.0,418.0,3420.0,37.0,23.0,6.0,6.0,81.0,4.0,0.97,0.61,1.58,0.82,1.42,43.5,39.3,1.14,1.04,38.0,38.0,3420.0,53.0,1.39,206.0,154.0,78.2,9.0,10.0,19.0,9.0,23.7,8.0,8.0,0.0,0.0,38.0,2.0,6.0,2.0,61.0,0.27,10.0,0.26,223.0,578.0,38.6,896.0,177.0,40.5,37.1,328.0,65.5,48.4,554.0,19.0,3.4,27.0,0.71,14.1,137.0,21.0,34.9,3.61,0.08,0.23,0.1,-6.5,-8.3,13136.0,17212.0,76.3,250408.0,94834.0,5279.0,6114.0,86.3,5722.0,6882.0,83.1,1791.0,3324.0,53.9,280.0,869.0,256.0,92.0,1316.0,15241.0,1911.0,589.0,39.0,206.0,743.0,136.0,60.0,59.0,0.0,767.0,60.0,314.0,692.0,18.21,462.0,84.0,39.0,62.0,63.0,1.66,39.0,6.0,9.0,7.0,0.0,613.0,367.0,309.0,247.0,57.0,401.0,124.0,277.0,432.0,928.0,14.0,21363.0,2422.0,7551.0,9834.0,4221.0,633.0,21357.0,11343.0,634.0,487.0,102.0,13037.0,502.0,370.0,2.0,537.0,527.0,60.0,3.0,8.0,2.0,1974.0,749.0,756.0,49.8
