team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Alavés,30.0,57.3,38.0,418.0,3420.0,57.0,44.0,3.0,3.0,80.0,3.0,1.5,1.16,2.66,1.42,2.58,49.9,47.5,1.31,1.25,38.0,38.0,3415.0,36.0,0.95,102.0,65.0,69.6,18.0,11.0,9.0,13.0,34.2,8.0,5.0,2.0,1.0,38.0,2.0,2.0,1.0,35.4,0.29,0.4,0.01,223.0,618.0,36.1,1012.0,154.0,44.9,37.4,238.0,68.9,51.1,496.0,16.0,3.2,51.0,1.34,17.8,139.0,16.0,35.2,3.66,0.14,0.39,0.12,7.1,6.5,15323.0,19621.0,78.1,272041.0,93075.0,6949.0,7957.0,87.3,6051.0,7142.0,84.7,1777.0,3255.0,54.6,292.0,1085.0,299.0,78.0,1477.0,17574.0,1940.0,561.0,22.0,201.0,731.0,201.0,72.0,62.0,0.0,865.0,107.0,305.0,706.0,18.58,515.0,63.0,32.0,42.0,102.0,2.68,76.0,4.0,5.0,5.0,3.0,469.0,279.0,197.0,215.0,57.0,309.0,89.0,220.0,342.0,623.0,12.0,23128.0,2076.0,6657.0,10894.0,5760.0,716.0,23124.0,12578.0,631.0,486.0,139.0,15191.0,564.0,302.0,1.0,514.0,478.0,107.0,3.0,7.0,1.0,1922.0,602.0,831.0,42.0
vs Athletic Club,27.0,50.2,38.0,418.0,3420.0,41.0,29.0,5.0,6.0,80.0,5.0,1.08,0.76,1.84,0.95,1.71,37.7,33.1,0.99,0.87,38.0,38.0,3420.0,46.0,1.21,133.0,89.0,68.4,14.0,13.0,11.0,12.0,31.6,5.0,4.0,1.0,0.0,38.0,1.0,4.0,3.0,39.7,0.27,-3.3,-0.09,254.0,666.0,38.1,1017.0,160.0,44.3,37.9,305.0,70.5,50.8,609.0,16.0,2.6,42.0,1.11,15.3,105.0,15.0,28.4,2.76,0.1,0.34,0.09,3.3,2.9,14279.0,18320.0,77.9,257634.0,93420.0,6619.0,7505.0,88.2,5354.0,6399.0,83.7,1797.0,3229.0,55.7,282.0,1022.0,280.0,94.0,1380.0,16391.0,1846.0,532.0,21.0,242.0,753.0,157.0,46.0,70.0,1.0,768.0,83.0,335.0,671.0,17.66,499.0,62.0,24.0,39.0,74.0,1.95,50.0,9.0,3.0,8.0,2.0,532.0,302.0,265.0,226.0,41.0,396.0,94.0,302.0,485.0,772.0,6.0,22248.0,2418.0,7572.0,9638.0,5254.0,664.0,22242.0,12496.0,590.0,465.0,121.0,14170.0,558.0,294.0,4.0,503.0,452.0,83.0,5.0,5.0,3.0,1861.0,601.0,656.0,47.8
vs Atlético Madrid,25.0,47.6,38.0,418.0,3420.0,22.0,15.0,1.0,4.0,59.0,3.0,0.58,0.39,0.97,0.55,0.95,37.1,34.0,0.98,0.89,38.0,38.0,3420.0,67.0,1.76,184.0,118.0,66.3,4.0,8.0,26.0,7.0,18.4,7.0,5.0,1.0,1.0,38.0,1.0,6.0,2.0,59.8,0.3,-5.2,-0.14,204.0,549.0,37.2,958.0,160.0,42.3,36.2,287.0,50.2,42.3,446.0,18.0,4.0,41.0,1.08,15.3,119.0,14.0,33.3,3.13,0.06,0.18,0.1,-15.1,-13.0,15160.0,19039.0,79.6,269657.0,90693.0,6763.0,7647.0,88.4,5993.0,6942.0,86.3,1807.0,3152.0,57.3,271.0,1175.0,243.0,77.0,1394.0,17189.0,1820.0,563.0,10.0,211.0,709.0,160.0,54.0,71.0,0.0,703.0,30.0,354.0,634.0,16.68,454.0,70.0,34.0,42.0,38.0,1.0,30.0,4.0,1.0,1.0,2.0,556.0,315.0,308.0,185.0,63.0,359.0,88.0,271.0,454.0,674.0,9.0,22889.0,2326.0,6949.0,10656.0,5476.0,577.0,22885.0,12371.0,557.0,531.0,89.0,15032.0,516.0,326.0,0.0,486.0,455.0,30.0,3.0,7.0,2.0,1939.0,482.0,530.0,47.6
vs Barcelona,25.0,45.0,38.0,418.0,3420.0,36.0,20.0,5.0,5.0,76.0,6.0,0.95,0.53,1.47,0.82,1.34,40.8,36.9,1.07,0.97,38.0,38.0,3420.0,85.0,2.24,238.0,155.0,66.0,7.0,7.0,24.0,3.0,7.9,8.0,4.0,3.0,1.0,38.0,3.0,4.0,5.0,77.8,0.31,-2.2,-0.06,225.0,586.0,38.4,864.0,137.0,46.6,37.8,312.0,58.7,46.0,355.0,18.0,5.1,32.0,0.84,12.3,125.0,14.0,38.7,3.29,0.1,0.25,0.12,-4.8,-5.9,11743.0,15011.0,78.2,208239.0,80182.0,5511.0,6256.0,88.1,4485.0,5238.0,85.6,1354.0,2515.0,53.8,234.0,806.0,223.0,56.0,1038.0,13448.0,1515.0,426.0,20.0,141.0,514.0,140.0,43.0,57.0,1.0,513.0,48.0,300.0,564.0,14.84,405.0,46.0,31.0,27.0,61.0,1.61,38.0,5.0,3.0,7.0,3.0,598.0,320.0,357.0,181.0,60.0,440.0,133.0,307.0,517.0,639.0,8.0,18886.0,2541.0,6990.0,8060.0,4069.0,606.0,18881.0,10362.0,529.0,402.0,127.0,11631.0,534.0,275.0,2.0,546.0,333.0,48.0,5.0,8.0,5.0,1846.0,317.0,395.0,44.5
vs Betis,25.0,46.1,38.0,418.0,3420.0,47.0,31.0,8.0,10.0,83.0,2.0,1.24,0.82,2.05,1.03,1.84,46.8,39.2,1.23,1.03,38.0,38.0,3420.0,50.0,1.32,156.0,103.0,73.1,11.0,10.0,17.0,9.0,23.7,11.0,8.0,3.0,0.0,38.0,1.0,9.0,0.0,51.0,0.26,1.0,0.03,201.0,526.0,38.2,1047.0,146.0,37.7,35.0,265.0,49.4,40.8,454.0,15.0,3.3,36.0,0.95,15.9,126.0,17.0,35.4,3.32,0.11,0.31,0.11,0.2,-0.2,13195.0,17225.0,76.6,238342.0,88037.0,5749.0,6650.0,86.5,5382.0,6418.0,83.9,1594.0,2970.0,53.7,259.0,928.0,245.0,68.0,1311.0,15253.0,1847.0,548.0,36.0,180.0,654.0,158.0,64.0,60.0,0.0,788.0,125.0,346.0,640.0,16.84,449.0,65.0,29.0,43.0,80.0,2.11,59.0,3.0,7.0,5.0,1.0,585.0,335.0,286.0,244.0,55.0,407.0,129.0,278.0,367.0,611.0,12.0,20973.0,2317.0,7012.0,9391.0,4771.0,658.0,20963.0,11170.0,549.0,399.0,127.0,13078.0,504.0,345.0,0.0,507.0,492.0,125.0,6.0,11.0,0.0,1936.0,628.0,613.0,50.6
vs Cádiz,34.0,65.7,38.0,418.0,3420.0,57.0,41.0,9.0,10.0,87.0,4.0,1.5,1.08,2.58,1.26,2.34,55.4,47.6,1.46,1.25,38.0,38.0,3420.0,36.0,0.95,101.0,68.0,68.3,16.0,11.0,11.0,13.0,34.2,4.0,4.0,0.0,0.0,38.0,0.0,5.0,3.0,35.2,0.32,2.2,0.06,146.0,351.0,41.6,791.0,166.0,30.5,31.3,231.0,47.6,40.8,549.0,26.0,4.7,49.0,1.29,15.9,140.0,19.0,31.9,3.68,0.11,0.34,0.11,1.6,0.4,18990.0,23128.0,82.1,325229.0,109780.0,8929.0,9933.0,89.9,7698.0,8790.0,87.6,1736.0,2988.0,58.1,340.0,1523.0,367.0,100.0,1881.0,21256.0,1771.0,451.0,31.0,189.0,805.0,206.0,92.0,61.0,2.0,809.0,101.0,349.0,803.0,21.13,603.0,63.0,37.0,39.0,101.0,2.66,74.0,4.0,5.0,9.0,3.0,486.0,300.0,217.0,199.0,70.0,244.0,41.0,203.0,302.0,660.0,10.0,26776.0,1848.0,6814.0,13117.0,7047.0,835.0,26766.0,15852.0,819.0,700.0,146.0,18860.0,569.0,326.0,4.0,510.0,399.0,101.0,5.0,4.0,3.0,1929.0,753.0,687.0,52.3
vs Celta Vigo,30.0,46.3,38.0,418.0,3420.0,56.0,37.0,7.0,8.0,102.0,6.0,1.47,0.97,2.45,1.29,2.26,51.0,45.0,1.34,1.18,38.0,38.0,3420.0,55.0,1.45,140.0,85.0,65.7,13.0,11.0,14.0,10.0,26.3,7.0,7.0,0.0,0.0,38.0,1.0,4.0,0.0,50.5,0.31,-4.5,-0.12,267.0,615.0,43.4,948.0,132.0,48.8,39.7,220.0,69.1,49.6,416.0,13.0,3.1,36.0,0.95,15.8,130.0,23.0,32.0,3.42,0.12,0.38,0.12,5.0,4.0,12833.0,16949.0,75.7,234551.0,90752.0,5767.0,6732.0,85.7,4864.0,5911.0,82.3,1703.0,3093.0,55.1,285.0,965.0,248.0,79.0,1249.0,14836.0,2062.0,658.0,21.0,196.0,741.0,166.0,66.0,55.0,0.0,924.0,51.0,365.0,715.0,18.82,486.0,71.0,31.0,56.0,93.0,2.45,63.0,4.0,9.0,8.0,4.0,468.0,288.0,183.0,204.0,81.0,344.0,76.0,268.0,489.0,522.0,6.0,20852.0,1927.0,6118.0,9488.0,5452.0,714.0,20844.0,10958.0,578.0,431.0,139.0,12701.0,637.0,424.0,4.0,528.0,607.0,51.0,6.0,7.0,0.0,1988.0,669.0,609.0,52.3
vs Eibar,30.0,50.4,38.0,418.0,3420.0,52.0,40.0,3.0,5.0,66.0,2.0,1.37,1.05,2.42,1.29,2.34,45.7,41.7,1.2,1.1,38.0,38.0,3420.0,29.0,0.76,135.0,102.0,81.5,20.0,12.0,6.0,14.0,36.8,9.0,4.0,4.0,1.0,38.0,0.0,5.0,0.0,38.5,0.23,9.5,0.25,350.0,898.0,39.0,1187.0,154.0,54.8,39.7,370.0,67.0,49.9,822.0,20.0,2.4,32.0,0.84,12.6,131.0,12.0,38.0,3.45,0.14,0.37,0.13,6.3,7.3,12572.0,17650.0,71.2,235599.0,96981.0,5489.0,6648.0,82.6,4928.0,6296.0,78.3,1719.0,3524.0,48.8,264.0,842.0,230.0,62.0,1056.0,15366.0,2156.0,534.0,38.0,175.0,545.0,141.0,47.0,56.0,2.0,1041.0,128.0,333.0,598.0,15.74,425.0,57.0,39.0,30.0,91.0,2.39,72.0,1.0,5.0,3.0,0.0,519.0,319.0,285.0,196.0,38.0,359.0,98.0,261.0,406.0,933.0,7.0,21668.0,2897.0,9306.0,8407.0,4147.0,603.0,21663.0,10496.0,446.0,317.0,125.0,12448.0,544.0,311.0,1.0,417.0,461.0,128.0,5.0,9.0,0.0,1962.0,917.0,908.0,50.2
vs Elche,30.0,52.4,38.0,418.0,3420.0,54.0,43.0,6.0,10.0,79.0,2.0,1.42,1.13,2.55,1.26,2.39,60.9,53.2,1.6,1.4,38.0,38.0,3420.0,34.0,0.89,88.0,55.0,63.6,18.0,12.0,8.0,13.0,34.2,3.0,2.0,0.0,1.0,38.0,0.0,5.0,1.0,31.9,0.34,-1.1,-0.03,175.0,402.0,43.5,819.0,138.0,34.9,33.7,208.0,55.8,44.7,509.0,16.0,3.1,47.0,1.24,16.6,154.0,20.0,33.2,4.05,0.1,0.31,0.12,-6.9,-5.2,15677.0,19231.0,81.5,280806.0,94333.0,6905.0,7792.0,88.6,6609.0,7543.0,87.6,1700.0,2817.0,60.3,369.0,1247.0,346.0,84.0,1646.0,17496.0,1671.0,535.0,28.0,149.0,693.0,164.0,43.0,64.0,1.0,692.0,64.0,308.0,849.0,22.34,624.0,72.0,30.0,56.0,98.0,2.58,70.0,8.0,7.0,5.0,0.0,598.0,347.0,216.0,281.0,101.0,327.0,57.0,270.0,405.0,586.0,8.0,22916.0,1668.0,5637.0,11435.0,6060.0,824.0,22906.0,14103.0,702.0,575.0,158.0,15540.0,526.0,341.0,1.0,496.0,506.0,64.0,6.0,3.0,1.0,1977.0,539.0,488.0,52.5
vs Getafe,31.0,57.2,38.0,418.0,3420.0,40.0,26.0,7.0,8.0,106.0,6.0,1.05,0.68,1.74,0.87,1.55,40.3,34.0,1.06,0.9,38.0,38.0,3420.0,28.0,0.74,102.0,73.0,75.5,18.0,11.0,9.0,21.0,55.3,5.0,3.0,2.0,0.0,38.0,0.0,0.0,1.0,27.7,0.22,0.7,0.02,291.0,696.0,41.8,1027.0,173.0,48.6,39.6,299.0,65.9,49.5,606.0,25.0,4.1,51.0,1.34,17.0,103.0,13.0,33.0,2.71,0.11,0.32,0.11,-0.3,-1.0,14007.0,18783.0,74.6,254282.0,98526.0,6282.0,7408.0,84.8,5491.0,6728.0,81.6,1739.0,3372.0,51.6,223.0,935.0,204.0,58.0,1195.0,16642.0,2054.0,674.0,22.0,214.0,566.0,145.0,57.0,53.0,1.0,869.0,87.0,356.0,550.0,14.47,381.0,68.0,22.0,45.0,67.0,1.76,47.0,6.0,3.0,8.0,0.0,574.0,313.0,339.0,196.0,39.0,352.0,88.0,264.0,390.0,838.0,3.0,22842.0,2309.0,8032.0,10578.0,4424.0,496.0,22834.0,11476.0,454.0,333.0,87.0,13875.0,600.0,338.0,5.0,549.0,589.0,87.0,6.0,5.0,1.0,1948.0,946.0,840.0,53.0
