team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Amiens,27.0,54.4,28.0,308.0,2520.0,49.0,36.0,1.0,1.0,43.0,1.0,1.75,1.29,3.04,1.71,3.0,39.3,38.6,1.4,1.38,28.0,28.0,2520.0,31.0,1.11,82.0,49.0,65.9,13.0,11.0,4.0,7.0,25.0,5.0,3.0,2.0,0.0,28.0,1.0,3.0,1.0,27.1,0.27,-2.9,-0.1,188.0,440.0,42.7,779.0,130.0,42.2,35.8,168.0,66.1,48.1,343.0,17.0,5.0,44.0,1.57,17.3,141.0,21.0,34.5,5.04,0.12,0.34,0.1,9.7,9.4,12188.0,15383.0,79.2,219681.0,79923.0,5410.0,6220.0,87.0,4952.0,5823.0,85.0,1436.0,2465.0,58.3,297.0,883.0,220.0,62.0,1238.0,13911.0,1449.0,418.0,33.0,172.0,558.0,140.0,60.0,57.0,4.0,664.0,23.0,237.0,702.0,25.07,501.0,57.0,36.0,39.0,81.0,2.89,49.0,10.0,7.0,5.0,2.0,523.0,326.0,224.0,249.0,50.0,240.0,54.0,186.0,338.0,459.0,8.0,18606.0,1513.0,5459.0,9183.0,4163.0,539.0,18605.0,10250.0,587.0,429.0,118.0,12114.0,529.0,224.0,0.0,349.0,378.0,23.0,1.0,5.0,1.0,1659.0,551.0,470.0,54.0
vs Angers,26.0,54.8,28.0,308.0,2520.0,33.0,25.0,3.0,3.0,47.0,0.0,1.18,0.89,2.07,1.07,1.96,28.4,26.1,1.01,0.93,28.0,28.0,2520.0,28.0,1.0,114.0,87.0,76.3,11.0,6.0,11.0,11.0,39.3,1.0,1.0,0.0,0.0,28.0,1.0,3.0,1.0,28.8,0.24,1.8,0.07,116.0,317.0,36.6,646.0,149.0,30.8,31.6,225.0,52.4,41.6,429.0,16.0,3.7,18.0,0.64,12.8,87.0,13.0,32.8,3.11,0.11,0.34,0.1,4.6,3.9,13506.0,16379.0,82.5,232402.0,80715.0,6395.0,7122.0,89.8,5518.0,6291.0,87.7,1264.0,2171.0,58.2,200.0,1020.0,161.0,42.0,1308.0,15034.0,1317.0,348.0,41.0,116.0,471.0,112.0,54.0,44.0,1.0,577.0,28.0,225.0,472.0,16.86,353.0,39.0,18.0,29.0,54.0,1.93,41.0,2.0,3.0,5.0,0.0,531.0,320.0,274.0,204.0,53.0,278.0,88.0,190.0,301.0,543.0,7.0,19485.0,1543.0,5322.0,10672.0,3655.0,408.0,19482.0,10660.0,569.0,398.0,94.0,13445.0,499.0,262.0,0.0,345.0,307.0,28.0,2.0,1.0,1.0,1558.0,455.0,449.0,50.3
vs Bordeaux,26.0,46.4,28.0,308.0,2520.0,33.0,28.0,2.0,3.0,65.0,8.0,1.18,1.0,2.18,1.11,2.11,36.9,34.6,1.32,1.23,28.0,28.0,2520.0,40.0,1.43,108.0,68.0,64.8,9.0,10.0,9.0,6.0,21.4,2.0,2.0,0.0,0.0,28.0,2.0,7.0,0.0,31.8,0.28,-8.2,-0.29,154.0,498.0,30.9,740.0,82.0,49.1,38.4,193.0,69.9,48.8,340.0,15.0,4.4,27.0,0.96,14.9,105.0,10.0,29.4,3.75,0.09,0.3,0.1,-3.9,-3.6,10061.0,13024.0,77.2,182809.0,65793.0,4469.0,5185.0,86.2,4233.0,5033.0,84.1,1145.0,2166.0,52.9,269.0,721.0,197.0,46.0,1053.0,11580.0,1407.0,399.0,34.0,94.0,563.0,165.0,71.0,66.0,2.0,583.0,37.0,183.0,630.0,22.5,433.0,62.0,41.0,31.0,56.0,2.0,45.0,3.0,2.0,2.0,2.0,518.0,316.0,207.0,247.0,64.0,233.0,65.0,168.0,308.0,434.0,15.0,16064.0,1528.0,4746.0,7807.0,3719.0,548.0,16061.0,8465.0,580.0,436.0,151.0,9991.0,424.0,253.0,5.0,377.0,353.0,37.0,3.0,2.0,0.0,1620.0,445.0,487.0,47.7
vs Brest,24.0,50.2,28.0,308.0,2520.0,37.0,24.0,4.0,6.0,40.0,1.0,1.32,0.86,2.18,1.18,2.04,45.5,40.8,1.62,1.46,28.0,28.0,2520.0,34.0,1.21,101.0,66.0,67.3,10.0,10.0,8.0,10.0,35.7,5.0,1.0,3.0,1.0,28.0,0.0,2.0,2.0,26.9,0.23,-5.1,-0.18,176.0,399.0,44.1,659.0,116.0,38.2,34.9,252.0,58.3,43.7,419.0,25.0,6.0,23.0,0.82,13.4,137.0,18.0,33.7,4.89,0.08,0.24,0.1,-8.5,-7.8,11328.0,14354.0,78.9,201902.0,77054.0,5207.0,5998.0,86.8,4516.0,5331.0,84.7,1287.0,2261.0,56.9,293.0,843.0,219.0,80.0,1144.0,12905.0,1410.0,337.0,39.0,117.0,609.0,164.0,65.0,62.0,3.0,597.0,39.0,223.0,735.0,26.25,510.0,77.0,53.0,41.0,66.0,2.36,44.0,9.0,6.0,3.0,1.0,438.0,284.0,175.0,202.0,61.0,278.0,71.0,207.0,330.0,557.0,13.0,17583.0,1595.0,5171.0,8599.0,3975.0,629.0,17577.0,9449.0,621.0,406.0,153.0,11250.0,482.0,300.0,1.0,308.0,303.0,39.0,4.0,5.0,2.0,1525.0,477.0,405.0,54.1
vs Dijon,28.0,53.5,28.0,308.0,2520.0,35.0,25.0,1.0,1.0,44.0,3.0,1.25,0.89,2.14,1.21,2.11,38.4,37.6,1.37,1.34,28.0,28.0,2520.0,27.0,0.96,101.0,75.0,74.3,12.0,9.0,7.0,12.0,42.9,1.0,1.0,0.0,0.0,28.0,0.0,1.0,1.0,26.3,0.25,0.3,0.01,109.0,319.0,34.2,631.0,121.0,34.1,33.0,207.0,50.2,41.0,340.0,11.0,3.2,28.0,1.0,16.3,127.0,13.0,32.1,4.54,0.09,0.27,0.1,-3.4,-3.6,12016.0,15098.0,79.6,213541.0,78775.0,5378.0,6141.0,87.6,5105.0,5935.0,86.0,1227.0,2228.0,55.1,290.0,919.0,224.0,62.0,1296.0,13618.0,1446.0,365.0,32.0,137.0,595.0,161.0,81.0,58.0,2.0,658.0,34.0,231.0,681.0,24.32,473.0,61.0,41.0,35.0,59.0,2.11,35.0,7.0,6.0,6.0,1.0,534.0,322.0,216.0,256.0,62.0,257.0,79.0,178.0,333.0,485.0,5.0,18337.0,1500.0,5322.0,9091.0,4141.0,570.0,18336.0,10375.0,546.0,392.0,119.0,11953.0,458.0,277.0,1.0,364.0,331.0,34.0,1.0,1.0,1.0,1656.0,499.0,542.0,47.9
vs Lille,25.0,47.1,28.0,308.0,2520.0,24.0,17.0,4.0,6.0,57.0,2.0,0.86,0.61,1.46,0.71,1.32,31.4,26.7,1.12,0.95,28.0,28.0,2520.0,35.0,1.25,129.0,91.0,76.7,9.0,4.0,15.0,6.0,21.4,8.0,5.0,3.0,0.0,28.0,0.0,5.0,0.0,41.7,0.28,6.7,0.24,163.0,449.0,36.3,669.0,127.0,43.9,37.3,232.0,66.8,46.8,400.0,17.0,4.3,18.0,0.64,12.9,78.0,15.0,28.8,2.79,0.07,0.26,0.1,-7.4,-6.7,9861.0,12826.0,76.9,179869.0,67316.0,4330.0,5038.0,85.9,4001.0,4789.0,83.5,1226.0,2224.0,55.1,210.0,624.0,158.0,47.0,936.0,11326.0,1464.0,419.0,21.0,119.0,433.0,113.0,46.0,53.0,3.0,636.0,36.0,244.0,482.0,17.21,327.0,57.0,20.0,37.0,40.0,1.43,30.0,2.0,2.0,5.0,0.0,515.0,298.0,295.0,179.0,41.0,274.0,73.0,201.0,284.0,585.0,18.0,16008.0,1740.0,5837.0,7425.0,2931.0,426.0,16002.0,8289.0,457.0,309.0,103.0,9791.0,473.0,241.0,0.0,373.0,349.0,36.0,3.0,8.0,0.0,1447.0,479.0,478.0,50.1
vs Lyon,27.0,43.8,28.0,308.0,2520.0,24.0,15.0,2.0,3.0,55.0,7.0,0.86,0.54,1.39,0.79,1.32,27.1,24.7,0.97,0.88,28.0,28.0,2520.0,42.0,1.5,136.0,93.0,72.8,10.0,7.0,11.0,9.0,32.1,6.0,5.0,1.0,0.0,28.0,0.0,1.0,0.0,41.4,0.27,-0.6,-0.02,143.0,426.0,33.6,645.0,129.0,41.1,35.6,246.0,65.4,47.3,388.0,20.0,5.2,28.0,1.0,14.7,95.0,21.0,30.9,3.39,0.07,0.23,0.08,-3.1,-2.7,9800.0,12551.0,78.1,167531.0,62592.0,4561.0,5200.0,87.7,3890.0,4615.0,84.3,934.0,1895.0,49.3,235.0,691.0,159.0,34.0,976.0,11178.0,1330.0,338.0,24.0,94.0,437.0,121.0,47.0,44.0,1.0,555.0,43.0,193.0,549.0,19.61,390.0,43.0,20.0,37.0,41.0,1.46,31.0,4.0,3.0,2.0,0.0,530.0,303.0,266.0,222.0,42.0,251.0,71.0,180.0,315.0,543.0,11.0,15747.0,1670.0,5046.0,7352.0,3527.0,446.0,15744.0,8481.0,495.0,406.0,119.0,9734.0,453.0,291.0,2.0,332.0,318.0,43.0,2.0,6.0,0.0,1425.0,372.0,455.0,45.0
vs Marseille,23.0,46.5,28.0,308.0,2520.0,27.0,20.0,4.0,5.0,52.0,2.0,0.96,0.71,1.68,0.82,1.54,31.8,28.0,1.14,1.0,28.0,28.0,2520.0,41.0,1.46,120.0,81.0,69.2,4.0,8.0,16.0,6.0,21.4,6.0,4.0,1.0,1.0,28.0,0.0,3.0,3.0,32.1,0.23,-5.9,-0.21,156.0,416.0,37.5,669.0,119.0,42.5,35.2,215.0,61.4,44.7,378.0,9.0,2.4,23.0,0.82,14.6,94.0,19.0,34.4,3.36,0.08,0.24,0.11,-4.8,-5.0,9878.0,12782.0,77.3,174423.0,66316.0,4447.0,5105.0,87.1,4067.0,4820.0,84.4,1033.0,1993.0,51.8,192.0,589.0,144.0,51.0,880.0,11239.0,1478.0,372.0,34.0,98.0,438.0,111.0,49.0,41.0,1.0,712.0,65.0,248.0,481.0,17.18,323.0,40.0,26.0,43.0,50.0,1.79,34.0,3.0,3.0,5.0,1.0,492.0,289.0,234.0,204.0,54.0,248.0,89.0,159.0,321.0,522.0,10.0,15914.0,1652.0,5413.0,7686.0,2987.0,394.0,15909.0,8482.0,416.0,336.0,104.0,9817.0,480.0,329.0,0.0,344.0,346.0,65.0,4.0,6.0,3.0,1472.0,448.0,472.0,48.7
vs Metz,24.0,54.7,28.0,308.0,2520.0,35.0,25.0,4.0,4.0,37.0,3.0,1.25,0.89,2.14,1.11,2.0,38.1,35.0,1.36,1.25,28.0,28.0,2520.0,27.0,0.96,100.0,71.0,75.0,10.0,10.0,8.0,9.0,32.1,4.0,2.0,2.0,0.0,28.0,0.0,4.0,0.0,28.7,0.25,1.7,0.06,83.0,190.0,43.7,591.0,155.0,21.3,28.4,182.0,35.2,35.5,331.0,19.0,5.7,26.0,0.93,13.9,131.0,18.0,34.1,4.68,0.08,0.24,0.09,-3.1,-4.0,12110.0,15183.0,79.8,215651.0,81238.0,5353.0,6089.0,87.9,5059.0,5962.0,84.9,1318.0,2234.0,59.0,283.0,928.0,200.0,61.0,1307.0,13706.0,1451.0,342.0,40.0,132.0,615.0,166.0,86.0,66.0,3.0,706.0,26.0,250.0,676.0,24.14,487.0,69.0,35.0,38.0,64.0,2.29,46.0,3.0,4.0,7.0,0.0,526.0,319.0,235.0,238.0,53.0,224.0,67.0,157.0,285.0,462.0,5.0,18311.0,1343.0,5108.0,9221.0,4164.0,548.0,18307.0,10365.0,550.0,396.0,117.0,12014.0,466.0,313.0,1.0,364.0,317.0,26.0,3.0,4.0,0.0,1563.0,547.0,462.0,54.2
vs Monaco,28.0,49.1,28.0,308.0,2520.0,43.0,29.0,6.0,6.0,46.0,0.0,1.54,1.04,2.57,1.32,2.36,42.7,38.1,1.53,1.36,28.0,28.0,2520.0,44.0,1.57,139.0,95.0,71.2,10.0,7.0,11.0,5.0,17.9,4.0,4.0,0.0,0.0,28.0,0.0,4.0,0.0,41.0,0.28,-3.0,-0.11,124.0,330.0,37.6,660.0,156.0,34.1,34.2,211.0,49.8,41.1,384.0,16.0,4.2,23.0,0.82,14.5,128.0,14.0,35.4,4.57,0.1,0.29,0.11,0.3,-1.1,11250.0,13920.0,80.8,200354.0,72636.0,5106.0,5730.0,89.1,4560.0,5250.0,86.9,1276.0,2136.0,59.7,275.0,870.0,181.0,58.0,1143.0,12549.0,1312.0,358.0,35.0,165.0,529.0,137.0,61.0,51.0,1.0,534.0,59.0,221.0,641.0,22.89,459.0,59.0,33.0,31.0,72.0,2.57,48.0,4.0,10.0,6.0,0.0,451.0,260.0,204.0,200.0,47.0,284.0,91.0,193.0,329.0,535.0,17.0,17209.0,1769.0,5484.0,8266.0,3638.0,541.0,17203.0,9679.0,586.0,421.0,140.0,11189.0,486.0,269.0,0.0,370.0,311.0,59.0,4.0,4.0,0.0,1516.0,372.0,405.0,47.9
