team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ajaccio,36.0,43.2,38.0,418.0,3420.0,22.0,12.0,6.0,9.0,86.0,10.0,0.58,0.32,0.89,0.42,0.74,36.1,29.4,0.95,0.77,38.0,38.0,3420.0,74.0,1.95,161.0,89.0,59.6,7.0,5.0,26.0,6.0,15.8,10.0,9.0,0.0,1.0,38.0,1.0,11.0,2.0,57.6,0.31,-14.4,-0.38,238.0,633.0,37.6,785.0,90.0,53.2,39.0,260.0,82.7,51.8,507.0,26.0,5.1,60.0,1.58,15.9,81.0,12.0,26.0,2.13,0.05,0.2,0.1,-14.1,-13.4,11216.0,15286.0,73.4,206467.0,81586.0,4741.0,5780.0,82.0,4578.0,5701.0,80.3,1448.0,2889.0,50.1,234.0,954.0,188.0,71.0,1169.0,13368.0,1855.0,562.0,39.0,57.0,631.0,126.0,42.0,65.0,0.0,795.0,63.0,349.0,539.0,14.18,350.0,72.0,34.0,51.0,38.0,1.0,23.0,0.0,5.0,5.0,2.0,637.0,382.0,321.0,236.0,80.0,359.0,85.0,274.0,420.0,670.0,10.0,19271.0,1979.0,6134.0,9380.0,3966.0,486.0,19262.0,12563.0,487.0,406.0,92.0,11114.0,625.0,324.0,2.0,541.0,495.0,63.0,8.0,10.0,2.0,2053.0,602.0,711.0,45.8
Angers,33.0,46.9,38.0,418.0,3420.0,31.0,18.0,4.0,4.0,69.0,5.0,0.82,0.47,1.29,0.71,1.18,40.9,37.8,1.08,0.99,38.0,38.0,3420.0,81.0,2.13,197.0,119.0,63.5,4.0,6.0,28.0,4.0,10.5,11.0,9.0,1.0,1.0,38.0,1.0,9.0,4.0,67.8,0.3,-9.2,-0.24,127.0,416.0,30.5,735.0,194.0,38.0,34.3,254.0,53.9,42.3,500.0,38.0,7.6,27.0,0.71,11.6,121.0,18.0,33.0,3.18,0.07,0.22,0.11,-9.9,-10.8,14103.0,17463.0,80.8,252709.0,88748.0,5934.0,6810.0,87.1,6249.0,7208.0,86.7,1435.0,2536.0,56.6,276.0,1124.0,214.0,65.0,1393.0,15689.0,1727.0,483.0,40.0,92.0,584.0,164.0,98.0,42.0,0.0,705.0,47.0,294.0,647.0,17.03,471.0,56.0,25.0,44.0,53.0,1.39,35.0,5.0,4.0,7.0,0.0,652.0,386.0,311.0,268.0,73.0,402.0,99.0,303.0,375.0,605.0,13.0,21515.0,2041.0,6588.0,10633.0,4609.0,567.0,21511.0,15521.0,632.0,596.0,149.0,13974.0,593.0,349.0,3.0,492.0,422.0,47.0,4.0,11.0,4.0,2025.0,436.0,441.0,49.7
Auxerre,33.0,43.3,38.0,418.0,3420.0,32.0,17.0,7.0,9.0,54.0,6.0,0.84,0.45,1.29,0.66,1.11,42.7,35.7,1.12,0.94,38.0,38.0,3420.0,63.0,1.66,181.0,117.0,67.4,8.0,11.0,19.0,7.0,18.4,6.0,4.0,2.0,0.0,38.0,0.0,3.0,1.0,57.8,0.3,-4.2,-0.11,268.0,698.0,38.4,978.0,145.0,48.4,39.5,289.0,77.9,53.5,599.0,17.0,2.8,26.0,0.68,13.0,117.0,15.0,27.9,3.08,0.06,0.21,0.09,-10.7,-10.7,12386.0,15989.0,77.5,240572.0,90967.0,4837.0,5709.0,84.7,5262.0,6177.0,85.2,1838.0,3237.0,56.8,301.0,1020.0,243.0,82.0,1284.0,14213.0,1728.0,491.0,31.0,210.0,617.0,135.0,56.0,57.0,0.0,712.0,48.0,305.0,733.0,19.29,528.0,61.0,40.0,35.0,50.0,1.32,28.0,4.0,7.0,8.0,0.0,674.0,378.0,337.0,263.0,74.0,441.0,118.0,323.0,454.0,782.0,10.0,20359.0,2523.0,7094.0,9231.0,4269.0,630.0,20350.0,13862.0,531.0,461.0,131.0,12268.0,645.0,320.0,4.0,462.0,419.0,48.0,6.0,6.0,1.0,2078.0,487.0,566.0,46.2
Brest,29.0,44.9,38.0,418.0,3420.0,43.0,28.0,7.0,8.0,63.0,2.0,1.13,0.74,1.87,0.95,1.68,43.3,37.1,1.14,0.98,38.0,38.0,3420.0,54.0,1.42,179.0,125.0,73.7,11.0,11.0,16.0,9.0,23.7,9.0,7.0,2.0,0.0,38.0,1.0,11.0,2.0,55.1,0.26,3.1,0.08,206.0,490.0,42.0,824.0,166.0,38.7,35.7,300.0,57.0,43.3,531.0,32.0,6.0,25.0,0.66,11.4,132.0,13.0,31.7,3.47,0.09,0.27,0.09,-0.3,-1.1,12486.0,16452.0,75.9,242407.0,93329.0,4874.0,5833.0,83.6,5395.0,6456.0,83.6,1807.0,3246.0,55.7,314.0,1027.0,243.0,94.0,1311.0,14545.0,1848.0,525.0,30.0,162.0,755.0,178.0,82.0,81.0,2.0,754.0,59.0,339.0,736.0,19.37,495.0,98.0,50.0,41.0,73.0,1.92,39.0,10.0,8.0,9.0,3.0,705.0,417.0,348.0,289.0,68.0,435.0,115.0,320.0,475.0,686.0,13.0,20724.0,2299.0,6960.0,9493.0,4555.0,668.0,20716.0,13923.0,592.0,490.0,124.0,12371.0,566.0,322.0,0.0,499.0,462.0,59.0,7.0,9.0,2.0,2115.0,633.0,569.0,52.7
Clermont Foot,28.0,48.3,38.0,418.0,3420.0,44.0,26.0,7.0,10.0,72.0,5.0,1.16,0.68,1.84,0.97,1.66,47.5,39.6,1.25,1.04,38.0,38.0,3420.0,49.0,1.29,164.0,111.0,75.0,17.0,8.0,13.0,10.0,26.3,12.0,8.0,4.0,0.0,38.0,0.0,5.0,0.0,56.5,0.29,7.5,0.2,238.0,618.0,38.5,1239.0,177.0,40.0,36.9,265.0,46.0,40.1,478.0,35.0,7.3,30.0,0.79,12.1,139.0,16.0,35.4,3.66,0.09,0.27,0.1,-3.5,-2.6,14212.0,17961.0,79.1,256952.0,96617.0,6081.0,7055.0,86.2,6018.0,7037.0,85.5,1613.0,2887.0,55.9,267.0,1004.0,239.0,62.0,1304.0,16060.0,1849.0,642.0,31.0,105.0,564.0,155.0,73.0,48.0,4.0,658.0,52.0,373.0,668.0,17.58,497.0,51.0,39.0,39.0,72.0,1.89,45.0,4.0,11.0,6.0,1.0,685.0,398.0,350.0,250.0,85.0,424.0,126.0,298.0,440.0,571.0,17.0,22057.0,2500.0,7753.0,10251.0,4323.0,656.0,22047.0,15772.0,532.0,508.0,111.0,14090.0,566.0,338.0,2.0,426.0,592.0,52.0,7.0,12.0,0.0,2051.0,410.0,427.0,49.0
Lens,29.0,55.6,38.0,418.0,3420.0,66.0,49.0,6.0,9.0,63.0,3.0,1.74,1.29,3.03,1.58,2.87,66.9,60.0,1.76,1.58,38.0,38.0,3420.0,29.0,0.76,129.0,101.0,79.8,25.0,9.0,4.0,15.0,39.5,3.0,3.0,0.0,0.0,38.0,0.0,6.0,1.0,34.0,0.24,6.0,0.16,183.0,449.0,40.8,1104.0,145.0,35.8,33.4,170.0,31.8,32.0,404.0,35.0,8.7,41.0,1.08,15.1,177.0,6.0,34.2,4.66,0.12,0.34,0.12,-0.9,0.0,17809.0,21203.0,84.0,307964.0,105609.0,7942.0,8840.0,89.8,7624.0,8652.0,88.1,1618.0,2642.0,61.2,395.0,1547.0,354.0,105.0,1829.0,19476.0,1665.0,556.0,53.0,111.0,791.0,204.0,80.0,87.0,1.0,623.0,62.0,311.0,921.0,24.24,681.0,80.0,49.0,40.0,116.0,3.05,85.0,8.0,6.0,5.0,3.0,540.0,323.0,225.0,238.0,77.0,401.0,112.0,289.0,339.0,559.0,7.0,24935.0,2026.0,6456.0,12750.0,5964.0,841.0,24926.0,19150.0,738.0,732.0,160.0,17645.0,526.0,302.0,0.0,492.0,481.0,62.0,7.0,3.0,1.0,1975.0,406.0,369.0,52.4
Lille,26.0,60.5,38.0,418.0,3420.0,65.0,40.0,11.0,12.0,82.0,1.0,1.71,1.05,2.76,1.42,2.47,68.7,60.0,1.81,1.58,38.0,38.0,3420.0,44.0,1.16,120.0,80.0,66.7,19.0,10.0,9.0,10.0,26.3,5.0,4.0,1.0,0.0,38.0,2.0,3.0,3.0,39.2,0.29,-1.8,-0.05,82.0,316.0,25.9,1041.0,148.0,25.6,29.0,120.0,40.8,35.9,382.0,27.0,7.1,34.0,0.89,13.9,201.0,16.0,36.9,5.29,0.1,0.27,0.12,-3.7,-6.0,19266.0,22826.0,84.4,325045.0,109059.0,8924.0,9956.0,89.6,8012.0,8981.0,89.2,1622.0,2635.0,61.6,421.0,1602.0,398.0,61.0,1982.0,20992.0,1770.0,555.0,56.0,124.0,624.0,217.0,81.0,76.0,1.0,718.0,64.0,398.0,996.0,26.21,735.0,79.0,70.0,51.0,111.0,2.92,76.0,6.0,15.0,12.0,0.0,635.0,370.0,266.0,265.0,104.0,390.0,74.0,316.0,301.0,543.0,13.0,26767.0,2074.0,7054.0,13386.0,6573.0,1010.0,26755.0,20538.0,798.0,705.0,206.0,19056.0,537.0,398.0,0.0,497.0,480.0,64.0,10.0,4.0,3.0,2138.0,440.0,463.0,48.7
Lorient,30.0,46.6,38.0,418.0,3420.0,49.0,32.0,4.0,6.0,48.0,4.0,1.29,0.84,2.13,1.18,2.03,44.5,39.8,1.17,1.05,38.0,38.0,3420.0,53.0,1.39,182.0,130.0,72.0,15.0,10.0,13.0,8.0,21.1,2.0,2.0,0.0,0.0,38.0,2.0,6.0,1.0,52.4,0.28,0.4,0.01,142.0,404.0,35.1,944.0,186.0,30.0,30.8,257.0,47.1,37.0,725.0,33.0,4.6,16.0,0.42,9.6,149.0,16.0,37.5,3.92,0.11,0.3,0.1,4.5,5.2,14837.0,18087.0,82.0,248618.0,91944.0,6810.0,7694.0,88.5,6246.0,7147.0,87.4,1173.0,2192.0,53.5,295.0,994.0,240.0,38.0,1329.0,16255.0,1783.0,540.0,48.0,55.0,434.0,145.0,60.0,52.0,2.0,658.0,49.0,334.0,705.0,18.55,505.0,43.0,38.0,38.0,86.0,2.26,52.0,6.0,5.0,6.0,2.0,736.0,420.0,409.0,244.0,83.0,484.0,141.0,343.0,369.0,849.0,17.0,22605.0,2854.0,8346.0,10039.0,4473.0,695.0,22599.0,16379.0,753.0,592.0,175.0,14727.0,596.0,332.0,3.0,397.0,501.0,49.0,5.0,2.0,1.0,2019.0,407.0,479.0,45.9
Lyon,29.0,58.1,38.0,418.0,3420.0,63.0,45.0,6.0,8.0,61.0,3.0,1.66,1.18,2.84,1.5,2.68,61.1,54.8,1.61,1.44,38.0,38.0,3417.0,47.0,1.24,155.0,111.0,76.8,18.0,8.0,12.0,8.0,21.1,11.0,11.0,0.0,0.0,38.0,2.0,5.0,3.0,50.2,0.26,6.2,0.16,126.0,366.0,34.4,1016.0,164.0,29.7,31.3,230.0,27.8,30.6,436.0,25.0,5.7,35.0,0.92,14.7,199.0,18.0,38.9,5.24,0.11,0.29,0.11,1.9,2.2,18956.0,22698.0,83.5,326617.0,110346.0,8477.0,9572.0,88.6,8134.0,9170.0,88.7,1688.0,2738.0,61.7,393.0,1575.0,381.0,76.0,1883.0,20857.0,1784.0,521.0,65.0,101.0,649.0,184.0,71.0,68.0,0.0,758.0,57.0,395.0,902.0,23.74,668.0,67.0,52.0,39.0,109.0,2.87,85.0,6.0,8.0,6.0,1.0,723.0,423.0,306.0,282.0,135.0,433.0,107.0,326.0,481.0,542.0,12.0,27048.0,2207.0,7251.0,13396.0,6634.0,1041.0,27040.0,20488.0,709.0,719.0,233.0,18817.0,618.0,371.0,1.0,500.0,453.0,57.0,5.0,11.0,3.0,2144.0,452.0,438.0,50.8
Marseille,30.0,56.7,38.0,418.0,3420.0,61.0,38.0,6.0,7.0,63.0,4.0,1.61,1.0,2.61,1.45,2.45,65.3,60.0,1.72,1.58,38.0,38.0,3420.0,40.0,1.05,142.0,105.0,75.4,22.0,7.0,9.0,10.0,26.3,5.0,5.0,0.0,0.0,38.0,0.0,7.0,3.0,37.7,0.24,0.7,0.02,123.0,371.0,33.2,1106.0,163.0,24.4,30.5,213.0,47.4,38.8,443.0,25.0,5.6,44.0,1.16,15.7,173.0,16.0,31.7,4.55,0.1,0.32,0.11,-4.3,-5.0,16817.0,20689.0,81.3,300757.0,97471.0,7113.0,8165.0,87.1,7385.0,8560.0,86.3,1744.0,2795.0,62.4,397.0,1555.0,443.0,98.0,1919.0,18914.0,1707.0,448.0,72.0,149.0,751.0,209.0,107.0,50.0,0.0,723.0,68.0,359.0,954.0,25.11,693.0,71.0,71.0,38.0,98.0,2.58,55.0,8.0,16.0,6.0,4.0,685.0,404.0,271.0,304.0,110.0,366.0,101.0,265.0,420.0,570.0,11.0,24839.0,2007.0,6525.0,11697.0,6878.0,1000.0,24832.0,18366.0,759.0,639.0,172.0,16633.0,598.0,360.0,1.0,533.0,419.0,68.0,3.0,5.0,3.0,2291.0,491.0,484.0,50.4
