team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arsenal,27.0,46.8,38.0,418.0,3420.0,47.0,33.0,5.0,6.0,69.0,3.0,1.24,0.87,2.11,1.11,1.97,45.7,40.9,1.2,1.08,38.0,38.0,3420.0,61.0,1.61,194.0,131.0,71.1,13.0,3.0,22.0,11.0,28.9,8.0,5.0,3.0,0.0,38.0,1.0,13.0,1.0,52.4,0.24,-7.6,-0.2,214.0,563.0,38.0,1100.0,164.0,35.6,33.5,282.0,60.6,45.1,498.0,25.0,5.0,55.0,1.45,16.5,142.0,16.0,33.9,3.74,0.1,0.3,0.1,1.3,1.1,14226.0,18005.0,79.0,245457.0,86660.0,6562.0,7418.0,88.5,5816.0,6793.0,85.6,1365.0,2710.0,50.4,316.0,996.0,255.0,71.0,1191.0,16238.0,1703.0,401.0,49.0,102.0,606.0,175.0,90.0,50.0,3.0,744.0,64.0,295.0,762.0,20.05,577.0,59.0,38.0,39.0,78.0,2.05,57.0,3.0,5.0,7.0,1.0,608.0,339.0,314.0,212.0,82.0,427.0,164.0,263.0,364.0,737.0,18.0,21955.0,2653.0,7787.0,9302.0,5062.0,720.0,21949.0,12516.0,556.0,468.0,140.0,14105.0,550.0,296.0,2.0,375.0,346.0,64.0,5.0,8.0,1.0,1817.0,572.0,463.0,55.3
vs Aston Villa,31.0,53.5,38.0,418.0,3420.0,52.0,35.0,4.0,6.0,83.0,1.0,1.37,0.92,2.29,1.26,2.18,49.0,44.1,1.29,1.16,38.0,38.0,3420.0,52.0,1.37,162.0,112.0,69.8,19.0,6.0,13.0,8.0,21.1,3.0,3.0,0.0,0.0,38.0,0.0,7.0,2.0,45.0,0.27,-5.0,-0.13,157.0,412.0,38.1,888.0,182.0,31.8,32.6,261.0,49.8,40.8,530.0,21.0,4.0,41.0,1.08,14.4,144.0,22.0,30.6,3.79,0.1,0.33,0.1,3.0,3.9,15222.0,19079.0,79.8,275493.0,94504.0,6575.0,7465.0,88.1,6449.0,7500.0,86.0,1718.0,2960.0,58.0,348.0,1094.0,276.0,61.0,1514.0,17229.0,1811.0,424.0,48.0,233.0,685.0,220.0,118.0,64.0,3.0,815.0,39.0,372.0,827.0,21.76,576.0,75.0,47.0,51.0,91.0,2.39,63.0,3.0,10.0,8.0,1.0,598.0,343.0,278.0,246.0,74.0,356.0,127.0,229.0,339.0,743.0,6.0,23096.0,2362.0,7680.0,10237.0,5398.0,852.0,23090.0,12899.0,741.0,475.0,222.0,15104.0,542.0,334.0,0.0,512.0,392.0,39.0,5.0,3.0,2.0,1922.0,561.0,538.0,51.0
vs Brentford,29.0,55.5,38.0,418.0,3420.0,54.0,41.0,5.0,5.0,50.0,3.0,1.42,1.08,2.5,1.29,2.37,48.5,44.6,1.28,1.17,38.0,38.0,3420.0,48.0,1.26,147.0,101.0,71.4,18.0,7.0,13.0,12.0,31.6,6.0,6.0,0.0,0.0,38.0,0.0,6.0,2.0,43.8,0.26,-2.2,-0.06,182.0,547.0,33.3,892.0,147.0,45.2,38.2,236.0,61.0,46.2,509.0,34.0,6.7,56.0,1.47,15.7,174.0,22.0,34.9,4.58,0.1,0.28,0.09,5.5,4.4,15770.0,20238.0,77.9,263462.0,90458.0,7861.0,8970.0,87.6,5946.0,7075.0,84.0,1434.0,2945.0,48.7,359.0,1331.0,339.0,101.0,1523.0,18429.0,1738.0,405.0,73.0,104.0,812.0,229.0,128.0,69.0,2.0,774.0,71.0,329.0,876.0,23.05,659.0,65.0,57.0,49.0,97.0,2.55,73.0,6.0,8.0,7.0,1.0,505.0,285.0,216.0,225.0,64.0,423.0,132.0,291.0,381.0,830.0,12.0,24462.0,2251.0,6892.0,11000.0,6765.0,838.0,24457.0,13970.0,734.0,609.0,164.0,15638.0,618.0,316.0,0.0,377.0,357.0,71.0,5.0,6.0,2.0,2204.0,728.0,717.0,50.4
vs Brighton,26.0,45.3,38.0,418.0,3420.0,44.0,34.0,3.0,4.0,80.0,0.0,1.16,0.89,2.05,1.08,1.97,42.9,39.8,1.13,1.05,38.0,38.0,3420.0,42.0,1.11,146.0,105.0,74.0,11.0,15.0,12.0,13.0,34.2,7.0,4.0,1.0,2.0,38.0,0.0,6.0,2.0,39.5,0.24,-0.5,-0.01,153.0,483.0,31.7,892.0,202.0,37.2,34.2,281.0,53.7,41.6,564.0,21.0,3.7,43.0,1.13,15.4,143.0,21.0,30.3,3.76,0.09,0.29,0.09,1.1,1.2,13304.0,17380.0,76.5,231327.0,84959.0,6148.0,7119.0,86.4,5425.0,6514.0,83.3,1321.0,2648.0,49.9,342.0,996.0,255.0,58.0,1263.0,15605.0,1733.0,417.0,36.0,113.0,680.0,211.0,106.0,55.0,6.0,740.0,42.0,374.0,824.0,21.68,612.0,58.0,50.0,42.0,77.0,2.03,49.0,11.0,7.0,4.0,2.0,591.0,358.0,301.0,224.0,66.0,481.0,140.0,341.0,389.0,752.0,8.0,21578.0,2394.0,7672.0,8761.0,5358.0,830.0,21574.0,11610.0,642.0,446.0,197.0,13173.0,581.0,425.0,0.0,373.0,373.0,42.0,3.0,7.0,2.0,2094.0,498.0,569.0,46.7
vs Burnley,23.0,60.2,38.0,418.0,3420.0,51.0,36.0,5.0,5.0,44.0,0.0,1.34,0.95,2.29,1.21,2.16,57.1,53.2,1.5,1.4,38.0,38.0,3420.0,34.0,0.89,120.0,88.0,72.5,17.0,14.0,7.0,16.0,42.1,2.0,1.0,0.0,1.0,38.0,1.0,6.0,2.0,32.1,0.26,0.1,0.0,191.0,587.0,32.5,1108.0,196.0,38.9,34.8,255.0,61.2,45.3,590.0,47.0,8.0,51.0,1.34,13.8,173.0,16.0,28.9,4.55,0.08,0.27,0.09,-6.1,-7.2,16821.0,21508.0,78.2,288649.0,99233.0,8023.0,9188.0,87.3,6678.0,7936.0,84.1,1592.0,3140.0,50.7,459.0,1221.0,407.0,83.0,1711.0,19529.0,1925.0,473.0,44.0,168.0,861.0,265.0,95.0,79.0,5.0,846.0,54.0,364.0,1064.0,28.0,804.0,77.0,82.0,38.0,92.0,2.42,75.0,1.0,8.0,6.0,0.0,512.0,306.0,249.0,202.0,61.0,369.0,104.0,265.0,280.0,853.0,9.0,25638.0,2435.0,8341.0,10906.0,6613.0,1094.0,25633.0,14368.0,865.0,582.0,253.0,16680.0,571.0,340.0,0.0,339.0,381.0,54.0,3.0,2.0,2.0,2068.0,733.0,827.0,47.0
vs Chelsea,26.0,37.7,38.0,418.0,3420.0,32.0,20.0,6.0,6.0,69.0,4.0,0.84,0.53,1.37,0.68,1.21,33.2,28.9,0.87,0.76,38.0,38.0,3420.0,76.0,2.0,209.0,133.0,67.5,6.0,11.0,21.0,4.0,10.5,9.0,8.0,1.0,0.0,38.0,1.0,8.0,1.0,65.3,0.28,-9.7,-0.25,206.0,576.0,35.8,995.0,180.0,41.5,36.0,287.0,56.8,43.8,604.0,34.0,5.6,34.0,0.89,13.2,109.0,11.0,32.5,2.87,0.08,0.24,0.09,-1.2,-2.9,11678.0,15424.0,75.7,201519.0,77479.0,5484.0,6336.0,86.6,4597.0,5508.0,83.5,1187.0,2493.0,47.6,232.0,830.0,209.0,60.0,1004.0,13651.0,1706.0,451.0,63.0,90.0,533.0,151.0,66.0,52.0,4.0,697.0,67.0,346.0,587.0,15.45,407.0,52.0,36.0,37.0,53.0,1.39,34.0,4.0,3.0,5.0,3.0,643.0,356.0,337.0,237.0,69.0,487.0,169.0,318.0,376.0,793.0,12.0,19624.0,2723.0,7393.0,7923.0,4499.0,614.0,19618.0,10135.0,495.0,367.0,130.0,11579.0,592.0,364.0,1.0,406.0,389.0,67.0,4.0,9.0,1.0,1921.0,486.0,538.0,47.5
vs Crystal Palace,24.0,49.1,38.0,418.0,3420.0,44.0,30.0,3.0,4.0,74.0,3.0,1.16,0.79,1.95,1.08,1.87,40.7,37.6,1.07,0.99,38.0,38.0,3420.0,50.0,1.32,147.0,97.0,70.1,12.0,15.0,11.0,11.0,28.9,8.0,6.0,1.0,1.0,38.0,1.0,2.0,0.0,43.0,0.25,-7.0,-0.18,201.0,511.0,39.3,921.0,141.0,42.7,35.4,239.0,49.4,41.0,505.0,31.0,6.1,36.0,0.95,13.2,140.0,20.0,31.9,3.68,0.09,0.29,0.09,3.3,3.4,14264.0,18471.0,77.2,250760.0,90242.0,6523.0,7559.0,86.3,5776.0,6884.0,83.9,1503.0,2862.0,52.5,304.0,1193.0,287.0,74.0,1402.0,16628.0,1790.0,453.0,42.0,130.0,664.0,184.0,74.0,96.0,0.0,825.0,53.0,360.0,759.0,19.97,535.0,77.0,57.0,48.0,74.0,1.95,47.0,11.0,7.0,4.0,2.0,776.0,440.0,354.0,310.0,112.0,386.0,110.0,276.0,378.0,712.0,16.0,22794.0,2209.0,7021.0,10187.0,5794.0,794.0,22790.0,12186.0,563.0,428.0,135.0,14161.0,652.0,364.0,2.0,499.0,391.0,53.0,2.0,8.0,0.0,2109.0,618.0,610.0,50.3
vs Everton,33.0,60.3,38.0,418.0,3420.0,61.0,46.0,2.0,2.0,72.0,0.0,1.61,1.21,2.82,1.55,2.76,55.4,53.9,1.46,1.42,38.0,38.0,3420.0,43.0,1.13,135.0,94.0,72.6,21.0,6.0,11.0,12.0,31.6,7.0,6.0,0.0,1.0,38.0,0.0,6.0,1.0,39.4,0.25,-2.6,-0.07,141.0,399.0,35.3,940.0,206.0,29.3,31.5,280.0,44.3,40.1,486.0,34.0,7.0,37.0,0.97,14.9,186.0,19.0,35.8,4.89,0.11,0.32,0.11,5.6,5.1,18019.0,22270.0,80.9,314878.0,107051.0,8044.0,9158.0,87.8,7922.0,9036.0,87.7,1610.0,2872.0,56.1,372.0,1448.0,329.0,74.0,1799.0,20390.0,1837.0,397.0,44.0,129.0,719.0,219.0,114.0,62.0,8.0,859.0,43.0,415.0,922.0,24.26,650.0,84.0,65.0,50.0,104.0,2.74,65.0,14.0,11.0,6.0,2.0,620.0,336.0,298.0,240.0,82.0,443.0,146.0,297.0,333.0,653.0,6.0,26579.0,2286.0,7934.0,12214.0,6624.0,880.0,26577.0,14994.0,735.0,574.0,160.0,17894.0,664.0,369.0,0.0,400.0,345.0,43.0,1.0,7.0,1.0,2049.0,725.0,634.0,53.3
vs Leeds United,29.0,47.5,38.0,418.0,3420.0,78.0,59.0,5.0,5.0,74.0,3.0,2.05,1.55,3.61,1.92,3.47,67.8,64.0,1.79,1.68,38.0,38.0,3420.0,42.0,1.11,147.0,105.0,74.8,18.0,11.0,9.0,13.0,34.2,5.0,5.0,0.0,0.0,38.0,1.0,8.0,0.0,41.2,0.25,-0.8,-0.02,206.0,550.0,37.5,1030.0,196.0,34.4,33.1,308.0,63.6,46.4,481.0,26.0,5.4,51.0,1.34,15.4,219.0,23.0,38.0,5.76,0.13,0.33,0.11,10.2,9.0,13019.0,17052.0,76.3,231597.0,94507.0,5810.0,6807.0,85.4,5455.0,6544.0,83.4,1383.0,2657.0,52.1,436.0,1003.0,309.0,58.0,1359.0,15102.0,1897.0,498.0,100.0,92.0,568.0,181.0,86.0,79.0,3.0,829.0,53.0,366.0,1005.0,26.45,711.0,87.0,60.0,51.0,134.0,3.53,97.0,9.0,9.0,9.0,1.0,614.0,351.0,282.0,248.0,84.0,459.0,138.0,321.0,398.0,735.0,20.0,21610.0,2367.0,7145.0,9288.0,5440.0,949.0,21605.0,11522.0,700.0,480.0,208.0,12886.0,675.0,379.0,3.0,386.0,465.0,53.0,4.0,5.0,0.0,2228.0,626.0,470.0,57.1
vs Leicester City,28.0,47.9,38.0,418.0,3420.0,58.0,36.0,7.0,9.0,60.0,0.0,1.53,0.95,2.47,1.34,2.29,59.3,52.6,1.56,1.38,38.0,38.0,3420.0,62.0,1.63,166.0,104.0,63.9,14.0,10.0,14.0,6.0,15.8,2.0,2.0,0.0,0.0,38.0,1.0,4.0,0.0,54.0,0.33,-8.0,-0.21,174.0,490.0,35.5,965.0,169.0,37.7,34.4,232.0,54.3,42.1,433.0,28.0,6.5,37.0,0.97,15.4,183.0,15.0,32.9,4.82,0.09,0.28,0.1,-1.3,-1.6,14828.0,18823.0,78.8,262901.0,92485.0,6675.0,7635.0,87.4,6259.0,7300.0,85.7,1512.0,2798.0,54.0,415.0,1210.0,342.0,77.0,1496.0,17017.0,1733.0,391.0,63.0,150.0,738.0,218.0,129.0,63.0,2.0,788.0,73.0,382.0,970.0,25.53,669.0,98.0,75.0,49.0,97.0,2.55,55.0,9.0,16.0,9.0,2.0,618.0,370.0,262.0,264.0,92.0,455.0,117.0,338.0,400.0,630.0,13.0,23094.0,2218.0,7065.0,10268.0,6018.0,1025.0,23085.0,13115.0,732.0,510.0,208.0,14699.0,598.0,384.0,0.0,406.0,350.0,73.0,7.0,2.0,0.0,2104.0,553.0,530.0,51.1
