player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
James Abankwah,ie IRL,DF,Udinese,18,2004,2.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,375.0,79.0,14.0,15.0,93.3,6.0,8.0,75.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,5.0,0.0,39.0,8.0,26.0,13.0,0.0,0.0,39.0,18.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13.0,6.0,592.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.02,6.6,2.0,0.0,66.7,0.3,0.0,0.0,0.05,-0.1,-0.1,115.0,195.0,59.0,1943.0,930.0,58.0,85.0,68.2,41.0,71.0,57.7,13.0,27.0,48.1,6.0,17.0,3.0,2.0,15.0,194.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.37,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,3.0,1.0,7.0,1.0,6.0,5.0,17.0,0.0,257.0,15.0,82.0,137.0,40.0,13.0,257.0,99.0,2.0,3.0,0.0,116.0,6.0,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,37.0,50.0,21.0,70.4
Tammy Abraham,eng ENG,FW,Roma,24,1997,38.0,24.0,2189.0,8.0,3.0,0.0,0.0,2.0,0.0,0.33,0.12,0.45,0.33,0.45,10.8,10.8,0.45,0.45,24.3,28.0,0.0,45.2,1.15,0.13,0.29,0.17,-2.8,-2.8,342.0,513.0,66.7,4964.0,1248.0,198.0,260.0,76.2,102.0,163.0,62.6,24.0,36.0,66.7,33.0,18.0,17.0,2.0,54.0,475.0,35.0,2.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,70.0,2.88,46.0,0.0,10.0,7.0,9.0,0.37,4.0,0.0,3.0,1.0,0.0,17.0,10.0,4.0,8.0,5.0,10.0,4.0,6.0,3.0,14.0,0.0,786.0,19.0,50.0,391.0,355.0,125.0,786.0,421.0,35.0,20.0,16.0,621.0,62.0,31.0,0.0,33.0,48.0,11.0,1.0,0.0,0.0,46.0,80.0,74.0,51.9
Christian Acella,it ITA,MF,Cremonese,20,2002,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,129.0,4.0,5.0,5.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,9.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Francesco Acerbi,it ITA,DF,Inter,34,1988,31.0,25.0,2425.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,1.0,1.0,0.04,0.04,26.9,2.0,0.0,11.1,0.07,0.0,0.0,0.06,-1.0,-1.0,1455.0,1644.0,88.5,27034.0,8090.0,545.0,594.0,91.8,737.0,802.0,91.9,149.0,202.0,73.8,16.0,86.0,14.0,3.0,100.0,1546.0,93.0,41.0,1.0,10.0,22.0,0.0,0.0,0.0,0.0,21.0,5.0,4.0,37.0,1.37,34.0,1.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,33.0,19.0,22.0,7.0,4.0,25.0,18.0,7.0,41.0,85.0,2.0,1890.0,226.0,858.0,880.0,167.0,27.0,1890.0,1041.0,39.0,33.0,2.0,1252.0,13.0,7.0,0.0,17.0,13.0,2.0,0.0,0.0,0.0,151.0,78.0,42.0,65.0
Yacine Adli,fr FRA,"MF,FW",Milan,22,2000,6.0,1.0,144.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05,0.05,1.6,2.0,0.0,100.0,1.25,0.0,0.0,0.04,-0.1,-0.1,49.0,76.0,64.5,931.0,308.0,21.0,28.0,75.0,17.0,24.0,70.8,9.0,16.0,56.3,2.0,6.0,2.0,0.0,10.0,72.0,4.0,1.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,3.0,1.87,2.0,1.0,0.0,0.0,1.0,0.62,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,97.0,1.0,14.0,45.0,42.0,2.0,97.0,55.0,7.0,5.0,0.0,67.0,3.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,3.0,25.0
Michel Aebischer,ch SUI,"FW,MF",Bologna,25,1997,32.0,18.0,1542.0,1.0,0.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,1.5,1.5,0.08,0.08,17.1,2.0,1.0,13.3,0.12,0.07,0.5,0.1,-0.5,-0.5,557.0,674.0,82.6,8050.0,2143.0,312.0,343.0,91.0,189.0,223.0,84.8,27.0,51.0,52.9,15.0,37.0,7.0,1.0,46.0,641.0,30.0,10.0,0.0,3.0,21.0,4.0,1.0,3.0,0.0,13.0,3.0,16.0,35.0,2.04,25.0,3.0,2.0,2.0,3.0,0.18,1.0,0.0,1.0,1.0,0.0,12.0,6.0,3.0,6.0,3.0,14.0,2.0,12.0,7.0,9.0,0.0,791.0,14.0,147.0,400.0,246.0,28.0,791.0,505.0,14.0,12.0,4.0,618.0,30.0,17.0,0.0,22.0,22.0,7.0,1.0,1.0,0.0,68.0,10.0,25.0,28.6
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,23.0,7.0,817.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.21,0.21,9.1,2.0,0.0,9.5,0.22,0.0,0.0,0.09,-1.9,-1.9,146.0,193.0,75.6,1855.0,194.0,99.0,115.0,86.1,34.0,46.0,73.9,4.0,7.0,57.1,3.0,3.0,0.0,0.0,8.0,185.0,8.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,15.0,1.65,10.0,0.0,4.0,0.0,1.0,0.11,0.0,0.0,1.0,0.0,0.0,7.0,3.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,6.0,0.0,318.0,7.0,40.0,129.0,156.0,28.0,318.0,202.0,22.0,13.0,3.0,217.0,34.0,21.0,0.0,18.0,11.0,6.0,0.0,0.0,0.0,39.0,17.0,42.0,28.8
Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,34.0,23.0,2131.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,1.5,1.5,0.06,0.06,23.7,7.0,0.0,25.0,0.3,0.0,0.0,0.05,-1.5,-1.5,531.0,735.0,72.2,7885.0,2631.0,295.0,349.0,84.5,173.0,226.0,76.5,30.0,54.0,55.6,28.0,58.0,31.0,2.0,110.0,711.0,17.0,2.0,5.0,1.0,34.0,5.0,3.0,2.0,0.0,7.0,7.0,39.0,59.0,2.49,41.0,1.0,4.0,4.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,71.0,38.0,22.0,30.0,19.0,39.0,5.0,34.0,10.0,6.0,0.0,1084.0,11.0,168.0,500.0,457.0,54.0,1084.0,662.0,81.0,71.0,19.0,699.0,59.0,55.0,0.0,34.0,35.0,2.0,0.0,0.0,0.0,140.0,17.0,27.0,38.6
Ola Aina,ng NGA,DF,Torino,25,1996,19.0,9.0,876.0,1.0,1.0,0.0,0.0,5.0,0.0,0.1,0.1,0.21,0.1,0.21,0.8,0.8,0.08,0.08,9.7,3.0,0.0,37.5,0.31,0.13,0.33,0.1,0.2,0.2,402.0,544.0,73.9,6725.0,2554.0,210.0,232.0,90.5,130.0,173.0,75.1,48.0,93.0,51.6,12.0,35.0,14.0,9.0,43.0,432.0,108.0,8.0,0.0,3.0,35.0,3.0,0.0,0.0,0.0,97.0,4.0,17.0,27.0,2.77,21.0,2.0,0.0,1.0,3.0,0.31,2.0,0.0,0.0,0.0,0.0,17.0,13.0,5.0,8.0,4.0,12.0,2.0,10.0,11.0,26.0,0.0,679.0,20.0,146.0,294.0,250.0,13.0,679.0,361.0,35.0,26.0,4.0,390.0,15.0,8.0,0.0,16.0,16.0,1.0,0.0,1.0,0.0,62.0,12.0,10.0,54.5
